Comuna,muertes.men1,muertes.1,muertes.2,muertes.3,muertes.4,muertes.5,muertes.6,muertes.7,muertes.8,muertes.9,muertes.10,muertes.11,muertes.12,muertes.13,muertes.14,muertes.15,muertes.16,muertes.17,muertes.18,muertes.19,muertes.20,muertes.21,muertes.22,muertes.23,muertes.24,muertes.25,muertes.26,muertes.27,muertes.28,muertes.29,muertes.30,muertes.31,muertes.32,muertes.33,muertes.34,muertes.35,muertes.36,muertes.37,muertes.38,muertes.39,muertes.40,muertes.41,muertes.42,muertes.43,muertes.44,muertes.45,muertes.46,muertes.47,muertes.48,muertes.49,muertes.50,muertes.51,muertes.52,muertes.53,muertes.54,muertes.55,muertes.56,muertes.57,muertes.58,muertes.59,muertes.60,muertes.61,muertes.62,muertes.63,muertes.64,muertes.65,muertes.66,muertes.67,muertes.68,muertes.69,muertes.70,muertes.71,muertes.72,muertes.73,muertes.74,muertes.75,muertes.76,muertes.77,muertes.78,muertes.79,muertes.80,muertes.81,muertes.82,muertes.83,muertes.84,muertes.85,muertes.86,muertes.87,muertes.88,muertes.89,muertes.90,muertes.91,muertes.92,muertes.93,muertes.94,muertes.95,muertes.96,muertes.97,muertes.98,muertes.99,muertes.100,muertes.101,muertes.102,muertes.103,muertes.104,muertes.105,muertes.106,muertes.107,muertes.108,muertes.109,muertes.113,muertes.121,muertes.total
240,36,1,1,,4,,,,,,,,,1,,,1,1,,4,1,1,1,,2,1,1,,1,3,2,4,1,2,4,3,3,4,2,2,2,3,,4,2,4,6,1,2,5,4,5,2,6,6,7,12,4,4,12,2,6,7,11,8,14,11,11,11,16,14,8,18,16,16,12,11,15,21,8,16,9,15,15,12,9,9,10,6,5,8,9,7,8,3,4,2,1,1,1,1,,,1,,,,,,,,,566
241,4,,2,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,1,,1,,,1,,,,2,1,,,1,,,1,,3,1,,,1,2,4,3,2,1,3,1,,1,1,2,,,,1,,1,,1,1,1,,,,,2,,,,,,,,,,,,,,,,,,,50
242,4,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,,,1,,,1,,,1,2,,,,1,,,,1,,2,,,,1,,1,2,,2,,1,1,,,2,,1,2,,1,,,4,1,1,,1,1,3,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,44
245,7,1,,,,,1,,,,,,1,,,1,,,,1,1,,1,,1,1,,,,1,,1,1,,1,,1,1,3,,,1,2,,3,2,1,,,1,2,1,1,1,2,1,4,1,5,4,1,2,5,4,6,1,3,11,,7,11,8,12,4,2,7,12,7,8,6,5,4,7,4,4,8,6,7,4,3,6,3,2,3,2,2,1,,,,,,,,,,,,,,,,245
246,2,,,,,,,,,,,,,,1,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,2,,,,,,2,1,1,1,1,,,1,,1,2,,,1,1,1,,,1,,,,,1,,,,,,,,,,,,,,,,,25
247,3,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,2,1,1,,1,1,1,,1,1,2,3,2,1,3,,,1,2,2,1,2,,,,1,2,1,3,3,1,1,,1,1,,,,1,,,,,,,,,,,,,,,,51
248,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,1,,,,1,,,,,,,,,,,,1,,,,,1,,,,,1,,,,,1,,,2,,,,,,,,,,,,,,,1,,,,,,1,,,1,,,1,,,,,,,,,,,,,,14
250,27,1,,,,1,1,1,1,,,,,,1,1,2,2,2,1,2,1,2,3,1,2,,1,2,2,3,2,1,1,6,3,3,1,3,2,2,7,2,9,2,3,7,6,8,7,8,8,8,8,4,6,9,2,6,8,8,8,8,7,12,16,9,8,17,18,13,15,22,15,18,14,22,16,13,21,17,17,18,12,19,18,16,17,16,13,11,13,13,4,10,8,6,5,4,1,1,2,,,1,,,,,,,,724
251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,2,,,1,1,,,,,,,,,1,1,,1,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,12
252,31,,,,,1,1,,,,,,1,2,,,2,4,,3,,2,1,3,4,,1,4,2,1,3,2,3,1,4,3,1,1,2,3,4,3,2,2,2,7,10,4,5,4,5,6,8,5,6,11,3,9,3,6,6,13,12,14,13,13,17,9,16,19,23,21,26,17,22,13,17,21,16,17,12,13,18,18,24,15,20,16,20,6,13,8,11,8,5,5,5,3,3,2,3,,,,,,,,,,,,744
253,3,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,1,3,,3,,,1,1,1,2,2,2,,1,2,1,,3,,2,,2,,2,3,4,2,3,2,1,2,,2,1,,1,,2,,,1,,,1,,,,,,,,,,,,,,61
254,8,,,,,,,1,,,,,1,,,,,,,,,,1,,,,,3,,1,,,1,,,,,,1,1,1,,,,,,,,,,,,,,2,1,1,,,1,1,1,,3,1,3,1,,2,1,2,4,,2,4,1,3,2,5,4,,2,2,8,1,2,3,3,1,7,2,1,4,1,1,2,,2,,1,,,,,,,,,,,,,107
255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,,1,,1,,,2,,,,1,,,,,,,,1,,,,,,,1,,,,1,,,,1,,,1,,,2,,,,,,,,,,,,,,,,,15
260,21,1,,1,,,,,1,,1,,,,,,,,,1,,,,1,2,2,2,,,3,,3,2,4,1,3,,3,3,5,6,3,2,3,2,3,2,5,5,3,1,3,5,5,3,5,1,1,6,7,6,2,4,3,9,11,7,11,18,11,13,16,14,16,10,14,7,13,16,12,20,17,4,15,9,14,5,11,17,6,16,7,6,11,4,5,4,3,3,1,1,1,1,,,,,,,,,,525
261,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,1,,,,,1,,1,,,,1,,,1,1,1,1,,,3,1,1,,2,,1,1,,3,1,,1,,2,1,,1,1,,,,,,,1,,,,,,,,1,,,,,,,,32
262,5,,1,,2,,,,,,,,,,,2,,,,1,1,1,,,,,,1,,,,1,1,,,1,,,,1,1,,1,1,1,1,1,,,2,,1,,,,,1,1,2,2,1,2,,4,2,4,4,3,1,2,3,3,10,2,1,2,5,4,6,5,2,1,7,4,2,2,1,3,5,2,1,2,3,,2,1,3,1,,1,1,,,,,,,,,,,,141
263,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,1,,,,,,1,,,,,1,,,1,2,1,1,,,,1,4,,1,,1,,,,,1,1,1,1,2,4,2,2,,2,,,2,5,5,1,2,5,3,,2,4,1,2,6,3,2,2,1,,4,1,2,1,,2,,,,,,,,,,,,,,90
264,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,1,1,1,,1,,,,1,1,1,,1,1,1,,,,,1,1,3,1,,1,2,1,1,,2,2,,,2,,1,2,1,,3,2,1,,1,,,,,,1,,1,,,,,,,,,,,,,46
270,5,1,1,,,,,1,1,,,,,,,,,,1,,1,1,,1,1,1,,1,2,,1,1,1,1,,,1,,1,,1,,,1,1,1,1,2,,,1,,1,1,1,2,1,4,,,,2,,1,1,4,5,3,3,3,5,3,7,2,5,3,3,3,2,1,9,6,6,4,5,3,3,6,5,4,4,5,1,2,4,1,,,,,,,,,1,,1,,,,,,168
271,8,,,,,,,,,1,,,,,,,,,,1,,1,1,1,,1,1,,,1,,,,,,,1,,,1,,,,1,,,,1,1,,,3,,1,1,1,1,,1,,2,2,4,4,1,3,4,1,3,3,1,5,3,3,2,4,4,3,,2,6,3,4,4,5,3,2,3,3,6,1,2,1,,1,1,2,1,,,,,,,,,,,,,,,131
272,3,,1,,,,1,,,,,,,,,,,,1,2,,,,,,1,,1,,2,,,,,,2,2,,1,2,1,1,,1,,1,1,,1,1,,1,1,,3,1,,,,,1,1,1,,4,1,1,1,5,4,2,1,2,4,2,6,1,2,,,,2,1,3,2,2,1,1,3,1,2,1,,,1,,1,,,1,1,,,,,,,,,,,,94
273,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,,,,,,,1,1,,1,,,,1,1,,1,3,1,1,,,,1,1,,3,2,1,1,1,1,2,,2,1,3,2,1,4,3,2,4,,1,,4,,,,,1,,,,,,,,,,,,,,,62
275,7,1,,,1,,,,,,,,,,,,,,,,,1,1,,1,,,1,1,,,,1,,2,,,2,1,,2,1,1,,,,1,,,1,2,2,1,,1,,1,1,3,,3,,3,,1,1,3,2,5,3,5,6,2,2,2,2,8,1,4,6,11,3,6,7,6,4,2,7,2,5,7,4,1,2,1,1,,,,1,,,,,,,,,,,,,166
276,2,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,1,,,,,,,,1,,,,,1,,,,,,,1,1,1,1,,,,2,,2,1,,2,1,1,,2,,2,3,,1,3,1,1,,,1,1,,1,1,2,2,1,1,,,1,3,1,,,,,,,,,,,,,,,,,50
277,5,,,,,1,,,1,,,,,,,,,,,,1,,,,,1,,,,,,,,,,1,,,2,2,,,,1,1,,,1,1,,3,,1,1,2,1,1,1,4,,,,,2,1,1,2,1,2,4,3,2,1,2,2,3,3,2,3,3,2,1,3,5,1,4,2,2,,4,1,1,3,,,2,1,,,,,,,,,,,,,,,,101
278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,1,,,,,1,,,1,,,,,1,,,,2,,1,2,,,,2,1,1,,,2,,1,,,1,,,2,1,,,,,1,,,,,,,,,,,,,,,,,23
279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,1,,,1,1,,1,,,,,,2,1,1,1,1,,2,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,18
285,15,2,,1,,1,,,1,,,2,1,,,,,1,1,,2,,,2,2,1,,,2,2,1,3,,,1,,1,1,,1,3,1,1,1,1,2,2,2,2,1,3,3,4,3,3,2,4,6,6,1,4,3,4,2,8,4,5,8,7,5,9,10,7,3,6,8,5,12,5,5,5,10,5,10,4,8,10,7,4,6,6,5,4,5,2,2,1,,3,1,,,,,,,,,,,,,313
286,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,1,,1,,,2,,1,,1,,1,,1,1,,,,1,1,1,,,,,1,3,,2,1,2,2,1,1,1,1,2,1,3,1,,1,3,3,,1,,4,1,,5,2,1,2,1,,2,,,,,,,,,,,,,,,,,,,63
287,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,1,,,,,,,,,,,,1,2,,1,1,,,,,1,,1,,,1,1,,1,,,1,,2,4,,4,,,,,,1,,1,1,1,,2,1,1,1,,,,1,,,,1,1,,,,,,,,,,,,,,,,37
288,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,1,,,1,1,1,,,1,,,1,,1,,,,,1,1,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,19
290,12,,2,,1,,1,,,,,,,,,,2,1,1,,,,,2,,1,1,2,,1,1,,3,2,,1,,,1,3,,2,1,1,1,1,,5,3,1,2,1,5,1,6,2,,3,4,7,4,2,5,2,1,3,3,8,7,6,16,9,4,7,5,7,3,3,12,12,5,9,10,4,7,6,13,6,9,4,6,3,4,4,5,3,1,1,,,,,,,,,,,,,,,303
291,,,1,,,,,,,,,,,,,,,,,1,1,1,,,1,,1,1,,,1,1,,,1,,1,1,,,1,,2,1,1,,,1,,1,2,1,,2,1,,2,1,,1,2,,1,3,,2,,3,3,1,2,,5,2,2,4,2,1,1,,4,4,2,1,6,,4,4,,2,2,4,,2,,,,1,1,1,1,,,,,,,,,,,,102
292,4,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,1,,,,,,,,1,,1,,,,,1,,,,1,,1,,2,1,,1,2,1,3,,1,1,4,,1,,5,2,,1,2,1,2,2,2,1,2,1,1,,,,1,,,,,,,,,,,,,,,,54
293,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,1,,2,3,3,1,1,,,2,,1,,3,1,2,1,1,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,30
294,1,,,1,,,,,,,,,,,,,,1,,1,1,,,,,,,1,2,,1,,,1,,,,,,,,2,,,,,2,1,,,1,2,1,1,1,2,,3,4,1,5,,3,,1,,3,3,2,2,3,1,3,5,1,6,2,3,3,1,1,7,6,5,3,2,1,1,3,2,3,,4,,,1,,,,,,,,,,,,,,,,,117
295,2,,,,,1,,,,,,,1,,,,,,,,,,,,2,1,,1,,,,,,,,,,1,,1,1,,1,,1,,,,,,,,1,,1,,1,1,2,,1,,1,,,1,1,1,,3,2,,,3,2,2,,1,2,2,4,1,2,2,1,1,3,1,2,2,1,2,,1,,,,,,,,,,,,,,,,,,,64
300,7,,,,,,,1,,,,1,,,1,,2,,2,3,,1,,2,1,2,3,,2,,1,2,4,2,1,3,3,3,2,3,4,2,1,1,1,3,2,,6,5,1,3,7,4,5,3,1,2,4,5,7,8,4,8,7,2,8,5,13,10,14,12,10,16,19,12,23,18,20,14,14,15,16,19,12,11,13,13,14,7,9,13,9,5,5,6,2,2,1,,,,,,,,,,,,,,528
301,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,1,,1,,1,2,,1,,,1,,1,,1,,,1,1,1,1,,1,,,,3,3,3,2,1,2,3,3,4,4,2,1,1,3,2,3,2,2,2,1,2,,2,2,,1,,,,1,,,,,,,,,,,,,74
302,5,,,,,,,,,,,,,,,,,,,,1,,2,,,,,2,1,1,,,1,1,2,1,1,,1,,3,1,2,,3,3,2,2,1,4,1,1,1,2,6,5,6,2,,4,2,2,5,6,5,5,3,8,10,8,8,7,3,2,7,5,6,3,7,7,10,4,7,7,11,13,13,9,2,6,10,7,1,3,3,2,3,1,,1,1,,,,,,,,,,,,291
303,1,,,,,1,,1,,,,1,,,,,,,,,1,,,1,,,,,,,1,,,,,1,1,,,1,,,1,,,1,2,,,,,1,,3,2,1,,2,2,,3,5,2,2,,3,3,2,4,1,2,1,3,7,1,3,1,1,3,6,6,3,1,5,2,1,3,2,3,3,1,1,2,2,1,,,,1,,,,,,,,,,,,,,115
304,3,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,1,,,1,1,,,,,,,,1,,2,1,,,,,,,,1,1,3,1,,,,,,1,,,2,1,,1,2,1,1,1,1,1,4,5,1,1,4,3,2,1,1,3,1,3,1,1,2,,2,,2,,1,,1,,,,,1,,,,,,,,,,,,,71
305,6,,1,,,,,,,1,,,1,,,,,,1,2,1,1,,,,,1,1,,,,1,,,1,,1,,1,1,,1,1,1,1,1,,2,1,3,2,3,2,1,2,2,1,,4,4,5,5,3,5,6,3,8,6,5,6,4,8,6,7,3,5,7,9,6,10,10,7,10,7,13,5,10,7,7,5,1,3,3,2,4,1,3,1,2,,,,,,1,,,,,,,,272
306,3,1,,,1,,,,,,,,,,1,,,,,,,,2,,,,,,1,,,,1,,,,,,1,,,,1,,1,1,1,,1,,1,,3,2,,2,,1,2,4,,1,,1,2,1,,,2,,2,2,3,3,1,1,2,2,5,2,3,2,7,,2,2,,1,1,,2,1,1,,1,1,1,,,,,,,,,,,,,,,,86
310,52,,5,1,1,,1,2,2,1,1,2,,,2,3,1,2,2,3,4,2,5,3,1,4,5,3,8,5,7,1,6,6,8,8,8,7,9,6,8,9,6,9,13,11,10,13,9,11,9,19,19,8,18,15,23,25,23,18,28,27,26,37,20,26,42,41,40,52,47,50,55,57,54,60,57,60,63,67,50,44,54,42,57,46,42,30,39,40,33,17,25,10,18,12,6,7,2,1,1,1,1,1,1,,,,,,,,1952
311,34,,3,,1,1,1,2,,1,1,,2,2,1,,1,2,2,2,1,3,3,4,1,3,3,5,3,2,3,4,5,9,3,9,6,2,8,8,9,5,3,9,8,9,6,7,7,8,8,12,11,18,9,15,16,22,13,11,24,19,29,30,23,25,33,35,36,45,54,40,52,66,48,58,63,45,42,48,52,49,45,55,45,44,50,42,40,47,31,21,35,22,16,13,11,15,2,2,3,,1,1,1,1,,,,,,,1806
312,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,1,,,,,,1,,,,2,1,2,2,4,,1,,,,1,,,1,,3,,,,3,,1,3,2,1,2,1,1,4,3,6,7,2,6,2,4,1,2,4,2,3,5,7,2,2,3,4,1,2,1,,,1,1,2,2,,1,,,,,1,,,,,,,,,,118
313,3,,,,,,,,,,,,,,,,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,1,2,,,,,,,,,,2,5,3,1,1,1,,2,1,2,6,,2,,1,2,2,1,,2,1,2,1,,4,1,1,3,1,1,2,2,,,,,,,,,,,,,,,,,,,65
314,16,1,1,,,,1,1,1,,,,,,,,,,,,,2,,,1,,1,1,1,,2,1,1,2,2,3,3,1,3,4,1,5,1,4,4,2,1,1,1,5,4,7,6,5,4,5,8,6,5,7,11,15,14,10,11,16,21,18,25,20,23,15,18,24,27,21,20,26,23,24,24,32,21,18,28,20,17,24,11,22,19,12,16,12,11,8,2,3,6,1,,,1,,,,,,,,,,821
315,11,1,1,1,,,,,,,,,1,1,,,,1,1,2,1,,1,2,,1,1,2,,1,4,2,3,2,2,,2,2,2,5,1,2,2,3,7,3,3,5,2,1,2,2,3,2,4,8,5,5,5,9,3,4,14,9,5,13,13,7,12,8,8,12,16,16,20,15,14,19,22,16,20,21,22,11,14,18,8,19,18,11,11,5,3,4,9,1,1,3,3,,2,,,,,,,,,,,,577
316,3,,,,1,,,,,,,,,,,,,,,1,,2,1,1,,,,,2,,,,,,,,,1,,1,,,,,,,,2,2,,1,1,1,,,,,1,1,1,1,3,5,1,3,,3,2,,2,2,6,1,,2,3,3,3,3,2,4,,1,1,2,4,4,3,,2,3,1,1,3,,1,1,1,2,,,,,,,,,,,,,,102
317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
318,3,,,,,,1,,,,,,,,,,,,,,2,,,1,,,,1,,,1,,,2,1,,,1,,1,,,,,2,,2,1,1,,1,1,2,,1,1,1,,2,1,2,3,1,3,1,1,3,2,4,2,3,2,3,5,1,3,2,5,3,7,1,1,5,1,3,5,3,2,4,2,3,2,,,1,,,1,,,1,,,,,,,,,,,,121
320,14,,2,,1,,,1,,,1,1,1,,1,2,1,1,4,1,1,3,1,1,1,3,1,1,1,2,,1,3,1,3,1,2,,4,2,1,5,,3,4,1,4,5,3,6,6,12,3,2,2,4,11,8,3,7,6,5,11,6,5,11,9,12,11,12,8,6,15,14,13,15,9,9,10,11,15,14,11,6,7,17,10,20,8,7,7,9,6,1,3,,4,,2,3,1,1,1,2,,,,,,,,,506
