Comuna,muertes.men1,muertes.1,muertes.2,muertes.3,muertes.4,muertes.5,muertes.6,muertes.7,muertes.8,muertes.9,muertes.10,muertes.11,muertes.12,muertes.13,muertes.14,muertes.15,muertes.16,muertes.17,muertes.18,muertes.19,muertes.20,muertes.21,muertes.22,muertes.23,muertes.24,muertes.25,muertes.26,muertes.27,muertes.28,muertes.29,muertes.30,muertes.31,muertes.32,muertes.33,muertes.34,muertes.35,muertes.36,muertes.37,muertes.38,muertes.39,muertes.40,muertes.41,muertes.42,muertes.43,muertes.44,muertes.45,muertes.46,muertes.47,muertes.48,muertes.49,muertes.50,muertes.51,muertes.52,muertes.53,muertes.54,muertes.55,muertes.56,muertes.57,muertes.58,muertes.59,muertes.60,muertes.61,muertes.62,muertes.63,muertes.64,muertes.65,muertes.66,muertes.67,muertes.68,muertes.69,muertes.70,muertes.71,muertes.72,muertes.73,muertes.74,muertes.75,muertes.76,muertes.77,muertes.78,muertes.79,muertes.80,muertes.81,muertes.82,muertes.83,muertes.84,muertes.85,muertes.86,muertes.87,muertes.88,muertes.89,muertes.90,muertes.91,muertes.92,muertes.93,muertes.94,muertes.95,muertes.96,muertes.97,muertes.98,muertes.99,muertes.100,muertes.101,muertes.102,muertes.103,muertes.104,muertes.105,muertes.106,muertes.107,muertes.108,muertes.109,muertes.110,muertes.112,muertes.Total 
1101,16,4,,,1,2,2,2,1,1,1,1,,2,,1,1,3,2,2,1,2,4,2,1,2,2,1,3,,6,7,2,2,5,7,1,8,1,5,7,5,4,5,5,5,11,9,5,6,8,4,10,10,10,14,9,9,15,9,13,14,13,8,14,21,12,17,15,19,18,14,16,13,18,24,22,23,20,23,26,27,17,16,24,12,11,14,17,24,9,14,12,8,4,7,4,2,3,1,3,1,1,2,,,,,,,,,860
1102,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,6
1104,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,1,,,1,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,10
1105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,2,1,,,,,,,1,,1,1,,,,,,,,,,,1,,,,,,,,,,,,,10
1106,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,2,,,,1,1,,1,,,,1,1,,1,,,1,,,,,,,,,1,1,,,1,,1,2,2,,1,1,,,3,,1,1,2,1,,,,,,1,,,,,1,,,,,,,,2,1,,,,1,,,,,,,,,,,,,,,36
1107,9,,,,,,,1,,,1,,,,,,1,2,,2,1,,,3,1,,,,1,3,,1,2,3,,1,,2,2,2,1,,1,1,2,1,1,2,,,1,1,,3,3,2,3,4,3,1,1,1,4,3,2,3,3,3,2,4,,4,3,3,3,5,2,3,2,2,3,2,,5,2,1,2,2,1,,1,1,,2,,,1,,,,,,,,,,,,,,,,144
1201,17,3,,2,2,,1,1,,,,1,1,1,,1,2,1,2,4,3,2,4,5,3,1,3,1,2,8,4,4,5,5,4,5,6,3,4,4,5,7,5,8,4,6,7,3,8,6,4,5,6,6,7,6,9,14,16,10,12,15,19,20,18,18,17,21,21,28,24,21,32,15,22,27,34,24,22,22,35,37,21,19,19,8,9,13,24,15,10,16,11,9,5,5,7,2,,1,1,,,1,,,,,,,,,957
1301,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2101,37,2,,1,2,2,,1,,,,2,1,,4,1,4,2,5,3,3,1,6,3,4,3,5,2,2,6,4,8,8,6,7,6,8,8,1,7,9,4,12,11,12,9,13,14,12,15,10,19,14,20,21,19,25,20,19,23,18,24,22,23,29,23,26,37,28,42,37,39,33,36,44,56,37,58,43,39,44,46,44,40,23,27,24,24,20,28,15,24,11,10,11,8,9,6,3,4,,,1,,,,,,,,,,1582
2102,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,1,,1,1,,,1,,,2,,,1,1,2,2,,1,,1,2,2,2,3,1,1,1,1,1,,3,1,,1,,,1,,1,1,1,1,,,2,,,1,,,1,,,,,,,,,,,,,,,,,47
2103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
2104,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,1,,,,,,,,,,,1,,,,,,,,1,1,,,,1,,1,2,,1,2,,4,1,1,3,1,1,7,1,2,1,1,4,1,,2,,1,2,1,,,1,,1,,1,2,,1,1,,,,,,,,,,,,,,,,56
2201,19,2,2,1,,1,,,,1,,,,1,4,,1,2,1,4,2,,1,2,5,1,1,2,1,4,1,3,2,4,2,2,1,7,2,2,4,4,5,9,6,4,4,5,4,8,2,6,4,6,3,3,2,10,7,12,4,6,11,12,14,11,5,10,19,10,8,12,11,14,12,16,13,15,8,10,16,12,10,11,14,7,11,10,8,3,2,5,2,9,3,4,2,2,,,1,,,,,,,,,,,,545
2203,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,1,,,1,1,,,,,,,1,,,,,,,1,,,1,,,,,1,,,,,,,,,,,,1,1,,,,,2,,,,,,,,,,,,,,,,,,,16
2301,4,,,,,,,,,1,,1,,,1,,,1,,,,,,,,,1,,,2,,,2,1,,,1,1,,,,3,3,3,,,2,1,,1,3,3,3,5,4,1,3,3,3,2,2,3,3,3,2,1,4,3,1,4,6,2,3,3,6,10,1,6,4,5,1,6,3,7,3,3,4,2,4,1,2,2,1,,2,1,2,,,,,,,1,,,,1,,,,,177
2302,1,,,,,,,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,1,1,,,,1,,,,1,,,,,,1,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,14
3101,26,2,,,,,,1,,,2,,,,,1,2,1,2,,1,1,1,1,2,3,2,2,1,3,4,,2,1,4,3,3,1,1,3,3,,2,2,5,1,6,4,5,5,7,5,6,3,5,9,8,5,12,8,7,7,6,11,17,17,12,12,11,13,12,23,14,17,8,21,31,18,19,17,13,22,11,14,9,8,11,10,10,11,7,8,7,8,7,5,5,2,1,,,1,,,,,,,,,,,640
3102,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,1,,1,,1,,,,2,,,,1,,,1,,,2,2,2,3,1,,,1,2,,3,1,1,3,1,1,,2,,1,2,1,,,2,,,,1,,1,,,,,,,,,,,,,,,,,,,46
3103,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,2,,,1,,,,,,1,1,1,,,,,1,,1,1,1,,,1,1,3,2,,,,,,1,3,1,1,,,1,3,1,,1,1,2,1,1,1,,,,,,,1,,,,,,,,,,,,40
3201,2,1,1,,,,,,,,,,,,,1,,,,,,,,,1,,1,,,,,1,,1,,,,,1,,,1,1,1,2,,,2,,,,,,,2,1,1,,1,1,,,1,2,,1,3,1,,2,,2,3,3,2,5,5,1,3,5,2,2,1,2,1,,1,,1,1,1,,,,,1,,1,,,,,,,,,,,,,,,76
3202,4,,,,,,,2,,,,1,,,,,,,,,,1,,1,,,,,1,,,,,,,1,,,2,,,,,1,2,,,2,,,1,,,,,2,,3,,,,,,2,3,,,,1,2,1,,3,,2,3,2,2,4,1,,2,1,4,1,3,4,2,1,2,3,2,,,1,,,,,,,,,,,,,,,,,,76
3301,3,,,,,,,,,,,,,,1,1,,,2,,1,,,,1,,3,,1,,,,1,,,,,1,,1,2,1,1,4,,,3,3,1,2,1,2,2,3,2,3,2,3,3,1,3,1,2,7,4,6,3,7,9,11,6,1,5,12,10,7,7,12,10,8,10,15,9,9,5,5,7,2,6,1,6,3,4,7,3,1,3,3,4,1,,,,,,,,,,,,,290
3302,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,,,,,,,,1,,,2,,,,,1,,,1,,,,,,,,,,,,14
3303,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,1,,,,,1,,,,,,,,1,1,,,,,,,1,,1,3,,1,,,1,,,1,,,,,2,,2,1,1,,1,,1,1,1,2,,,,1,,,,,,,,,1,,,,,,,,,,,,30
3304,4,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,1,1,,,,,1,,,,,1,,,1,,1,,,2,,1,1,,,1,1,,,1,1,,3,1,6,,,4,2,,1,,2,1,1,,1,1,,,3,,1,,1,,,,,,,,,1,,,,,,,,,,49
4101,23,2,,,1,1,1,,3,1,,,,,,2,,1,4,,,1,1,,1,2,2,2,2,1,1,3,2,4,3,1,3,4,5,2,3,2,3,1,3,4,7,4,6,7,7,5,5,7,6,5,12,6,9,12,9,7,12,10,8,11,14,12,15,19,15,18,15,9,25,21,20,25,26,22,18,20,27,23,22,23,23,23,24,19,12,11,17,14,3,9,11,7,3,5,1,2,2,,,,,,,1,,,826
4102,23,2,2,,,,1,,,,1,,,,,,2,1,3,,1,2,,4,1,2,2,2,3,1,1,4,1,,4,4,4,3,4,2,1,3,5,8,6,4,6,5,3,4,3,6,7,9,10,5,7,6,5,8,12,8,10,16,14,9,18,16,10,16,19,21,14,13,17,24,19,28,23,28,22,30,11,19,20,17,9,18,21,11,9,10,8,10,6,7,2,6,2,4,1,,1,,,,,,1,,,,771
4103,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,3,,,,2,,1,1,,,,,1,,,,,,,,,,2,2,,,3,2,2,2,2,2,2,,3,,3,3,1,2,,4,2,2,5,4,1,1,4,3,2,2,1,,1,1,1,,,,,,,,,,,,,,,,,,77
4104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,1,,,,,1,,,,,1,,,1,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,10
4105,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,1,1,,,1,,,,2,,,1,,,,2,,,,1,,1,,,,,,,,,,,,,,,,,,18
4106,2,,,1,,,,,1,,,,,1,,,,,,,,,,1,,,,1,1,,,,,,1,,,1,1,1,,,1,,1,,,,,1,,1,2,,1,2,2,1,2,1,3,2,2,2,4,1,3,,1,2,,4,,2,2,6,2,,5,3,1,2,9,,3,2,4,,,3,4,2,3,1,1,,,,,,1,,,,,,,,,,,,107
4201,3,,1,,,,,,,,,,,,,,,1,,1,,,,,,,3,,,,,1,,,1,1,1,,,,1,,,,,1,1,1,1,2,,,2,1,1,4,2,2,,3,2,2,2,,1,3,4,2,2,4,3,3,6,6,5,2,7,4,5,6,5,8,7,8,4,7,4,3,3,5,1,6,5,3,6,3,,1,,1,,,,,,,,,,,,,184
4202,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,1,,,1,1,1,2,,,1,1,1,2,1,,1,1,1,,,2,,1,1,6,,2,1,4,2,1,1,,,1,,1,1,,,,,,,,,,,,,46
4203,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,1,,1,1,1,1,1,,1,2,,,2,,,2,,,,1,1,1,2,,,,2,1,2,1,2,1,1,3,3,3,,1,,1,,3,4,4,4,1,3,2,,4,3,3,1,4,2,1,2,2,2,2,2,3,4,,3,1,1,,,,1,,,,,,,,,,,,,,105
4204,5,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,1,,,1,,,,1,,,,,1,1,2,1,1,1,,2,1,2,1,2,,1,2,,,1,1,,,4,3,2,5,5,1,2,3,1,3,2,4,5,4,7,3,4,7,1,1,5,5,1,6,4,1,1,1,5,3,4,,1,,,,1,,,,,,,,,,,,136
4301,11,2,1,1,1,,,1,1,,,1,,,1,1,,3,1,,,1,,,,1,3,,1,2,,1,1,3,1,,1,2,2,3,3,2,5,4,3,2,3,1,6,1,2,2,7,1,2,8,3,4,6,3,7,8,4,6,14,10,12,10,10,7,11,5,8,3,14,11,19,22,19,13,7,18,14,17,16,20,14,5,9,13,11,10,9,7,6,2,3,4,4,,1,,,,,,,,,,,,518
4302,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,,1,1,,,,,,,1,1,,,,1,,,,,2,,,,1,1,1,1,,,,1,2,1,,2,,,,,5,1,3,2,2,1,1,2,6,3,6,1,4,2,7,2,3,1,2,4,1,1,2,2,6,2,2,,,,1,1,,,,,,,,,,,,,97
4303,,1,,,,,,,1,,,1,,,1,,2,1,,,,1,1,,,1,2,,1,2,3,1,,,1,1,,,1,,,,,2,,1,2,1,1,1,1,3,1,2,,2,1,,1,,2,1,4,1,4,3,,3,2,3,4,5,8,,5,3,2,7,3,4,2,2,10,3,2,2,1,5,6,1,5,3,1,2,2,2,,,,,1,1,,,,,,,,,,,156
4304,2,,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,1,,,2,,,,,1,,,,,1,1,1,,,1,,,,,,,,1,,1,,,,,1,,,1,,1,1,1,2,1,,2,2,2,,,2,1,,2,3,1,1,2,2,2,1,,3,2,2,3,1,1,,1,2,,1,,,1,,,,,,,,,,63
4305,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,2,,1,,2,3,2,1,1,,1,4,,1,,2,,,,1,,,,,,,,1,,,,,,,,,,,,28
5101,27,1,2,,1,,2,1,,2,,1,2,1,,3,5,2,6,3,,,2,6,3,1,4,7,5,6,8,4,3,2,9,2,3,6,7,5,11,13,7,21,10,12,11,9,15,18,12,20,23,18,20,21,17,24,18,23,26,26,35,25,28,47,27,40,35,33,31,36,39,60,47,56,63,67,63,51,53,51,52,60,57,56,41,43,29,47,44,33,42,33,17,20,10,9,3,2,2,4,3,,,1,,,,,,,2012
5102,4,1,,,,,,,,,,,,,2,,,,,,,1,,1,1,,,,1,1,,,,2,1,,,1,1,,2,,,,1,1,3,1,2,,2,,1,1,2,3,1,,2,2,1,,,,1,1,1,2,3,1,3,1,3,6,5,3,,7,3,4,4,7,6,5,4,7,4,1,4,4,1,1,2,2,1,1,1,1,1,,,,,,,,,,,,,,143
5103,9,,,,,,1,,,,,,,,,,,,,,1,,,1,,1,,,,1,,,1,,,1,3,,,,,2,,1,1,,1,1,1,5,1,,,2,3,2,2,,3,1,1,2,2,1,2,5,3,2,4,2,3,1,,6,5,2,4,3,9,4,2,2,3,4,3,4,1,5,4,4,5,1,1,2,4,,,2,,,,,,,,,1,,,,,,154
5104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2
5105,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,1,1,,,,1,,,,1,1,,,,,,,,,,1,,2,,2,,3,2,1,1,2,2,1,2,,1,2,3,4,1,3,3,1,2,4,5,1,1,2,2,1,4,2,2,1,2,2,,,1,,,1,,1,,,,,,,,,,,,,80
5106,13,1,,1,,,,,,,1,,,,,,,3,,,,1,,2,2,1,3,,,3,2,3,1,2,4,3,1,1,5,1,,3,2,1,6,3,5,4,5,6,5,4,1,6,5,6,12,8,9,5,10,14,11,21,14,12,13,17,22,19,22,21,18,18,25,37,31,18,23,31,27,14,23,26,23,20,27,22,21,25,19,17,14,16,13,10,4,2,3,1,3,1,,,,,,,,,,,878
5107,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,1,1,2,,,,1,1,,,,,,2,1,,2,,2,2,1,,4,2,2,4,1,1,1,4,,4,5,4,2,6,6,3,1,4,4,6,9,9,5,4,2,4,3,2,2,2,2,5,4,2,3,2,,2,1,,2,2,,,,,,,,,,,,,,,150
