Comuna,muertes.men1,muertes.1,muertes.2,muertes.3,muertes.4,muertes.5,muertes.6,muertes.7,muertes.8,muertes.9,muertes.10,muertes.11,muertes.12,muertes.13,muertes.14,muertes.15,muertes.16,muertes.17,muertes.18,muertes.19,muertes.20,muertes.21,muertes.22,muertes.23,muertes.24,muertes.25,muertes.26,muertes.27,muertes.28,muertes.29,muertes.30,muertes.31,muertes.32,muertes.33,muertes.34,muertes.35,muertes.36,muertes.37,muertes.38,muertes.39,muertes.40,muertes.41,muertes.42,muertes.43,muertes.44,muertes.45,muertes.46,muertes.47,muertes.48,muertes.49,muertes.50,muertes.51,muertes.52,muertes.53,muertes.54,muertes.55,muertes.56,muertes.57,muertes.58,muertes.59,muertes.60,muertes.61,muertes.62,muertes.63,muertes.64,muertes.65,muertes.66,muertes.67,muertes.68,muertes.69,muertes.70,muertes.71,muertes.72,muertes.73,muertes.74,muertes.75,muertes.76,muertes.77,muertes.78,muertes.79,muertes.80,muertes.81,muertes.82,muertes.83,muertes.84,muertes.85,muertes.86,muertes.87,muertes.88,muertes.89,muertes.90,muertes.91,muertes.92,muertes.93,muertes.94,muertes.95,muertes.96,muertes.97,muertes.98,muertes.99,muertes.100,muertes.101,muertes.102,muertes.103,muertes.104,muertes.105,muertes.106,muertes.107,muertes.108,muertes.109,muertes.110,muertes.112,muertes.Total 
5108,8,1,1,,,,,1,,1,,,,1,1,,,1,,1,1,1,,2,1,,,,,,,1,1,3,,1,2,1,1,,1,2,2,2,4,4,3,2,1,3,2,7,4,5,5,2,4,,5,7,7,6,3,6,9,10,11,5,14,15,12,16,16,14,21,24,21,16,22,16,23,15,18,22,18,16,20,15,12,12,20,9,21,10,6,7,,9,5,2,3,,1,1,,1,,,,,,,626
5109,35,1,5,,1,,1,1,,1,1,1,,2,1,2,2,,,3,4,1,2,,6,3,4,6,2,5,3,2,1,9,5,5,2,3,5,5,2,6,11,5,11,5,15,8,10,11,13,15,17,12,12,6,20,17,20,19,29,35,18,24,24,29,35,34,28,43,50,44,51,44,47,67,67,68,66,64,68,49,64,73,57,68,56,45,54,52,38,42,30,34,30,19,16,15,10,7,6,3,1,,,,,,,,,,2069
5201,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,1,1,,,,,,,,1,,,1,,,1,1,,,1,,,1,,1,,,,,2,2,,,,1,,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,21
5301,6,1,1,,,,,,,,1,,1,1,,2,1,1,,1,,1,,2,,2,1,,,1,,,,2,1,2,,1,1,1,1,,1,1,2,2,2,4,4,7,1,1,1,5,2,4,4,4,3,7,6,8,2,3,7,3,2,3,5,3,10,10,8,5,11,4,9,11,12,10,13,8,7,3,11,6,9,3,10,7,8,8,11,5,1,,,2,2,,,1,,,,,,,,,,,334
5302,1,,,,,1,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,1,,,,,1,,,1,,,,1,,,,,,2,,2,3,1,1,1,,2,1,,1,,3,2,2,3,,1,1,1,1,2,1,4,1,2,,,1,,1,1,,1,,,,,,,,,,,,,,,,,,52
5303,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,1,1,,1,,1,,1,,,,,,1,,,,3,,2,2,,,1,1,2,,1,,,,2,,1,,,,,,1,1,,,,,,,,,,,,30
5304,1,,,,,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,,,,,,,1,2,,2,1,,1,1,1,1,2,,2,2,2,1,3,,2,1,1,4,1,2,5,5,2,,,,2,1,2,2,2,1,3,3,4,1,,1,,1,,,1,,,,1,,,,,,,,,,,77
5401,2,,,,,,,,,,,,,,,,,,,1,2,,1,,,,,,,,,,,,,1,,,,1,1,,1,1,2,2,1,2,1,2,1,,2,3,,1,2,3,2,1,1,6,4,6,5,4,1,1,5,6,2,4,4,8,5,5,1,3,9,7,4,2,7,4,3,6,4,4,4,2,2,1,2,,1,,,,,1,1,,,,,,,,,,,,171
5402,2,,,,,,,,,,,,,,,,1,,1,1,,,,,1,,,,,,,,,,,1,1,,,1,,,,,,1,,1,1,1,,1,1,,2,1,2,1,,,1,3,2,4,1,2,,1,1,3,4,3,2,2,4,1,5,3,4,1,5,1,5,4,4,1,3,1,3,2,2,1,2,1,,,,3,,,,,,,,,,,,,,,106
5403,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,2,,2,,1,,,,2,1,,,,1,,,,,1,,1,,,3,1,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,21
5404,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,1,2,,,1,,2,,,,1,,1,1,2,,1,3,1,,,,2,2,,,1,2,,,,1,,4,3,,1,2,1,3,2,4,,2,2,3,1,,,,1,,,,,,,,,,,,,58
5405,,1,,,,,,,,,,,,,,,,1,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,1,1,1,,,,,,,,1,,1,3,,2,,1,3,,3,1,,,,1,,,,,,,,1,,,,,,,,,1,,,,,,,,,,29
5501,5,,,,,,,,,,,,1,,1,2,,,2,1,,,,1,3,,,1,2,2,1,,3,3,,1,3,1,,1,3,4,2,2,6,2,6,5,2,8,6,6,4,8,3,3,4,2,6,9,6,13,7,8,8,10,7,10,12,8,11,9,9,9,18,11,13,12,13,18,19,17,20,13,14,19,10,11,13,6,5,10,9,7,6,3,2,1,1,,1,,,,1,,,,,,,,525
5502,6,,,,,1,,,,,,1,,,2,1,,,,1,,2,1,,1,,,,,,,2,1,,,1,1,1,2,2,2,,1,,1,1,2,3,5,1,2,1,2,3,1,4,4,,4,1,4,4,6,2,2,6,2,4,6,11,4,6,6,5,5,11,10,10,12,6,7,4,10,3,14,8,10,7,10,3,7,4,3,6,3,4,1,,1,,1,,,,,,,1,,,,,293
5503,4,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,1,1,,,,1,1,1,,2,,3,2,1,,,,1,1,,2,4,3,4,4,3,3,1,,4,3,3,3,3,2,3,1,1,,2,,1,,1,,,,,,,,,,,,,,,,,,75
5504,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,1,,,,,,,1,,2,,,,1,,,,,2,,1,,,1,,,2,,1,2,2,2,,1,,1,1,3,1,,2,2,1,1,1,1,,3,3,2,5,3,3,3,1,1,1,,4,2,1,3,,2,1,2,,,,,,1,,,,,,,,,,,,,77
5505,7,,,,,1,,,,,,1,,,,,,1,2,3,,,,2,1,,,1,,,,1,,,1,,,1,3,,,,1,3,1,,1,2,1,3,1,5,,3,3,5,2,,3,4,,1,6,6,3,5,5,11,3,2,6,8,10,6,7,10,10,5,12,13,8,6,11,7,5,9,6,10,5,6,9,3,4,3,4,1,3,1,,,1,,,,,,,,,,,,294
5506,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,1,1,,,,,,,1,1,1,1,2,,,2,1,,,1,,,3,1,,2,1,1,3,1,1,4,2,,5,4,1,2,2,5,2,6,9,,1,3,3,2,3,1,2,1,1,3,,2,1,1,1,1,,,,,,,1,,,,,,,,,100
5507,2,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,,,,1,,,,,1,,7,1,,1,1,,2,,,,,2,1,2,1,2,3,2,2,2,,3,4,4,1,2,2,5,2,4,1,3,2,,2,1,4,1,,2,1,,,1,,,1,,,,,,,,,,84
5601,5,,,,,,1,,,,,,,1,,1,2,1,,1,2,3,4,2,4,3,,2,,,,6,1,2,1,3,3,2,2,2,3,1,5,4,3,5,2,4,3,5,5,4,4,9,8,3,8,5,9,7,3,9,7,10,11,11,9,12,16,15,21,15,11,12,12,17,25,25,10,22,17,21,12,18,21,13,13,16,15,8,8,6,3,9,3,5,4,1,2,,1,,,1,,,,,,,,,621
5602,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,2,1,1,,1,1,,2,2,,,1,1,,2,3,,2,,,,2,1,,1,1,,3,1,1,2,,,,1,,,,,,2,,,1,,1,,,,,,,,,,,42
5603,3,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,1,,,,1,,,,2,,1,1,1,1,,,,,,1,,1,,,1,2,1,1,,1,2,,2,1,,2,,3,2,1,3,2,2,,2,3,1,4,3,2,1,4,2,3,2,4,1,3,4,3,2,3,2,3,2,3,1,1,,,,,,1,,,,,,,,,,,101
5604,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,,,1,1,,,2,,,,,,1,1,,,,4,1,2,,2,1,,,2,1,,2,2,,1,1,1,2,3,3,,2,,1,1,1,1,1,,,,1,,,,,,,,,,,,,,,,,,48
5605,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,1,,,,,1,,2,,,2,,,1,,,2,,1,,1,2,1,1,2,,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,25
5606,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,1,1,,,1,,,,1,,1,,1,,,2,,,,,,,,1,2,1,1,,1,1,2,,2,,,3,2,5,,2,1,,1,,1,,1,,,1,,,,,,,,,,,,,,,,39
5701,7,,,,1,,,,,1,,,1,,,,,,2,,1,,5,2,3,1,,2,2,3,1,1,1,2,2,,,,1,1,1,4,2,2,2,2,3,4,,4,3,1,4,2,1,3,3,1,7,4,4,6,4,5,7,3,5,7,5,7,7,7,5,10,11,12,11,13,18,5,11,9,13,5,10,13,8,9,13,8,10,6,10,6,5,1,2,1,1,1,,,,,,,,,,,,,387
5702,2,,,,,,,1,,,,,,,,,,,,,,,1,1,,1,,1,,,,,,,1,1,,,,,1,,1,,,1,,,1,1,2,,,,,,1,,1,2,1,2,,,1,1,1,2,1,2,2,2,4,3,2,3,1,2,1,3,2,3,,3,3,2,,1,,2,2,1,1,,1,,,,,1,,,,,,,,,,,,,76
5703,6,,,,,,,,,1,,,,,,,,,,1,1,,,,,,,,1,,,1,,,,,1,,2,,,1,,,3,,,2,,2,1,1,1,2,,,1,1,2,,1,2,3,2,2,5,2,2,3,5,4,2,5,2,3,2,4,5,2,6,4,3,2,3,4,2,3,4,,2,1,,1,2,,,1,1,1,,,1,,,,,,,,,,,128
