Comuna,muertes.men1,muertes.1,muertes.2,muertes.3,muertes.4,muertes.5,muertes.6,muertes.7,muertes.8,muertes.9,muertes.10,muertes.11,muertes.12,muertes.13,muertes.14,muertes.15,muertes.16,muertes.17,muertes.18,muertes.19,muertes.20,muertes.21,muertes.22,muertes.23,muertes.24,muertes.25,muertes.26,muertes.27,muertes.28,muertes.29,muertes.30,muertes.31,muertes.32,muertes.33,muertes.34,muertes.35,muertes.36,muertes.37,muertes.38,muertes.39,muertes.40,muertes.41,muertes.42,muertes.43,muertes.44,muertes.45,muertes.46,muertes.47,muertes.48,muertes.49,muertes.50,muertes.51,muertes.52,muertes.53,muertes.54,muertes.55,muertes.56,muertes.57,muertes.58,muertes.59,muertes.60,muertes.61,muertes.62,muertes.63,muertes.64,muertes.65,muertes.66,muertes.67,muertes.68,muertes.69,muertes.70,muertes.71,muertes.72,muertes.73,muertes.74,muertes.75,muertes.76,muertes.77,muertes.78,muertes.79,muertes.80,muertes.81,muertes.82,muertes.83,muertes.84,muertes.85,muertes.86,muertes.87,muertes.88,muertes.89,muertes.90,muertes.91,muertes.92,muertes.93,muertes.94,muertes.95,muertes.96,muertes.97,muertes.98,muertes.99,muertes.100,muertes.101,muertes.102,muertes.103,muertes.104,muertes.105,muertes.106,muertes.107,muertes.108,muertes.109,muertes.111,muertes.Total 
5302,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,1,,,,,,,,1,1,,,,,,2,1,,1,,2,,,1,1,,2,2,3,,1,1,2,1,3,,,3,3,4,2,1,1,1,1,1,2,5,1,1,1,,1,,1,,,,,,,,,,,,,,,61
5303,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,1,,1,1,,,,1,3,,,,,2,1,2,2,,1,2,1,1,,,,2,,1,2,,,2,3,1,,1,1,,,,,,,,,,,,,,,36
5304,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,1,,2,,,,1,1,1,,,1,,1,4,,1,1,,,2,3,2,1,2,,1,,1,3,4,5,5,3,,4,3,2,2,1,1,2,3,2,3,1,1,,,,,,,,,,,,,,,,,76
5401,6,,,,,,,,,2,1,1,,,,,,,,,,,,,,1,,,,1,1,,,,,,,1,1,,1,1,,,1,,1,,1,2,3,1,,4,1,,2,,1,,2,1,1,5,4,4,7,3,3,5,5,1,7,2,4,3,3,5,1,7,3,5,9,9,1,2,4,5,8,2,5,5,3,3,1,1,3,,1,,,,,,,,,,,,,177
5402,2,1,,,1,,,,,,,,,,,,,,,,,2,,1,,,1,,,,,,1,,,,,,,,,,2,1,,,1,1,1,2,1,2,1,1,,,,1,1,,,,4,,1,2,3,2,1,3,,4,2,4,1,5,1,2,6,3,3,2,2,2,3,2,2,3,1,1,1,4,1,2,2,1,2,,,,,1,,,,,,,,,,103
5403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,1,,1,,1,1,,,,,1,,,1,2,2,,2,3,2,2,1,,1,,,2,,,1,,1,,1,,,,,,,,,,,,,,,,,,,30
5404,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,1,,,1,1,2,,,,,2,1,,,,1,,,3,,1,,2,,1,,,1,3,1,2,,2,2,,2,2,3,3,,1,1,1,,1,1,,1,1,,,2,2,,2,2,1,2,,,,1,1,,2,,,,,,,,,,,62
5405,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,2,,,,,,,1,,,1,,1,1,1,2,1,,,,1,2,,,,2,2,1,,,,1,,,1,,1,,,,,,,,,,,,,,,,,27
5501,8,,,,,,,,1,1,,,,,1,,1,1,1,,,1,,,,3,2,,1,,,1,,,2,2,1,,,1,,2,2,2,5,3,6,2,3,5,2,7,4,4,8,7,1,6,1,10,9,7,6,4,12,12,9,6,11,10,11,15,15,14,12,20,17,15,14,23,26,11,15,14,20,22,13,14,15,15,12,13,7,5,6,5,1,1,3,2,,,1,1,1,,,,,,,573
5502,7,,,,,,,,,1,,,,,,,1,,2,,,2,,,3,1,1,2,1,2,,,1,2,,,1,,,,,2,,2,2,,1,1,4,6,2,1,2,5,3,4,2,5,3,5,4,2,7,7,3,7,6,6,7,5,9,5,5,14,9,8,11,10,6,9,8,13,16,11,15,9,6,10,10,6,6,7,6,7,2,2,3,5,4,,,,,,,,,,,,,363
5503,2,,,,,,,,,,,1,,,,,,,,,,1,,,,1,,,,,2,,,,,,,1,1,,,1,,,1,1,,1,,,1,2,,2,1,,2,1,2,,2,2,1,,,,,2,1,4,4,2,1,,2,,3,7,3,2,,4,9,4,,1,6,1,4,2,2,1,3,1,,2,,,,,,,,,,,,,,,,100
5504,2,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,1,,1,,,,,2,,1,,1,1,,1,,1,,2,2,,,,1,,4,1,2,2,2,3,,2,3,2,,1,2,4,6,1,3,4,1,1,,1,1,,1,1,2,2,2,1,,,1,,,,,,,,,,,76
5505,7,,1,,,,,,,1,,,,,,,1,1,,,1,,,1,,,1,,1,,,1,,,1,,4,1,,,,1,1,,1,,,,3,2,1,2,3,4,2,5,2,2,4,3,,2,,3,8,2,7,2,5,2,8,6,7,5,10,8,11,12,12,9,11,12,9,9,8,8,5,7,8,9,8,6,5,9,5,4,2,3,,,1,,,1,,,,,,,,307
5506,1,,,,,,,,,1,,,,,,,,,1,2,2,,2,,,,,,,,,,2,,1,,,,,,,,1,,2,,,,,2,1,1,1,,1,1,3,2,3,2,,4,4,2,3,2,1,3,2,3,3,3,5,2,4,3,5,6,1,5,3,8,1,4,4,3,3,2,,,1,3,2,3,,,1,,,1,,1,,,,,,,,,,133
5507,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,1,3,1,,1,,1,,,1,3,,1,1,3,1,1,1,3,1,4,1,2,4,1,3,2,3,2,1,4,2,1,1,2,4,3,1,1,,,1,,2,,,,,,,,,,,,,,,,74
5601,13,1,2,1,,,,1,,,,,,,,,,1,,2,1,2,1,2,,1,1,1,2,1,1,3,,2,2,,3,4,3,1,,2,2,6,4,3,4,6,5,3,6,5,3,4,5,5,4,7,6,6,5,6,16,12,4,9,5,15,7,17,13,17,11,12,18,16,13,10,9,20,20,17,16,13,18,20,18,11,8,16,8,8,7,9,7,3,3,2,2,1,,,1,,,,,,,,,581
5602,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,1,,1,,,2,,,,1,,,1,,,,2,1,,,1,,,,,1,,1,1,,,1,1,1,1,,,1,3,1,2,,2,1,1,1,3,1,1,1,1,3,1,1,4,1,,1,,2,1,,2,1,1,,,1,,,,,,,,,,,,,59
5603,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,1,,,1,,2,,1,1,,1,,,1,1,,,,1,1,,1,1,3,,1,3,,,3,3,3,2,,1,4,2,2,6,3,2,3,4,5,3,4,4,3,2,2,6,6,1,1,,1,3,1,,1,,1,,,,,,,,,1,,,,106
5604,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,1,,,,1,,,,1,,,,,1,,,2,,,1,,,1,,1,,,,,,,,1,,2,1,2,1,2,,1,1,,3,3,1,2,1,,1,1,1,1,4,4,2,,1,1,,1,1,2,2,3,1,1,,1,,,2,,,,,,,,,,,,,62
5605,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,1,,,,,,,,1,,1,2,,1,1,,1,,,,2,,3,2,1,,1,1,1,1,2,3,1,3,1,1,2,,,1,3,1,,1,,,1,1,1,1,,,,,,,,,,,,,47
5606,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,1,,,,1,,,,1,,,,,1,,,,1,1,2,,1,,,,,,1,2,,1,1,1,,2,1,1,2,,,2,1,5,2,1,,1,1,1,,,,1,,,,,,,,,,,,,,,40
5701,15,1,,,,,,,1,,,,1,2,,,1,,1,1,1,,1,1,2,3,,,3,1,1,2,2,2,1,2,2,4,3,1,2,3,2,4,2,3,3,3,,3,1,3,6,3,,6,4,6,4,6,3,7,10,9,3,1,10,8,5,7,7,10,9,12,8,12,10,12,10,15,12,14,10,13,7,14,13,13,9,5,14,16,7,4,5,1,3,1,1,1,3,,,,,,,,,,,453
5702,2,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,1,,,,,,1,,,,,,,2,,1,,,2,,,,,1,,1,1,3,,,2,1,1,2,1,,1,2,2,,2,1,3,,,2,,3,2,,3,3,1,2,2,2,1,3,2,4,2,1,4,,1,,,,,,,,,,,,,,,,,,74
5703,4,,,,,,,,,,,,,,,,,,2,,,1,2,,,,,,,,,1,,,,,,,,,2,1,,2,,,,2,,1,1,,1,1,,,,,1,1,1,6,,3,3,5,2,,2,5,5,3,2,2,2,3,2,1,3,6,1,5,7,3,4,6,3,2,2,1,2,3,,3,2,1,1,,1,,,1,,,,,,,,,,127
5704,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,1,,1,,,,1,,,,,1,1,1,,1,,1,,1,,,2,,,,,,,,,2,4,2,1,,1,1,1,1,3,1,,1,,3,,2,1,,2,,,1,,,,,,,1,,,,,,,,,,,41
5705,3,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,1,,,,,,,2,,,1,,,2,,1,1,,1,3,1,1,1,,1,1,1,1,3,1,2,,3,2,2,1,1,3,3,2,6,5,2,9,5,3,5,4,,2,4,6,11,3,1,4,2,4,5,1,1,1,,,,,,,,,,,,,,,,,134
5706,1,,,,,,,,,,,1,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,1,3,,,1,2,3,,3,1,2,,2,,1,,1,2,,2,2,1,3,3,1,2,2,5,1,2,2,4,1,2,4,1,2,2,1,,,,,1,,1,,,,,,,,,74
