Comuna,muertes.men1,muertes.1,muertes.2,muertes.3,muertes.4,muertes.5,muertes.6,muertes.7,muertes.8,muertes.9,muertes.10,muertes.11,muertes.12,muertes.13,muertes.14,muertes.15,muertes.16,muertes.17,muertes.18,muertes.19,muertes.20,muertes.21,muertes.22,muertes.23,muertes.24,muertes.25,muertes.26,muertes.27,muertes.28,muertes.29,muertes.30,muertes.31,muertes.32,muertes.33,muertes.34,muertes.35,muertes.36,muertes.37,muertes.38,muertes.39,muertes.40,muertes.41,muertes.42,muertes.43,muertes.44,muertes.45,muertes.46,muertes.47,muertes.48,muertes.49,muertes.50,muertes.51,muertes.52,muertes.53,muertes.54,muertes.55,muertes.56,muertes.57,muertes.58,muertes.59,muertes.60,muertes.61,muertes.62,muertes.63,muertes.64,muertes.65,muertes.66,muertes.67,muertes.68,muertes.69,muertes.70,muertes.71,muertes.72,muertes.73,muertes.74,muertes.75,muertes.76,muertes.77,muertes.78,muertes.79,muertes.80,muertes.81,muertes.82,muertes.83,muertes.84,muertes.85,muertes.86,muertes.87,muertes.88,muertes.89,muertes.90,muertes.91,muertes.92,muertes.93,muertes.94,muertes.95,muertes.96,muertes.97,muertes.98,muertes.99,muertes.100,muertes.101,muertes.102,muertes.103,muertes.104,muertes.105,muertes.106,muertes.107,muertes.108,muertes.109,muertes.111,muertes.Total 
1101,21,1,,,,1,,1,1,,,1,1,1,1,1,,2,1,1,2,5,7,1,3,4,2,1,1,4,2,5,4,2,3,3,4,5,1,2,3,3,5,6,4,12,5,9,4,10,6,10,5,9,12,8,8,6,18,13,12,11,17,13,14,19,14,16,13,21,20,13,12,25,31,30,23,32,26,26,30,22,23,21,19,16,19,22,16,14,3,12,8,9,8,13,5,7,8,2,1,,1,,1,,,1,,,1,921
1107,14,2,2,,,,,,,1,,,1,,,1,1,,,,2,,3,,2,3,2,,1,1,,2,1,1,,2,,3,1,1,2,1,3,,4,3,,1,5,2,5,2,3,1,,4,3,3,2,2,2,3,2,1,4,3,4,1,3,1,1,3,,2,3,3,5,4,3,4,4,7,3,3,3,,2,1,1,1,1,,,,2,,,1,,,,,,,,,,,,,,174
1401,1,1,,,,,,,,,,,,,,,,,1,,,,,1,,,,,2,,,,,,1,,,,,,,,,,,1,,,,,,,1,2,1,,1,1,,,,,,1,2,,1,,1,,1,,1,1,1,1,2,1,1,1,,,2,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,35
1402,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1403,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1404,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,6
1405,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,1,,,,1,,2,,,,1,,,,,,1,,,,,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,15
2101,57,6,1,,3,2,1,2,1,1,1,2,1,1,2,2,2,4,7,5,3,2,2,4,3,1,4,4,3,4,4,5,5,7,6,5,8,6,3,4,9,11,9,7,11,8,17,12,27,8,17,24,23,21,19,21,19,29,29,21,25,33,46,42,38,41,44,33,31,35,23,36,39,32,52,47,70,81,60,54,56,51,43,46,37,41,29,20,27,29,23,14,16,19,8,16,4,5,2,3,1,1,1,,,,,,,,,1880
2102,2,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,1,,,1,,,,,1,1,1,2,1,1,,3,,,,3,,2,2,,,,2,1,1,,,,2,2,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,35
2103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,5
2104,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,1,,,,1,2,,,,,1,3,1,1,1,,1,3,,4,1,1,1,2,,2,2,5,5,2,4,,,2,,3,1,3,3,2,1,1,1,,,1,,,,,,,,,,,,,,,,,69
2201,32,1,,1,1,1,,1,1,1,2,3,2,1,,1,3,1,1,1,1,2,3,5,,4,1,4,5,3,6,1,5,5,4,7,3,2,5,4,2,3,4,3,15,6,8,9,4,6,8,2,11,11,10,7,12,8,6,14,11,14,5,8,6,14,6,10,14,12,11,8,12,11,5,7,12,9,9,16,6,14,12,11,18,10,9,4,10,2,6,11,4,4,3,2,3,1,,,1,,1,,,,,,,,,605
2202,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2203,1,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,1,,,,,,,1,,,,,,,,1,,,,,,1,,1,,,,,,1,1,,,,,,,,,,,,,1,1,1,2,,,,,,1,,,1,,,,,,,2,,,,1,,,,1,,,,,,,,,,,,21
2301,6,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,1,,2,,1,,,,,,,1,,,1,1,2,1,,,,2,,2,3,2,3,2,4,6,,3,4,4,4,3,3,5,5,8,4,6,3,5,3,4,7,6,5,3,3,3,5,4,4,,2,2,5,3,2,2,3,,1,1,3,,1,1,,,,,1,,,,,,,,,173
2302,1,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,1,,,,,,,,,1,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
3101,27,3,1,,1,,,1,,1,1,,1,,,,,,2,2,,,3,2,1,,1,2,2,1,3,4,1,1,,5,3,2,2,1,3,3,2,6,5,2,6,3,5,4,4,8,8,5,8,4,5,9,11,11,7,6,10,7,5,8,7,18,23,15,12,16,19,21,16,21,22,21,13,26,15,21,9,20,20,17,19,15,10,12,13,7,6,8,5,3,4,2,3,3,2,,1,1,1,,,,,,,696
3102,4,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,,,,1,,,,,,,1,,,,,,,1,,1,1,1,1,,,,3,,1,,,2,,,,2,,,4,2,,2,,,4,1,1,2,,3,,1,,2,1,,,,,,,,,,1,,1,,,,,,,,,,,,,47
3103,1,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,1,,1,1,,1,,,1,,,,,1,,,,,,,,,2,,1,,,3,1,2,,1,1,1,4,1,2,,3,1,2,1,1,2,1,,,2,3,2,,,1,,,2,1,,,,,,,,,,,,,,,,,,,,50
3201,3,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,1,,,2,1,3,1,4,,1,,1,2,,1,1,1,2,3,,,1,1,3,1,3,4,1,,2,3,3,3,2,1,1,4,,,3,1,1,,1,,,2,,,,1,,,,,,,,,,,,,,72
3202,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,,,1,1,,,,,1,,1,1,,1,,4,,1,,1,1,1,1,2,,1,1,,,2,1,1,3,5,3,,1,3,2,1,1,2,3,1,1,2,2,1,,,,,,2,,1,,,,,,,,,,,,,,,61
3301,5,,1,,,1,,,1,,,1,,1,,1,1,1,1,,,,,1,,,2,1,1,1,,1,,2,1,3,,1,1,1,1,3,2,,1,2,1,1,,3,4,5,2,,3,2,3,6,2,5,2,3,4,5,8,6,4,7,7,5,4,8,10,11,11,6,11,9,14,9,4,5,4,8,7,7,6,11,8,3,2,6,2,4,5,1,1,1,1,1,,1,,,,,,,,,,308
3302,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,1,1,2,,1,1,,,,,2,,1,,,,1,3,1,1,,1,,1,,,1,,,,1,,,,,,,,,,,,,25
3303,4,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,1,,,,,,1,,,,,,,,,,,,,1,,,1,,1,2,,1,1,1,1,1,,1,,2,,1,1,2,,1,,,1,,,,1,2,1,,2,,,1,,,1,1,1,1,,,1,,,,,,,,,,,,,,,,,,39
3304,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,1,1,,1,,1,1,1,,2,,3,1,,3,,2,,1,,1,,,,3,,4,,1,,3,2,1,2,2,3,3,1,1,1,1,2,,,,1,,,,,,,1,,,,,,,,,,,54
4101,24,,1,1,1,1,,1,,1,,1,1,,,1,,5,3,1,1,3,,6,3,4,,3,3,4,,6,2,6,6,2,5,6,5,7,4,5,5,2,5,4,10,5,10,8,4,2,4,9,4,5,14,12,8,12,10,12,13,20,14,20,15,14,11,20,15,20,22,18,20,25,24,29,23,40,31,24,23,25,31,24,34,11,23,15,21,17,15,18,15,12,8,8,9,3,3,2,,1,,1,,,,,,1005
4102,27,4,,1,,,,1,,1,2,,,,3,2,1,3,4,4,,1,2,2,2,1,3,1,,1,3,1,3,4,3,,4,3,5,,5,3,2,7,1,3,4,10,7,7,3,11,11,8,13,1,8,15,5,10,6,15,7,13,17,18,18,21,16,10,16,13,19,23,28,19,25,17,25,30,21,22,27,24,30,15,25,18,14,14,19,13,14,10,5,9,5,5,4,,2,1,1,2,,1,,,,,,883
4103,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,1,,,1,,,2,,,,1,,,2,,6,2,1,1,1,,3,2,2,1,,1,6,2,1,1,4,2,1,1,,1,,1,,2,1,,3,,1,,,,,,,,,,,,,,,58
4104,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,1,,,,,,,,,,1,,,,,,,,1,,,,,,1,,,,1,,,,,,,1,,1,1,,1,,1,,,,,,,,1,,1,,,,,1,,1,,,,,,,,,,,1,,,,,19
4105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,1,2,,,,,,,,1,3,1,2,,1,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,18
4106,3,1,,,,,,,,,,,2,,,1,,,1,,1,,,,,,,,1,,,,1,,1,,,,,4,,,,1,1,,1,,2,,1,1,2,3,2,,1,2,1,,3,2,,5,,1,2,3,,3,1,1,4,7,1,3,3,3,3,3,3,3,1,2,5,4,3,,,5,,5,3,,,1,1,1,,,3,2,,,,,,,,,,124
4201,3,,1,,,,,,,,,,,,,1,,,,1,2,1,,1,,,,,,2,,2,,,,,1,,,1,2,,,,1,,1,2,1,3,1,2,,2,1,1,3,2,1,1,,1,,2,3,4,3,2,3,2,6,4,4,3,4,3,4,6,7,8,7,4,2,4,6,5,9,3,1,4,,3,5,2,1,,,1,,,,,,1,,,,,,,,167
4202,1,,,,,,,,,,,,,,,,1,,,,,1,,1,,,,,,,,,,,,,,1,,,,2,,,1,1,,,,,,,,,1,3,,1,,,,1,1,,,1,,1,,,,3,2,1,1,,2,1,3,,4,,1,5,2,,5,1,1,1,3,,2,1,4,,2,2,,,,,,,,,,,,,,65
4203,4,,,1,,,,,1,,,,,,,,,,1,,,,1,,2,1,,,,,,2,,1,,,,,,1,,,,1,2,,,1,1,,,,1,2,2,3,2,1,,,1,1,3,1,4,2,1,2,2,,4,2,1,,2,4,2,7,3,1,1,1,1,2,2,4,2,2,2,2,2,3,,1,,,1,2,,2,1,,,,,,,,,,,105
4204,3,,,,,,,,,,,1,,,,1,,,,,,,,1,,1,,,,,,,1,,,,,1,2,,,1,,2,1,2,1,,2,1,,,1,2,,1,1,,1,,3,2,1,1,2,1,4,1,1,4,3,3,3,5,4,2,2,3,9,3,4,8,5,4,5,5,2,3,2,1,5,5,1,1,3,1,,1,,,,,,,,,,,,,,140
4301,23,1,,,1,,,1,,1,,,,1,2,1,1,2,,,,2,2,3,,1,,2,2,1,2,2,,3,4,1,1,2,2,1,1,3,2,7,3,5,3,2,3,1,5,4,1,10,1,6,5,10,4,7,3,10,4,10,9,7,15,10,9,8,8,18,13,16,20,19,13,16,13,15,20,16,14,19,16,7,19,12,13,5,10,11,7,6,11,10,5,5,4,1,2,5,1,,,,,,,,,603
4302,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,1,1,,,,,,,1,,,,,,,1,1,1,1,,,,1,,1,1,,,,2,2,6,3,,2,1,3,3,2,2,4,3,3,4,5,1,1,6,,1,3,2,2,5,3,3,3,2,1,1,1,1,3,1,1,2,,,,,,,,,,,,,102
4303,5,1,,,,,,,,,1,,1,,,,,,1,2,1,1,,,,,,,1,,,,1,,,1,,,4,,,,,3,,2,,,,,1,,1,1,1,,1,2,2,2,2,,4,1,3,6,3,3,4,1,2,,,2,6,1,5,5,4,5,4,3,3,5,8,6,2,1,7,1,5,2,3,2,3,2,1,2,,1,,,1,1,,,,,,,,156
4304,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,1,,,2,,,,,1,,,1,,3,,,4,1,2,,3,1,2,1,2,2,1,2,3,1,,1,3,2,1,2,2,1,2,,4,2,,,1,,1,,,,,,,,,,,,60
4305,1,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,1,,,,,1,,,1,1,,,,,1,1,,,1,,,,2,,2,,1,3,2,3,,2,2,1,,1,1,,1,1,,,,,,2,,,,,,,,,,,,,,36
5101,38,1,2,,1,1,,,1,2,,2,,,,3,1,2,3,1,2,4,4,3,6,4,2,4,2,4,4,5,1,3,5,9,7,6,5,10,10,8,4,11,9,10,11,14,14,12,16,13,23,18,18,25,22,21,28,25,25,36,35,30,33,31,34,43,41,48,33,40,58,53,58,56,67,58,60,66,83,69,62,65,65,68,64,55,47,48,52,27,31,24,24,22,12,12,11,3,7,1,3,,,1,,,,,,2221
5102,1,,,,,,,,,1,,,1,,,,,,,,1,1,,1,1,1,1,,,,,,,1,,,,,,2,1,1,1,,1,1,,,,1,,1,1,3,2,1,,,1,3,1,1,,2,2,1,1,5,1,2,4,3,2,3,7,2,4,5,4,4,,2,6,4,1,5,3,3,3,3,1,,,2,2,,1,3,,1,,,1,,,,,,,,1,126
5103,1,,,,,,,,,,,,,,,,1,,,,,,2,,,,1,,,,,,,1,,,,1,,1,,4,1,2,,1,1,2,3,,2,2,1,,,3,1,,2,3,2,3,4,3,3,3,4,1,3,2,2,2,5,5,3,3,6,8,6,4,3,4,5,4,2,6,3,2,1,2,2,4,5,,,1,3,1,2,,,,,,,,,,,,,158
5105,2,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,1,,1,,,,1,2,,,,,,1,,1,,,,,,1,,1,1,,1,,,,,2,,1,4,2,,1,1,2,2,1,4,,5,3,3,2,4,1,1,3,3,,4,2,1,4,3,,1,1,3,1,,1,,,,,1,,,,,,,,,,,83
5106,24,,,,,,,1,1,,,1,1,,,,1,1,2,2,1,2,,1,1,,,1,,,1,,1,2,5,3,5,,,5,9,5,1,4,6,4,4,7,5,5,2,3,8,6,6,7,8,10,15,8,18,12,13,12,16,12,15,16,15,17,15,19,20,24,12,31,22,25,32,38,29,30,34,39,29,16,17,27,14,25,27,21,21,13,11,8,6,5,4,4,4,1,3,,,,,,,,,957
5107,1,1,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,1,1,,1,1,1,,2,1,1,2,,1,1,1,1,,,,,1,,1,1,,2,,1,5,,1,5,1,4,2,2,5,5,4,3,2,4,1,5,4,2,3,5,3,2,4,3,7,3,3,2,2,3,,4,3,3,1,2,,1,2,,,,,,,,,,,,,,137
5108,11,3,1,1,,,,,,,,,1,,,2,1,1,,,3,1,1,,,1,1,2,,,2,2,,5,,,1,1,1,2,,1,1,3,2,4,2,1,4,4,5,,3,1,9,7,9,6,7,8,7,8,13,9,4,13,9,19,15,11,14,13,16,14,18,21,16,25,24,13,27,19,15,25,14,23,25,17,11,18,13,13,7,10,8,8,7,2,3,2,2,,,,,,,,,,,672
5109,35,2,,1,2,,,1,,,1,1,2,1,,1,3,1,3,4,3,2,1,1,,4,8,3,3,3,1,2,5,4,5,2,5,3,6,5,7,7,7,6,4,19,9,13,11,11,14,21,15,13,8,16,18,17,21,19,23,22,22,15,34,30,32,30,38,34,37,44,48,43,58,62,63,63,67,69,71,58,77,75,65,64,69,45,67,47,56,54,38,37,29,33,15,13,16,7,8,1,5,1,2,,,,,,,2167
5201,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,1,,1,,,,,,,,1,,,1,1,1,,1,,,,,,,,1,,1,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,15
5301,6,,1,,1,,,,,,,,,,,1,,1,,2,,,,,,1,2,1,,,1,1,1,,1,2,1,,3,,,2,,,2,1,6,2,4,2,8,1,2,3,2,3,1,4,3,4,2,6,4,7,5,2,5,5,8,6,6,2,10,4,15,6,12,10,11,10,12,6,16,14,18,17,12,11,9,8,12,9,2,3,6,3,4,3,1,3,,,,,,,,,,,,381
