Comuna,muertes.men1,muertes.1,muertes.2,muertes.3,muertes.4,muertes.5,muertes.6,muertes.7,muertes.8,muertes.9,muertes.10,muertes.11,muertes.12,muertes.13,muertes.14,muertes.15,muertes.16,muertes.17,muertes.18,muertes.19,muertes.20,muertes.21,muertes.22,muertes.23,muertes.24,muertes.25,muertes.26,muertes.27,muertes.28,muertes.29,muertes.30,muertes.31,muertes.32,muertes.33,muertes.34,muertes.35,muertes.36,muertes.37,muertes.38,muertes.39,muertes.40,muertes.41,muertes.42,muertes.43,muertes.44,muertes.45,muertes.46,muertes.47,muertes.48,muertes.49,muertes.50,muertes.51,muertes.52,muertes.53,muertes.54,muertes.55,muertes.56,muertes.57,muertes.58,muertes.59,muertes.60,muertes.61,muertes.62,muertes.63,muertes.64,muertes.65,muertes.66,muertes.67,muertes.68,muertes.69,muertes.70,muertes.71,muertes.72,muertes.73,muertes.74,muertes.75,muertes.76,muertes.77,muertes.78,muertes.79,muertes.80,muertes.81,muertes.82,muertes.83,muertes.84,muertes.85,muertes.86,muertes.87,muertes.88,muertes.89,muertes.90,muertes.91,muertes.92,muertes.93,muertes.94,muertes.95,muertes.96,muertes.97,muertes.98,muertes.99,muertes.100,muertes.101,muertes.102,muertes.103,muertes.104,muertes.105,muertes.106,muertes.107,muertes.108,muertes.109,muertes.111,muertes.112,muertes.113,muertes.114,muertes.118,muertes.119,muertes.total
9111,3,,1,,,1,,,,,2,,1,1,,,1,,1,,1,1,1,2,2,1,,1,,,1,,,4,4,1,2,,,,2,3,1,2,1,1,3,,1,2,3,,,4,3,1,2,3,,,6,2,4,4,3,6,5,5,4,4,2,4,5,10,9,5,9,9,7,10,6,11,9,9,5,5,5,5,10,6,4,1,3,5,1,2,2,1,1,,,,,,,,,,,,,1,,,,,269
9112,4,,1,1,1,,,,,,,,,2,,1,,3,,,,1,1,,2,3,,,3,3,,,1,,2,2,2,1,1,2,1,1,1,2,1,2,2,,3,3,2,5,2,1,5,4,6,4,4,4,5,,5,4,3,8,5,4,6,7,8,6,10,5,4,6,10,11,4,9,9,3,5,10,7,8,7,7,6,8,5,4,7,2,2,1,1,,1,,,,,,,,,,,,,,,,,,303
9113,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,,1,,,,,,1,,1,,,2,,1,,,,2,1,3,,,,,1,1,1,1,,3,1,2,3,1,,,1,,1,,,,,1,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,37
9114,2,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,2,1,1,,,,1,1,2,1,,,1,,,,,1,1,,1,,,,3,1,3,3,3,,3,2,2,5,1,3,1,2,4,1,3,2,4,5,3,6,2,8,4,3,4,5,5,3,9,3,1,3,2,7,,3,3,1,,1,2,,1,,,,1,,,,,,,,,,,,,,,149
9115,6,,1,1,,,,,,,,,,1,,,1,,,,,,,,,1,,1,,,,1,,,1,,,,,1,,2,,,,1,,,1,2,1,,,1,3,1,1,1,3,2,1,1,,,2,,,3,,1,4,,6,3,3,4,2,3,1,4,4,3,6,3,3,7,2,2,6,1,2,1,5,4,2,3,1,,,,,1,,,,,,,1,,,,,,,,129
9116,2,,,,,,,,,,,,,,,,,1,1,1,,1,,,,,1,1,,,,,,,,1,,2,,1,,2,,2,,,2,,1,,1,,2,1,2,,,1,1,1,2,2,4,,3,2,1,,1,2,,,5,3,1,2,5,2,3,2,4,1,3,2,5,1,6,4,2,3,2,4,2,,3,,,2,,,,,,,,,,,,,,,,,,,112
9117,1,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,1,,2,,1,1,2,,,,,4,2,1,1,1,,2,,,1,1,3,2,4,,,4,,6,1,2,1,5,1,4,1,2,,4,1,1,6,2,1,1,1,5,5,4,1,,1,3,1,1,2,2,1,,1,2,,,,1,,,,,,,,,,,,,,,,106
9118,4,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,2,,1,,,2,1,,,,1,,,1,,1,,,,,,1,1,,,,,,1,1,,,1,1,1,,1,1,3,2,1,1,2,,3,2,1,4,4,2,3,4,1,3,2,2,1,4,1,2,1,,1,1,,,,,,,,,,,,,,,,,,,,,75
9119,3,,,,,,,1,,,1,,,1,2,,,,,1,2,,2,,,2,,,,2,,,1,,,2,1,1,1,2,2,1,,,5,,1,1,,,,1,1,1,3,1,1,2,,1,3,,5,1,3,,1,2,3,2,2,3,3,4,3,3,4,2,2,4,5,3,1,6,1,4,3,1,6,4,1,2,4,2,2,,,,2,,,,,,,,,,,,,,,,,,143
9120,8,,,,3,,,,,,,1,,,1,,,,3,,1,1,,,,,1,,1,1,1,,1,,,2,1,1,,,2,2,1,1,4,,1,2,1,2,2,3,2,5,2,,3,1,3,3,5,4,6,5,9,5,4,8,5,5,4,5,9,4,9,5,5,6,15,8,4,6,7,6,10,3,4,11,9,8,3,2,5,3,2,1,4,1,1,,,,1,,,,,,,,,,,,,,284
9201,5,1,,,,,,1,,,,,,,1,,,,,1,2,2,,,1,,1,2,,1,,1,,,,,1,2,3,,,1,,3,1,4,2,3,4,3,3,3,6,1,3,3,1,5,,3,8,6,4,8,1,3,7,4,9,4,2,7,13,5,7,8,8,7,8,11,3,8,8,8,6,9,7,4,9,7,5,4,5,1,2,2,2,1,,,,1,,,,,,,,,,,,,,,296
9202,4,,1,,,,,1,,,,,,,,,,1,,2,1,,1,1,,,,,1,2,,1,1,,,2,1,1,1,,3,2,,,3,2,2,2,,3,1,2,,2,3,,1,,,,,5,3,4,,1,2,4,1,3,4,3,3,5,2,2,3,5,3,7,3,3,3,2,1,4,4,2,1,2,4,1,,,,,1,1,,,,,,,,,,,,,,,,,,,140
9203,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,1,,,,,,,,1,2,1,2,,,2,,1,1,1,2,2,,2,3,2,3,,2,2,1,3,4,3,7,3,1,2,2,2,3,2,1,2,4,7,4,1,2,2,1,1,2,2,1,,,1,1,,,,,,1,,,,,,,,,,,,,,100
9204,3,,,,,,,,,,,,1,,,,,1,1,,,,,1,,,,,,1,,1,,,1,,,,,,1,,,,,,,,,,,2,,2,,,,1,,,,1,2,1,2,,2,,1,2,2,2,7,2,3,,,2,1,1,2,1,3,1,,1,,,2,,2,2,1,,,,1,,,,,,,,,,,,,,,,,,,,63
9205,2,,1,,,,,,,,,,,,,,,,1,,,,,,,,,1,,1,,,,,,,,,,,3,1,1,1,,,,,,,,1,,1,3,1,1,1,,,,1,1,1,,1,2,2,,1,1,2,,1,1,2,2,4,1,,,,3,2,3,,3,,4,1,1,,,1,,1,1,,,,,,,,,,,,,,,,,,,,63
9206,,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,1,2,,1,,1,,,,,1,,,,,2,2,1,,4,,1,1,1,2,1,3,3,,2,,3,2,2,1,4,2,1,2,1,,,,,,1,2,,,1,,,,,,,,,,,,,,,,,,,56
9207,,,1,,,,,,,,,1,,,,,,1,,,1,,,,,,,,,,,,,,1,,,2,,,1,2,,,,1,,,1,2,3,1,1,,1,,1,,,,2,,1,1,1,2,1,2,1,2,1,4,2,1,1,,3,3,,1,2,3,4,3,,2,2,,3,,1,,1,1,1,,,1,2,,,,,,,,,,,,,,,,,,76
9208,2,,,,1,1,,,,,,,,,,1,,1,,,,,,,1,,,,,,,,,,1,,,,1,,,2,,,2,,,1,,,1,2,,,2,2,2,1,,,1,1,3,,,1,2,,,3,5,4,5,3,3,1,3,4,2,6,3,3,,1,3,3,2,1,1,5,1,3,3,1,1,,,,,1,,,,,,,,,,,,,,,,,103
9209,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,1,,1,2,1,,,1,1,,,,,,,1,,,1,1,,1,2,,2,2,3,,3,,3,2,2,,2,1,,,5,1,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,49
9210,3,,,,2,,,,,,,,,,,,,,,1,2,,,,,,,1,,1,2,,,,,,,,1,1,1,1,1,2,,3,,,2,1,,,1,2,2,,2,1,1,1,2,1,5,4,2,3,1,1,4,5,3,6,6,11,5,1,7,2,4,2,9,3,6,7,6,4,1,,2,4,1,,2,,1,1,,,1,,,,,,,,,,,,,,,,,,158
9211,7,,,1,,1,,,,,,,,,2,,1,,,2,,1,,1,,,,3,,1,,1,1,,2,,,,2,1,2,,2,4,3,4,,2,1,1,5,2,,2,1,,4,2,5,4,1,2,5,3,3,2,5,5,2,4,3,8,8,9,6,8,8,8,5,9,6,11,7,1,9,2,4,5,3,3,3,2,3,5,4,,,3,,,1,,,,,,,,,,,,,,,,247
10101,44,5,,1,,1,3,2,1,,,1,2,1,2,,7,2,1,1,,4,5,4,3,3,2,3,1,6,2,5,,5,4,4,4,2,6,4,5,7,4,11,4,6,8,5,9,10,12,6,11,13,10,11,4,13,17,13,14,14,8,17,8,15,22,18,22,14,8,10,22,20,23,31,14,23,16,17,18,11,21,16,16,15,14,19,14,16,9,10,8,6,6,3,7,2,1,,1,,,,,,,1,,,,,,,,,870
10102,2,1,,1,,1,,,,,,,,,1,,,,1,,1,2,1,1,,1,,,1,3,,1,,1,2,2,1,3,1,,,2,2,1,,1,1,1,2,1,4,4,1,1,,,,1,5,1,3,3,7,3,2,3,3,1,5,3,3,2,6,2,1,5,4,6,4,7,9,2,5,3,8,2,5,2,3,6,3,4,3,1,2,3,1,1,,,,,,,,,,,,,,,,,,,192
10103,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,1,1,,1,1,1,,,2,1,,1,,,,,,1,,2,1,,,1,1,1,1,1,2,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,27
10104,1,,,,,,,,,,,,,,,,,1,,,2,,,1,1,,,1,,,,,,1,,,,1,,,1,1,,,1,,1,,,,,2,1,1,1,1,2,4,2,,2,,2,1,,5,1,1,1,3,1,2,2,2,,1,2,1,4,3,4,4,1,2,,1,2,4,,2,3,2,,2,,,1,,,,,,,,,,,,,,,,,,,,89
10105,1,,,,,1,,,,,,,,,1,1,1,,,,1,1,,,,,,,1,,,,,,,,,2,1,,1,,,,,1,,1,,3,,,1,3,1,1,,1,2,,,3,2,1,2,2,3,1,1,,,4,,6,1,2,3,2,4,2,2,1,,,,3,1,1,1,1,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,81
10106,5,1,1,,,,,,,,,,,,1,,,,,1,1,,1,,,,,,1,,1,,,2,,,,1,,,1,1,,1,1,1,,1,1,,1,,,,,1,3,2,,,2,4,3,2,4,4,1,4,2,2,,2,1,6,2,2,7,4,2,1,3,1,,1,5,3,,2,1,2,2,1,1,,1,,,2,,,,,,,,,,,,,,,,,,,110
10107,2,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1,1,1,,,,,,1,,,,,,,,,,,,1,,1,2,,,,1,,5,2,2,2,3,2,5,,3,3,,1,3,2,2,3,3,2,2,1,,4,,,2,2,2,1,2,3,1,3,2,2,1,2,1,2,1,,2,,1,,,,,,,,,,,,,,,,,,93
10108,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,1,,,2,1,1,,,2,1,1,,4,,2,,,1,2,1,,2,2,3,2,2,,3,,2,4,3,3,2,1,,6,1,3,2,7,2,2,3,,2,1,4,3,2,,,,,,2,,1,,,,,,,,,,,,,,,,,93
10109,,,,,1,1,,1,,,,,,,,,,,,,1,,1,1,1,,,1,,1,,,,1,,,2,,1,1,,,1,,1,,1,1,,3,3,2,1,3,3,3,1,3,3,5,,2,2,3,3,3,4,5,,1,4,1,3,3,5,3,5,,4,3,2,1,2,5,,1,6,2,7,2,3,4,,1,1,2,,,,,,,,,,,,,,,,,,,,,141
10201,5,1,,1,,,,,,,,,,,,,,1,1,2,1,,1,,3,1,1,1,1,1,1,3,3,,1,2,2,2,,2,1,,,,,3,,1,2,2,3,4,3,3,,,1,1,4,3,3,1,1,6,1,4,6,4,1,3,3,3,6,4,4,3,4,10,6,9,4,10,5,6,5,6,10,5,9,2,3,1,5,1,3,1,4,,4,,,,,,,,,,,,,,,,,,234
10202,2,,1,,,,,,1,,1,,,1,,,1,,1,4,1,1,2,2,,1,,,,1,1,1,,,,4,,,,3,,1,2,1,,2,2,1,3,1,1,2,2,1,4,4,3,3,3,2,,4,6,2,4,4,4,7,2,5,4,7,6,8,2,3,4,9,8,12,4,4,6,6,5,6,3,6,4,3,4,4,2,3,3,4,,1,,,,1,,,,,,,,,,,,,,,237
10203,2,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,2,,,1,2,,,1,,1,,,1,,,1,,2,1,1,,1,2,,2,,2,6,2,2,2,1,1,1,3,2,2,1,2,2,2,2,5,3,4,1,3,3,1,4,,,1,,,,1,1,,,,,,,,,,,,,,,,,,83
10204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,1,,,,,,1,,2,,,,,,1,,,,,1,,1,1,,,,,,,2,1,1,2,2,,1,,,,,,,,,,,,,,,,,,,,,,,,19
10205,5,,,,1,,,,,,,,,,,,,,,,1,,,,,,,1,,,2,2,,1,,,,,1,,1,2,,1,,,,,2,,,,1,1,1,,,,1,1,,,,,,,1,,2,,2,,,2,,,2,1,,,,,1,2,4,,2,1,4,1,1,4,2,,,,1,1,,,,,,2,,,,,,,,,,,,,61
10206,,,,1,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,1,,,,,,,1,,,,2,,,,,2,1,1,,1,1,,2,1,1,1,1,,1,1,2,2,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,31
10207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,,,,,,,,,,1,,,,1,,,1,,,1,,1,1,1,,2,,,,,1,,1,,1,1,1,,3,3,,3,1,,1,,,,1,1,1,2,2,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,38
10208,1,,,,,,,,,,,,,,,,1,,,,,1,,1,,1,,2,,,2,1,,,2,1,2,,1,,1,,,1,,2,2,2,2,1,1,,1,,,1,2,1,,2,1,1,3,1,1,1,,,1,2,3,4,4,1,2,3,2,1,3,1,3,2,2,,,1,1,2,3,1,1,,,1,,1,,1,,1,,,,,,,,,,,,,,,,,90
10209,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,,,,,,1,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,1,1,1,,2,,2,1,1,1,,2,,3,1,1,3,1,2,1,1,2,3,2,1,3,,2,1,2,,,,2,,,,,,,,,,,,,,,,,,,51
10210,3,,,,1,1,,,,,,,,,,,,,1,,1,1,,,1,,,,,,1,1,1,,,,,,,1,,1,,1,,,1,1,,,,,2,1,1,,1,,,,,1,1,1,,1,2,1,,,1,,3,1,1,1,1,4,6,3,1,1,1,,2,2,2,3,3,1,1,2,1,,1,2,1,,,,,,,,,,,,,,,,,,,,74
10301,20,,1,,,,,2,2,,1,,,2,2,1,3,,2,1,1,1,2,1,5,5,1,2,1,4,2,2,4,4,6,5,1,9,8,1,5,4,4,3,12,10,10,11,9,9,12,11,17,12,15,10,12,13,12,12,17,15,19,11,15,28,24,20,13,24,20,23,22,25,20,19,18,20,32,29,18,23,13,25,20,21,21,16,23,17,15,12,6,4,9,1,8,4,3,3,2,,2,,1,,,,,,,,,,,,986
10302,1,,,,,,,1,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,,1,,1,,,1,1,,1,1,2,2,,,,,1,5,,1,1,,3,1,1,2,1,,,2,,1,3,3,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,46
10303,4,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,,1,1,,,1,1,1,,2,,1,,2,1,1,1,3,1,,1,2,,3,2,2,1,3,1,,1,2,1,4,2,4,3,3,1,2,6,7,1,4,6,2,3,5,7,4,4,4,1,2,3,6,1,,1,3,6,1,1,2,1,1,1,1,,1,,,,,,,,,,,,,,,,,,147
10304,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,2,,,,,,,2,,,,,,,,,1,,,,1,2,,1,1,,1,,1,1,,,1,1,1,1,1,1,2,2,1,2,1,4,,3,,2,1,,1,1,,1,,,,,,,,2,,,,,,1,,,,,,,,,,,,47
10305,1,,,,,,,,,,,,,,1,,1,,1,,,1,1,,1,1,,,,,,,,,,,1,,,,,1,1,,,1,,1,1,,,2,,,1,,1,2,1,1,1,1,1,,,,1,2,1,2,,3,5,3,3,2,2,4,,1,2,2,2,3,1,4,3,1,3,1,1,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,81
10306,3,,,,,,1,1,,,,,,,,,,,,,,,1,1,1,,,,3,,2,,2,,1,,1,,1,1,1,,1,2,1,1,1,,1,2,1,,,,1,,1,1,,,2,1,1,1,2,1,4,,1,,,,,2,2,3,1,,,1,1,3,,1,2,,2,,1,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,68
10307,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,1,,,2,,,,,,,,,,2,1,,1,,1,,2,,,1,,,,,3,,2,1,2,,1,1,2,,4,2,,3,2,3,4,1,3,,2,2,2,3,3,1,4,1,3,2,,1,,1,,1,2,,,,,,,,,,,,,,,,,,,,77
10401,1,,1,,,,,1,1,,,,,,,,,,1,,1,,,,1,2,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,1,,1,,,1,,,,,1,,,1,,,,,1,3,1,,1,1,,1,2,1,,4,,,1,,1,2,1,,,,,1,,,,,,,,,,,,,,,,,,,,,38
10402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,7
10403,1,,,,,,1,,,,1,,,,,,,1,,,,,,1,,2,,,1,,,,,,,,2,,,1,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,3,1,1,2,,,1,1,3,3,,,2,,,,,1,1,,2,1,2,1,1,1,,,,,,,,1,,,,,,,,,,,,,,41
10404,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,1,,1,,,,1,,,3,,,,,,1,1,,1,,,1,,1,,,1,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,19
10501,26,1,1,1,1,1,2,1,1,,2,,,,1,,2,2,,1,5,,2,1,2,,3,2,4,3,2,3,,3,2,5,5,2,4,6,7,,5,3,3,5,7,5,5,8,7,6,10,4,7,4,10,10,11,9,13,10,8,7,11,22,10,13,16,15,16,16,22,17,25,26,23,34,18,14,20,22,19,12,17,14,15,11,13,16,10,14,5,9,6,5,2,2,,5,1,1,,1,,,1,,,,,,,,,,780
10502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,1,,,,1,,,,,1,,,,1,1,,,3,,,,2,1,,1,,1,1,1,,2,3,3,1,2,,1,1,,,,,,1,,1,,,,1,,1,,,,,,,,,,,,,,,,34
10503,2,,,1,2,,,,,,,,,,,,,,1,,,1,1,1,,,1,,,,,,,,,2,,,,1,,1,2,1,1,2,,,1,,,,,,1,,,1,,1,,1,1,2,2,1,,4,3,1,1,3,2,3,2,,2,1,4,,2,2,2,,2,,3,3,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,75
10504,2,,,2,,,,1,,,,1,,,1,,,,1,,1,2,,1,1,1,,2,2,,,1,,1,1,,1,1,2,1,4,1,1,3,1,1,2,,2,2,1,1,2,2,2,,2,3,3,5,1,4,5,3,2,7,5,5,4,6,2,9,4,5,10,2,5,5,7,7,7,9,9,7,5,4,6,9,3,2,1,2,1,3,1,1,3,3,1,,,,1,1,,,,,,,,,,,,,241
10505,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,1,,,,,,,,1,,,,,,1,,1,,2,,3,3,,,1,1,2,2,,1,,,2,,,2,1,1,,,3,3,1,1,2,2,,,1,,,,2,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,46
10506,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,1,,,,1,,1,,1,,1,,,1,1,2,1,1,1,1,,2,1,,1,,2,3,2,5,3,1,1,2,4,6,4,3,6,1,7,3,1,,3,2,2,4,3,4,1,5,2,2,3,4,,1,1,,,1,,,,,,,,,,,,,,,,,,114
10507,4,,1,,,,,,,1,,1,,1,1,,,,,1,1,1,,,,,4,,,,,1,,,,1,,2,,1,3,1,1,1,,,,1,2,,,1,1,,,,2,,2,,,1,1,3,,3,,3,2,1,1,6,2,,3,1,,4,4,3,1,3,3,2,2,3,3,1,1,1,6,3,,2,,,,,1,1,,,,,,,,,,,,,,,,,107
10508,1,,,,1,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,1,,,,,,,,,1,,,,1,1,,1,,2,,,,2,,,,1,1,,,1,,,1,3,,1,2,3,2,3,1,1,,2,1,,1,1,1,,,1,,1,,,1,2,,,,,,,,,,,,,,,,,,,,,,44
10509,2,,,,,1,,,2,,,,,1,,,,,1,,,,,,,,,1,,,,1,,,1,1,1,1,1,1,2,1,2,3,2,1,2,1,1,2,,1,1,1,1,1,1,,1,4,1,2,1,2,4,2,1,3,3,4,1,,1,3,,2,3,4,,3,5,3,1,1,2,2,4,1,3,2,5,,3,1,2,,,,1,,,,,,,,,,,,,,,,,,119
10510,2,,,,,1,1,,,,1,,,,1,,1,,,1,1,,,1,,,1,,,,,,,1,1,,,2,1,2,,,1,1,1,1,1,1,1,,,,2,,1,1,,3,4,4,,1,3,1,1,1,4,4,2,,4,1,6,2,2,5,5,2,2,4,2,4,3,2,6,8,3,4,3,1,1,2,1,1,2,,,,,,1,,,,,,,,,,,,,,,,134
10511,6,,2,1,,,,,1,,2,,,,,,1,1,,,,,,,1,,,,3,,,1,1,,,,1,3,1,2,1,,,1,,2,1,2,,4,,1,3,1,1,3,,2,2,4,2,,5,7,5,2,4,2,4,6,2,3,6,4,7,7,8,4,9,3,4,7,6,4,9,5,8,9,4,3,1,3,1,1,,,1,,1,,,,,,,,,,,,,,,,,,212
10512,6,1,1,,,,,,1,,,,,,1,,,,1,1,,,1,2,,1,1,3,,,1,1,1,,2,1,2,1,2,3,4,2,2,2,1,1,3,,3,2,4,1,1,1,,2,1,2,1,2,1,4,3,3,7,1,4,7,8,6,2,8,10,4,5,10,4,4,7,6,6,3,7,4,6,6,4,4,5,4,2,3,2,1,,,,,,,,,,,,,,,,,,,,,,,230
11101,4,2,1,1,,,,,,,,1,,2,2,1,,1,1,1,,2,2,,2,1,,,,1,1,1,,1,4,2,2,2,1,4,4,,1,2,1,3,4,,,1,3,3,3,4,2,5,3,2,2,2,3,2,3,5,4,9,5,4,4,3,7,6,5,3,4,5,8,3,2,4,5,3,7,4,4,3,2,3,3,2,2,,1,1,1,3,,,,,,,,,,,,,,,,,,,,,221
11102,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,1,,,1,,,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
11201,7,,1,,,,,,,,,1,,,,1,,3,,1,,2,,,1,,,,1,1,,,,,2,1,,1,,1,2,1,2,,4,2,1,,2,1,,,3,,2,,1,,4,2,1,2,,2,4,1,1,5,3,3,,4,4,3,2,1,2,1,3,,2,1,,,3,4,,2,1,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,109
11202,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,2,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
11203,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
11301,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,1,,,,,1,,,,,1,,,,,,1,,,,,,,,,1,,1,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,12
11302,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,5
11401,,,,,,,,,,,,,,,,1,,,,,1,,,1,,,,,,,,,1,,,,,,,,,,1,1,,,,1,,,,,,,1,,,,,,,,,,,1,1,,,,1,,,1,,1,,1,,,,,,1,1,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
11402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,1,1,,,,1,,1,,,,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,12
12101,21,,,1,,,,,,,,,,,,,3,3,,1,,4,,,4,2,1,,3,1,1,1,5,,1,3,2,3,7,2,6,5,3,4,8,6,4,6,7,4,8,9,10,4,12,7,7,10,10,11,8,18,12,18,13,15,11,16,20,17,16,21,17,15,15,19,13,19,19,18,27,14,23,21,20,25,11,18,13,13,6,11,10,5,6,4,3,1,1,3,,1,,,,,,,,,,,,,,,766
12102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
12201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
12301,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,1,,1,,,1,,,2,,,,2,,1,,1,1,2,,,,,1,1,,,,,,1,,,,1,1,,1,1,,,1,2,1,,,,,,,,1,,,,,,,,,,,,,,,,,28
12302,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
12401,3,,,,,,,,1,,,,,,,,,,1,,,,1,1,2,,,,,,,1,,,,,,,,,,1,,1,1,,2,,3,3,2,,,1,1,3,3,2,5,1,4,,4,2,3,2,2,1,4,3,3,,3,3,6,3,4,8,2,3,4,4,2,2,3,3,2,3,4,1,1,1,2,1,1,,1,,,,,,,,,,,,,,,,,,,,134
13101,28,2,,1,,,,,,,,4,,1,,,1,2,1,2,2,2,,5,2,5,3,2,4,4,3,2,2,4,2,4,2,3,3,7,7,11,16,8,4,6,6,11,4,6,4,4,6,7,14,14,13,12,20,15,12,12,18,18,14,26,24,21,22,25,22,33,36,44,45,39,40,40,41,44,41,51,42,40,44,41,38,53,38,40,30,37,23,21,15,12,16,9,5,7,4,1,4,2,,,,,,,,,,,,,1481
