Comuna,muertes.men1,muertes.1,muertes.2,muertes.3,muertes.4,muertes.5,muertes.6,muertes.7,muertes.8,muertes.9,muertes.10,muertes.11,muertes.12,muertes.13,muertes.14,muertes.15,muertes.16,muertes.17,muertes.18,muertes.19,muertes.20,muertes.21,muertes.22,muertes.23,muertes.24,muertes.25,muertes.26,muertes.27,muertes.28,muertes.29,muertes.30,muertes.31,muertes.32,muertes.33,muertes.34,muertes.35,muertes.36,muertes.37,muertes.38,muertes.39,muertes.40,muertes.41,muertes.42,muertes.43,muertes.44,muertes.45,muertes.46,muertes.47,muertes.48,muertes.49,muertes.50,muertes.51,muertes.52,muertes.53,muertes.54,muertes.55,muertes.56,muertes.57,muertes.58,muertes.59,muertes.60,muertes.61,muertes.62,muertes.63,muertes.64,muertes.65,muertes.66,muertes.67,muertes.68,muertes.69,muertes.70,muertes.71,muertes.72,muertes.73,muertes.74,muertes.75,muertes.76,muertes.77,muertes.78,muertes.79,muertes.80,muertes.81,muertes.82,muertes.83,muertes.84,muertes.85,muertes.86,muertes.87,muertes.88,muertes.89,muertes.90,muertes.91,muertes.92,muertes.93,muertes.94,muertes.95,muertes.96,muertes.97,muertes.98,muertes.99,muertes.100,muertes.101,muertes.102,muertes.103,muertes.104,muertes.105,muertes.106,muertes.107,muertes.108,muertes.109,muertes.111,muertes.112,muertes.113,muertes.114,muertes.118,muertes.119,muertes.total
8409,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,1,,,1,,,,2,,1,2,2,,2,,1,1,3,1,1,2,,,6,3,1,3,2,1,1,1,1,3,1,3,5,2,,1,1,1,,2,1,,,2,,,1,,,,,,,,,,,,,,,,,,67
8410,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,3,1,,,2,,1,1,,,,1,1,,1,,,,,,,,1,1,1,1,,2,2,1,2,1,1,,3,1,1,,1,,,6,2,1,3,1,,1,2,2,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,54
8411,1,1,,,,,,,,,,,1,,,,,,,1,,,1,,,,,,,1,,,1,,,,1,,,,,,,,,1,,,1,3,1,1,,,,2,1,3,2,,2,1,,3,2,,1,1,3,2,,1,2,1,4,4,,2,1,1,,1,2,2,2,3,1,2,1,,,2,,1,1,1,,,,,,,,,,,,,,,,,,,,,73
8412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,1,,1,,,1,1,1,1,1,,,,2,,1,1,1,2,3,,,1,2,1,1,1,1,,2,1,2,1,,1,,1,,1,,2,,,1,,,1,,,,,,,,,,,,,,,,,,39
8413,1,,,,,,,,,,,,,,,1,,,,1,1,,,,1,,1,1,1,,,,,,1,,1,,1,,3,2,1,1,,1,,3,1,3,2,1,,4,1,,2,1,3,2,5,1,2,1,3,1,2,2,,5,2,,3,3,2,2,2,1,3,,3,1,1,1,1,4,8,2,2,1,1,,1,2,2,,1,,1,,,,,,,1,,,,,,,,,,,115
8414,4,,,,,,,,,,,,,,,,,1,,1,,,,,2,,,1,2,2,2,2,1,,1,,1,,,,1,,2,2,1,2,1,1,,2,,1,,4,3,2,1,1,2,1,1,4,1,,,,1,1,1,2,2,3,3,4,2,3,3,,2,3,2,3,3,4,1,1,3,4,2,4,2,,,2,1,,1,,,,,,,,,,,,,,,,,,,,116
8415,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,1,,,2,,,,,3,1,,,,,1,1,1,1,1,,,2,1,2,1,2,,1,,,2,2,2,1,1,3,1,1,,2,,1,3,,,3,1,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,50
8416,10,2,,,,,,,,,,,,,,1,1,,,,1,,1,2,,1,2,,,,3,,,5,3,,,2,,4,1,2,2,1,1,3,1,2,3,4,2,4,4,3,4,4,2,6,2,3,3,4,5,9,10,7,6,5,8,4,11,7,4,9,8,8,9,9,7,12,5,9,3,11,10,7,10,12,5,6,8,4,2,4,1,1,2,,2,1,,1,,,,1,,,,,,,,,,,342
8417,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,1,,,,,,,,,,,1,,1,,,,,,,,,1,,1,,1,3,,,,1,,,,,,1,1,,,2,,1,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
8418,1,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,1,,1,,,,1,,1,1,,2,,1,,1,2,,,,,,,1,,3,,1,1,1,,1,3,1,,1,1,,2,2,1,,6,2,4,2,,1,,1,1,2,2,4,3,2,1,1,1,1,,2,1,,,,,,2,1,,,,,,,,,,,,,,,,,,73
8419,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,1,2,1,,1,1,1,,1,1,2,,,1,,1,1,1,,,,1,1,1,1,,3,,3,2,2,3,,2,1,2,1,,2,1,,,,3,3,3,1,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,57
8420,,,1,,,,,,,,,1,,,,,,,,,,,1,,,,1,,,,1,,,,,,1,,1,,,,1,1,,,1,,1,1,1,,,,,,,,,,1,1,2,1,1,,2,1,,1,,1,,,,1,,,2,,,,4,,,2,,,,,1,3,,,1,,,,,,,,,,,,,,,,,,,,,,38
8421,1,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,2,1,,1,,2,,1,,,1,,2,,1,1,,1,,1,2,,1,1,1,1,2,,1,1,1,,2,,1,2,2,1,,2,2,3,1,7,2,1,1,4,3,3,2,3,3,2,3,4,2,2,3,3,1,1,2,3,1,1,,1,1,,,,,,,,,,,,,,,,,,,103
9101,42,1,1,3,,,,2,,,,1,1,1,3,3,1,1,2,4,4,3,4,3,5,,2,2,3,7,3,7,2,2,7,4,7,7,3,8,4,12,5,12,5,6,5,2,14,12,9,5,10,7,11,17,9,12,14,12,21,13,17,26,24,20,21,23,23,24,21,34,25,37,33,28,31,33,34,26,36,24,24,21,32,29,32,26,20,20,14,24,13,11,8,8,5,1,3,3,4,,2,,1,,,,,1,,,,,,,1208
9102,5,,,,1,1,1,,,,,,,,1,,1,,,1,,1,1,1,,,,2,1,2,1,1,,1,,1,1,1,2,,,1,1,,3,1,1,1,4,1,3,4,3,1,3,2,,1,1,3,,3,2,4,3,,,4,1,4,2,3,3,10,3,8,4,6,1,3,7,4,2,6,4,1,10,2,4,4,1,1,,,1,2,1,1,,,,1,,,,,,,,,,,,,,,177
9103,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,,,,,1,1,,,3,,,,,1,,,1,,,1,1,,1,,,1,1,,3,,,3,,1,2,1,1,2,1,3,3,2,3,3,3,5,2,2,5,6,3,3,5,4,6,4,3,6,5,7,2,4,3,,2,2,,,,1,1,1,,,,,,,,,,,,,,,,,,129
9104,1,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,3,,,,1,1,,1,,1,,1,1,1,1,1,2,,1,,,1,1,,,,,1,2,2,2,2,3,,1,,1,2,,,,,,,,,,,,,,,,,,,,,,,,38
9105,5,2,,1,,,,,,1,,,,,,1,,,,1,,2,,,,,,1,,,1,1,,1,1,2,,,1,1,,1,,1,1,1,2,2,4,3,1,,,3,2,,,,2,2,1,1,1,3,2,2,5,5,4,1,5,5,4,5,7,3,8,5,,6,3,3,4,3,2,4,2,5,1,1,,1,,2,3,,,,,1,1,,,,,,,1,,,,,,,,,157
9106,7,,,,,,,1,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,2,,,,,,,,1,,1,,,1,,2,1,1,,2,1,1,4,5,1,2,,1,,2,1,4,2,1,6,2,1,1,,2,,2,,4,3,2,4,,1,6,3,,2,3,2,2,,1,,1,,1,,,,,,,,,,,,,,,,,,,,95
9107,2,1,,,,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,1,,1,1,,,,1,1,,,1,2,,1,2,1,1,1,3,2,2,2,1,4,3,3,1,1,2,2,2,1,4,5,3,2,1,7,1,6,3,2,6,4,5,2,5,2,6,5,2,2,3,3,,,2,,1,,1,1,,,,,,,,,,,,,,,,,135
9108,5,,,,,,,,,,1,1,,,1,,,1,,,,1,,1,,,,,,1,1,,1,,,1,2,1,1,1,,2,1,,1,3,2,2,1,2,,1,1,1,,5,1,4,7,2,3,5,2,4,3,8,6,3,5,2,3,7,6,11,8,5,4,7,9,7,3,5,3,9,7,7,3,7,6,5,3,2,1,3,1,2,1,,,,1,,,,,,,,,,,,,,,,233
9109,4,,,,,,,,1,,,,,,,,,,,,,,2,1,,,,,1,,1,,1,1,1,1,,,1,,,1,,2,2,1,,1,,,1,1,,,,2,3,2,1,1,,2,3,6,4,7,3,2,2,2,4,2,4,3,10,3,5,9,5,2,4,3,3,8,6,2,5,3,7,2,,1,3,5,,,2,,1,,,,,,,,,,,,,,,,,,166
9110,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,1,1,,,,2,1,,,,2,,1,,,,,,,,1,1,,1,1,2,2,1,1,,,3,,2,,2,,,3,1,,1,1,2,,1,,,,,,,,,,,,,,,,,,,,,,39
