Comuna,muertes.men1,muertes.1,muertes.2,muertes.3,muertes.4,muertes.5,muertes.6,muertes.7,muertes.8,muertes.9,muertes.10,muertes.11,muertes.12,muertes.13,muertes.14,muertes.15,muertes.16,muertes.17,muertes.18,muertes.19,muertes.20,muertes.21,muertes.22,muertes.23,muertes.24,muertes.25,muertes.26,muertes.27,muertes.28,muertes.29,muertes.30,muertes.31,muertes.32,muertes.33,muertes.34,muertes.35,muertes.36,muertes.37,muertes.38,muertes.39,muertes.40,muertes.41,muertes.42,muertes.43,muertes.44,muertes.45,muertes.46,muertes.47,muertes.48,muertes.49,muertes.50,muertes.51,muertes.52,muertes.53,muertes.54,muertes.55,muertes.56,muertes.57,muertes.58,muertes.59,muertes.60,muertes.61,muertes.62,muertes.63,muertes.64,muertes.65,muertes.66,muertes.67,muertes.68,muertes.69,muertes.70,muertes.71,muertes.72,muertes.73,muertes.74,muertes.75,muertes.76,muertes.77,muertes.78,muertes.79,muertes.80,muertes.81,muertes.82,muertes.83,muertes.84,muertes.85,muertes.86,muertes.87,muertes.88,muertes.89,muertes.90,muertes.91,muertes.92,muertes.93,muertes.94,muertes.95,muertes.96,muertes.97,muertes.98,muertes.99,muertes.100,muertes.101,muertes.102,muertes.103,muertes.104,muertes.105,muertes.106,muertes.107,muertes.108,muertes.109,muertes.110,muertes.111,muertes.115,muertes.total
8310,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,3,,,1,1,2,,,,,,,,,1,,2,,,,,1,,,1,,,,,,,1,1,2,1,1,,1,,,,1,,,,,,,,,,,,,,,,,23
8311,2,1,,,,,,,,,,,,,,,,1,1,,,1,,1,,1,,,1,1,1,1,,,1,,,1,,,1,3,1,1,2,1,,1,,,,1,3,,2,2,,,2,6,,,1,3,2,1,1,4,,2,4,6,3,1,6,4,2,,3,3,3,4,1,,1,,4,1,3,,1,2,2,,,1,,1,1,,,,,,,,,,,,,,,111
8312,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,1,2,,1,,,,,1,1,,2,,,,,,,3,,,,2,1,2,1,2,1,1,2,2,3,,1,2,2,2,2,2,3,1,4,4,4,2,4,3,1,2,1,2,2,1,1,3,,3,4,1,,1,,1,,,,,,,,,,,,,,,91
8313,2,,,,,,,,,,,,1,,,,,,1,1,,,,1,,,,,,,,,,,,1,,1,1,,1,1,,2,1,,2,2,3,,2,2,,4,,4,4,1,3,2,6,,,1,2,5,4,7,3,2,5,4,5,5,5,6,8,3,1,3,2,5,4,5,3,7,4,3,5,2,3,3,2,4,1,1,,,,,,,,,,,,,,,,,,172
8401,16,3,,3,2,,3,,,1,,1,,4,,,3,,1,2,2,1,2,,4,5,2,5,4,5,4,1,2,2,4,5,3,4,6,9,3,3,5,3,6,9,7,9,12,2,11,13,17,12,10,14,13,16,14,18,13,19,11,15,15,14,14,14,24,17,34,24,21,24,22,20,28,17,19,23,31,15,18,28,30,27,25,22,20,20,15,10,13,9,1,5,4,5,2,2,,1,,,,,,,,,,,,997
8402,6,,,,1,,,,,,,1,,,,,1,,,,,,,1,1,,,,,,,,1,2,,,1,,,2,,,2,,4,2,2,,,2,1,1,,1,2,1,1,2,1,,2,,,3,7,2,,3,5,2,1,5,6,5,2,5,4,3,5,4,4,8,3,3,4,3,3,2,2,,1,2,2,4,,2,,,,,,,,,,,,,,,,,,146
8403,,,,,,,,,,,,,,,,,,1,1,,1,1,,1,1,,,,,,,,1,,,,,,1,,,1,,,1,,,,1,,1,,,,1,1,1,,1,,,1,,1,,,2,,2,1,,,,1,1,,2,,,1,3,1,2,1,1,1,1,2,1,2,1,2,1,1,,,,1,,,,,,,,,,,,,,,,49
8404,3,,,,,,,,,,,,,,,,1,,1,,,,,,,,,1,,,,2,1,1,,,1,,1,5,,1,1,1,1,2,1,2,2,1,1,2,,2,,3,1,2,2,1,4,,2,3,3,2,2,,2,4,3,,2,5,3,4,4,2,1,2,2,4,2,4,5,9,,1,1,1,2,1,1,2,,1,1,,,,,,,,,,,,,,,,,128
8405,2,,1,,,,,,,,1,,,,,1,,,,,,,,,2,,,,,,,,1,1,,,2,,,1,,1,,,,1,2,2,2,1,1,,,1,1,,1,2,2,3,1,,3,1,2,4,2,1,2,4,5,3,6,3,5,4,5,2,3,4,7,5,2,1,2,3,2,2,5,5,,,1,1,1,1,1,1,,1,,,,,,,,,,,,,,133
8406,3,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,1,,,,1,,,,,,1,,,2,,,,,,,,,,2,,1,1,1,,2,,,1,4,1,1,1,1,3,1,,3,1,4,1,3,1,1,1,2,1,5,3,1,3,2,2,3,2,4,2,3,1,3,1,2,,1,,,,,,,,,,,,,,,,,,87
8407,2,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,2,,,,1,,,,1,,,,1,,,1,1,,1,2,1,1,1,,,1,2,,3,2,2,2,4,,,1,1,3,3,1,2,3,2,3,4,3,2,3,,4,2,2,1,1,,,1,,,,,,,,,,,,,,,,,,77
8408,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,1,,,1,,,,,,,1,1,,,,,2,,1,2,,1,1,,1,,,1,2,,,,1,,,,2,1,2,1,2,1,2,1,,1,1,1,1,3,3,5,,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,49
8409,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,1,,,,,1,,,1,,,,,,,,,,,,1,,1,1,2,1,,,3,1,,1,3,2,5,3,3,,2,1,4,3,1,4,3,,6,3,6,2,1,1,4,2,2,4,2,3,,,,,,,,,,1,,,,,,,,,,,,,89
8410,,1,,,,1,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,1,,,1,,,1,,1,1,,,,,,1,1,1,,,1,,,1,,,1,2,1,3,1,2,1,3,1,1,1,3,2,1,,1,1,,2,,,2,,,1,,1,1,,,,1,,,,,,,,,,,,,,,,52
8411,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,2,,1,,,,,1,1,,,,,1,,3,,1,1,2,,,,3,,3,1,3,2,2,,1,2,1,1,2,,1,1,1,2,3,2,1,1,1,4,3,1,,1,3,,1,2,,1,2,,2,,,1,,,,,,,,,,,,,,,,,70
8412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,2,,,,,,,,,,1,,1,,,1,,,,2,,1,,,1,1,2,,,,4,1,1,,1,2,1,,1,1,1,,,1,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,31
8413,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,1,,,1,,2,1,,1,1,1,3,1,2,1,4,,2,3,3,,2,2,1,1,2,1,1,1,,3,3,,4,2,,4,1,1,2,1,1,,3,3,1,5,3,2,3,,1,3,2,,1,9,1,2,1,3,2,,1,1,2,,,,,,,,,,,,,,,,,,,112
8414,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,1,,,,,1,,,,,1,,1,2,1,1,3,2,1,1,1,1,,,2,1,2,3,1,1,1,,1,,,,1,,4,2,,3,,2,1,2,2,,1,3,1,2,1,2,1,3,2,1,1,,5,2,1,1,,,,1,,,1,,1,1,,,,,,,,,,,,,80
8415,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,1,2,,1,,1,1,,2,2,,1,,,1,1,,1,1,2,1,,2,1,4,1,1,3,2,,1,1,,2,,1,2,1,1,1,,1,1,2,,,1,,2,1,,,,,,,,,,,,,,,,55
8416,10,1,,,,,,,,,,,1,,1,,,1,,2,,,1,,,1,1,1,,1,1,4,1,,2,2,2,1,1,3,4,4,,1,1,4,1,2,7,2,2,4,5,4,6,5,1,6,6,5,6,6,7,8,6,3,11,6,5,9,10,12,15,12,8,7,12,2,14,11,13,9,10,11,10,11,13,8,7,5,3,2,4,4,6,2,,1,,,,1,1,,,,,,,,,,,399
8417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,1,1,,,,1,,,1,,,4,,,,1,,2,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,16
8418,1,1,,1,,,,,,,,,,,,1,1,,,,,,1,,,,,,,,,1,,1,,1,,2,3,,,1,2,1,,2,,2,,1,,,,4,2,2,,1,2,1,,,1,,1,1,2,2,1,1,2,3,6,3,2,1,2,2,3,5,1,4,6,4,2,1,1,,1,2,2,,,,1,,2,,,,,,,,,,,,,,,,,100
8419,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,1,,,,,2,1,,1,,,2,1,,1,,,,,,,,,2,,,,3,1,,1,1,1,1,,1,2,1,2,,1,,1,4,,2,,1,3,1,3,1,2,1,,1,2,1,1,,,,,,,,,,,,,,,,,,,,,54
8420,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,1,,1,1,2,,,,2,,,1,1,,1,1,,,1,,,1,,,1,,1,,,2,,,,,,1,1,1,1,,1,2,4,1,,,1,,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,40
8421,3,3,,,,,,,,,,,,,,,,,,,,1,,,,,1,2,,,,,1,,1,,,,,1,,,1,,,,,,1,1,1,1,,1,1,1,4,,,2,,3,1,3,2,2,1,4,1,3,8,1,1,2,,3,2,3,5,3,4,3,1,3,2,2,2,4,2,,1,1,1,2,5,,1,,,,,,,,,,,,,,,,,109
9101,33,4,4,1,3,2,1,,1,1,,1,,4,1,1,2,4,3,7,3,3,5,3,3,1,2,2,4,2,7,1,3,8,5,8,6,2,7,11,8,7,3,7,11,8,10,5,10,16,9,11,9,15,12,16,16,15,14,15,9,11,22,27,17,19,16,23,32,21,30,26,28,23,28,31,29,33,32,34,34,29,24,34,31,23,24,40,22,22,22,17,16,11,9,9,12,8,1,4,1,1,1,,,,,,,,,,,1262
9102,5,1,,,,,,,,,,1,,,,2,,2,2,,2,,,,,1,4,1,,3,1,1,,,2,1,2,4,,3,,1,1,1,,5,2,1,1,,,3,1,1,5,,3,5,3,3,2,5,1,3,3,2,1,4,4,5,10,7,3,2,5,3,4,4,8,2,6,4,5,7,3,7,9,4,5,1,5,5,4,3,1,3,,1,,,,1,,,,,,,,,,,,226
9103,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,1,,,,2,,,,,1,,1,,,1,2,1,,2,,1,2,3,2,,1,,,2,1,3,1,4,1,4,1,3,4,1,3,1,3,5,4,6,4,3,5,2,,5,3,1,4,3,1,3,3,2,1,,1,,,,1,,,,,,,,,,,,,,113
9104,1,,,,1,,,,,,,,1,,,,,,,,,,,,,2,1,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,2,1,2,1,,,,,1,1,,,2,2,2,,1,,1,2,2,3,1,1,,1,1,3,,1,2,1,,,,,1,,,,,,,,,,,,,,,,,,,,,44
9105,4,1,,,,,,,,1,,,1,1,,,1,,,1,,,1,1,,,,,1,,,,1,2,2,,,1,2,,1,2,,,,,2,2,2,1,1,1,2,,2,1,1,1,,3,2,2,2,6,3,2,1,4,3,2,3,2,2,2,3,6,3,6,2,1,4,5,3,4,4,7,6,3,5,3,,2,,1,1,,,,,,,1,,,,,,,,,,1,,150
9106,2,,,,,1,,,,,,,,,,,2,,,,,,,,1,,1,1,2,,,,2,,,1,,,,1,,1,1,,2,,1,1,1,1,1,,3,1,1,,2,1,,1,,1,1,1,,2,,3,,1,,2,3,1,4,1,3,3,3,1,5,,1,2,3,4,1,2,3,1,,1,1,,2,1,1,,1,,,,,,,,,,,,,,,91
9107,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,,,,1,,1,,2,1,,1,,2,1,2,,1,1,2,2,1,1,3,1,,1,2,1,2,4,1,2,1,,2,2,4,2,3,8,5,4,6,4,2,1,4,10,6,3,,4,3,2,1,,2,1,2,1,1,,,,,,,,,,,,,,,,125
9108,10,1,1,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,1,,1,1,,2,2,1,1,,,,1,,3,1,3,,2,1,2,,3,3,1,3,1,2,1,3,1,4,3,3,1,2,4,5,4,2,6,6,10,11,2,7,4,8,2,5,7,8,4,5,3,8,3,6,1,4,2,4,2,2,1,1,3,2,1,,,2,,,,,,,,,,,,,213
9109,6,,,,,,,,,,,,,,,1,,,1,,,,2,,,,2,1,,,,,,,,,1,1,,2,,1,,1,,,,1,,2,,2,,2,2,1,2,,1,3,,4,3,3,2,1,2,1,4,4,6,4,5,5,2,4,5,4,2,4,6,3,4,8,4,3,4,5,3,1,5,3,,1,,1,,2,,,1,,,,,,,,,,,,,154
