Comuna,muertes.men1,muertes.1,muertes.2,muertes.3,muertes.4,muertes.5,muertes.6,muertes.7,muertes.8,muertes.9,muertes.10,muertes.11,muertes.12,muertes.13,muertes.14,muertes.15,muertes.16,muertes.17,muertes.18,muertes.19,muertes.20,muertes.21,muertes.22,muertes.23,muertes.24,muertes.25,muertes.26,muertes.27,muertes.28,muertes.29,muertes.30,muertes.31,muertes.32,muertes.33,muertes.34,muertes.35,muertes.36,muertes.37,muertes.38,muertes.39,muertes.40,muertes.41,muertes.42,muertes.43,muertes.44,muertes.45,muertes.46,muertes.47,muertes.48,muertes.49,muertes.50,muertes.51,muertes.52,muertes.53,muertes.54,muertes.55,muertes.56,muertes.57,muertes.58,muertes.59,muertes.60,muertes.61,muertes.62,muertes.63,muertes.64,muertes.65,muertes.66,muertes.67,muertes.68,muertes.69,muertes.70,muertes.71,muertes.72,muertes.73,muertes.74,muertes.75,muertes.76,muertes.77,muertes.78,muertes.79,muertes.80,muertes.81,muertes.82,muertes.83,muertes.84,muertes.85,muertes.86,muertes.87,muertes.88,muertes.89,muertes.90,muertes.91,muertes.92,muertes.93,muertes.94,muertes.95,muertes.96,muertes.97,muertes.98,muertes.99,muertes.100,muertes.101,muertes.102,muertes.103,muertes.104,muertes.105,muertes.106,muertes.107,muertes.108,muertes.109,muertes.110,muertes.111,muertes.Total 
13605,6,1,,,,,,,1,,,,,,,1,,,1,1,,,,,1,1,,1,,3,1,1,2,1,,1,1,,3,,1,4,3,2,2,4,1,2,2,4,2,3,4,3,5,9,3,5,7,8,7,6,6,6,9,12,8,11,10,16,9,3,11,9,10,15,13,13,15,15,9,8,11,14,17,10,15,16,12,12,6,17,5,2,5,4,3,2,4,1,1,1,,,,,,,,,,,480
14101,18,2,,2,,2,,2,,,,,,1,,,,3,,,1,2,3,1,,2,2,2,3,3,1,3,2,6,2,,4,2,3,1,,7,4,2,9,8,3,5,5,3,5,8,7,9,11,11,11,12,10,9,13,9,12,9,15,14,12,22,20,20,22,23,27,22,16,26,22,31,25,15,28,28,35,24,22,26,27,29,38,23,22,17,16,15,14,12,4,5,4,3,1,4,1,,,,,,,,,,985
14102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,1,,1,,,1,1,,,,,,,,,,,,,,1,1,,1,,1,1,1,4,1,2,1,,1,2,1,4,,3,4,,2,2,1,3,1,2,1,,,,,1,,,,,,,,,,,,,,,48
14103,2,,1,,,,,,,,,,,,,,,,,1,,1,,,1,,,1,,,,1,,,,2,1,,1,1,,,,,,,,,2,,1,1,1,1,,1,,2,1,1,,2,5,2,1,3,5,2,,,3,2,3,2,5,3,5,2,6,3,2,5,1,6,3,6,3,5,2,2,3,2,,2,1,2,,,2,,,,,,1,,,,,,,,126
14104,2,,,,,,,,,,,,,,,1,,,,,1,2,,,,,,,,2,,,2,1,,1,,,1,2,,,,2,,,,,,1,,3,3,2,,2,1,1,3,2,,3,,2,,3,1,3,2,3,2,3,,1,6,5,4,3,,3,3,3,3,2,4,4,3,4,3,1,6,1,1,,,,1,1,,,,,,,,,,,,,,,119
14105,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,1,,1,,,,,,1,,1,1,2,1,,,,1,1,,3,2,1,2,,,1,1,,,1,,1,3,1,3,1,,3,2,1,,4,,,,2,,2,,,1,,,,,,,,,,,49
14106,,1,,,,1,,1,1,,,1,,,,1,,1,,,,,1,,,,,,,,,,1,,,,2,,,1,,2,1,1,1,,1,2,2,1,2,2,,1,2,2,1,2,1,3,,1,2,2,1,4,4,6,3,2,4,1,1,4,2,5,2,4,5,8,6,5,,4,1,5,3,2,2,3,1,2,3,3,,1,1,2,1,,1,1,,,,,,,,,,,147
14107,6,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,1,1,,,,,,,,,,2,1,,2,,,,,1,,2,3,3,,1,2,1,2,,,,3,3,3,1,4,3,4,2,4,2,6,1,1,6,5,5,2,3,4,4,7,3,4,5,3,4,3,5,10,5,3,2,2,1,2,,2,,2,,1,,,,,,,,,,,161
14108,3,,,,,,,,,,,,,,,,,,,1,1,1,,1,,1,,1,,1,1,2,1,,1,1,,1,2,3,1,1,2,1,2,2,2,3,1,2,1,,2,2,,2,2,1,2,4,5,6,3,,6,4,6,6,2,8,6,6,4,1,5,8,8,10,4,6,3,10,3,6,3,10,10,7,7,1,10,4,5,1,4,,2,2,2,1,1,1,1,,,,,,,,,,253
14201,3,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,1,,,2,,1,1,,1,,3,1,1,2,,2,1,3,2,2,,5,2,6,2,4,1,,3,1,5,6,8,4,5,4,6,6,6,4,7,5,5,7,6,12,7,6,3,13,9,12,6,4,8,7,5,4,4,7,5,5,5,7,3,5,1,1,,,,1,,,,,,,,,,,277
14202,3,,,,,,,1,,1,,,,,,,,,,1,,,,,1,,1,,,,,,,1,,,1,,,2,,,,,,,,1,,2,,3,1,1,3,,2,1,1,1,2,1,1,,1,,2,2,3,2,3,2,2,2,1,,3,1,,2,,5,7,3,4,2,2,2,1,,,1,,1,,,1,,,,,1,,,,,,,,,,,88
14203,1,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,1,,1,,,,,,,,,,,1,1,,1,2,1,1,,1,,1,,1,2,1,2,1,,4,,1,,2,2,1,3,2,3,1,3,1,1,1,1,4,2,4,1,2,1,2,4,1,1,,1,2,2,2,3,1,3,1,1,2,,,1,,,,,,,,,,,,,,89
14204,1,,,1,,,,,,,,,,,,,,,1,2,,,,,,,1,,,,2,1,1,1,,1,,,1,,,1,,2,,1,3,4,5,1,,4,1,4,4,3,1,,5,2,4,1,2,7,4,3,5,3,5,4,7,6,3,10,9,7,5,3,12,6,6,8,6,6,5,6,13,7,5,6,6,1,2,3,2,1,2,,,,1,1,1,,,1,,,,,,,249
15101,26,2,,,1,1,2,2,1,,,1,,,,1,,1,2,2,1,2,4,4,4,4,6,3,3,5,5,1,6,7,3,5,3,5,2,2,5,4,7,4,6,5,6,4,10,14,8,13,6,8,14,17,9,18,6,13,20,27,15,19,28,16,16,32,15,32,34,23,24,28,22,34,27,25,32,37,33,31,28,33,35,43,33,34,21,27,21,16,10,15,7,11,8,14,4,3,4,1,4,1,1,1,,,,,,,1239
15102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1
15201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,5
