Comuna,muertes.men1,muertes.1,muertes.2,muertes.3,muertes.4,muertes.5,muertes.6,muertes.7,muertes.8,muertes.9,muertes.10,muertes.11,muertes.12,muertes.13,muertes.14,muertes.15,muertes.16,muertes.17,muertes.18,muertes.19,muertes.20,muertes.21,muertes.22,muertes.23,muertes.24,muertes.25,muertes.26,muertes.27,muertes.28,muertes.29,muertes.30,muertes.31,muertes.32,muertes.33,muertes.34,muertes.35,muertes.36,muertes.37,muertes.38,muertes.39,muertes.40,muertes.41,muertes.42,muertes.43,muertes.44,muertes.45,muertes.46,muertes.47,muertes.48,muertes.49,muertes.50,muertes.51,muertes.52,muertes.53,muertes.54,muertes.55,muertes.56,muertes.57,muertes.58,muertes.59,muertes.60,muertes.61,muertes.62,muertes.63,muertes.64,muertes.65,muertes.66,muertes.67,muertes.68,muertes.69,muertes.70,muertes.71,muertes.72,muertes.73,muertes.74,muertes.75,muertes.76,muertes.77,muertes.78,muertes.79,muertes.80,muertes.81,muertes.82,muertes.83,muertes.84,muertes.85,muertes.86,muertes.87,muertes.88,muertes.89,muertes.90,muertes.91,muertes.92,muertes.93,muertes.94,muertes.95,muertes.96,muertes.97,muertes.98,muertes.99,muertes.100,muertes.101,muertes.102,muertes.103,muertes.104,muertes.105,muertes.106,muertes.107,muertes.108,muertes.109,muertes.110,muertes.111,muertes.112,muertes.113,muertes.Total 
5201,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,1,1,,,1,1,,1,1,,,1,,,1,,,2,,,1,,,,,2,,,,,1,,,1,2,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,23
5301,5,,1,,,,,,,,,,,,,,,2,1,,,,,2,1,,,,1,,2,,1,2,,,,,,2,2,5,1,1,1,1,3,3,1,3,1,2,3,5,4,2,2,5,1,6,5,3,6,3,6,2,6,2,5,7,12,6,8,10,9,11,5,7,8,3,11,5,8,13,11,19,8,5,12,12,8,7,11,6,4,2,3,,,2,1,,1,1,1,,,,,,,,,,347
5302,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,1,,,1,1,,,,,1,,1,1,3,,3,,1,,1,,,4,,4,3,3,2,,1,,1,2,,1,,5,1,2,1,,1,2,1,,,,,,,,,,,,,,,,,53
5303,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,,,,,2,,,1,,,,,1,1,1,,,,,,,,2,1,,1,1,,1,,1,,1,2,,,2,1,1,,1,4,1,2,3,1,2,,1,1,4,,,2,,,,,1,,,,,,,,,,,,,,,,47
5304,2,,,,,,,,,1,,,,,,1,,,1,,,,,1,1,,,,,1,1,1,,,,,,,,,,,1,,1,,,,,,,4,1,2,,1,2,1,1,1,2,1,1,,2,,,4,1,3,,3,1,2,6,1,5,1,2,2,4,1,3,5,2,2,2,2,1,2,1,,3,,1,,,,1,1,,,1,,,,,,,,,,,,94
5401,3,1,1,,,,,,,,,,,,,,,,,,,1,,1,1,,1,1,1,1,2,,,,,,,2,,1,,1,1,,1,,,2,2,,1,,,3,1,1,2,5,2,3,4,1,3,4,3,2,7,6,3,3,7,5,7,7,4,1,8,5,8,11,2,4,6,9,5,3,4,5,6,8,3,4,5,3,4,,1,1,1,,,1,,,,,,,,,,,,,216
5402,1,,,,,,,,,,,,,,,,,,,,,,,,1,,2,1,1,,1,,,,,1,,,,1,,1,1,1,1,1,1,1,,1,2,4,,2,3,,1,2,2,1,2,1,1,2,,2,4,1,4,1,2,1,1,4,3,3,5,3,4,3,8,3,2,3,2,6,1,2,5,2,1,,3,2,2,2,1,1,,,,,,,,,,,,,,,,,127
5403,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,1,,,1,1,3,1,,,,,1,,1,2,,,,1,1,1,2,,1,,,,1,,1,1,1,,1,2,,,1,2,1,1,1,1,,,,1,,,,,,,,,,,,,,,,,,37
5404,1,,,,,,,,,,,,,,1,,,,1,1,,,1,,,1,,,,1,,,,,,,,,,1,,,1,,,2,1,1,,,,,,,,,1,,1,,,2,,,,,,1,1,,3,2,2,1,2,1,3,3,1,1,,1,4,,3,2,,1,2,2,1,,1,,,,,1,,1,,,1,,,1,,,,,,,,,59
5405,2,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,1,,1,,1,,,,,1,,,,,1,,,,,,,,,,4,,1,3,2,,1,,,,1,1,,1,2,1,,2,1,1,,1,1,,1,,3,1,2,,,,,,,,1,,,,,,,,,,,,,,40
5501,6,,1,,,1,,,,,1,1,,,1,,,,,,1,1,1,1,,1,,,1,2,1,1,,4,,1,1,1,2,2,,2,1,3,2,3,1,5,3,4,7,5,4,3,5,4,5,8,4,6,6,4,7,8,7,9,7,8,10,12,14,11,14,14,15,12,22,10,16,15,21,19,19,22,19,19,18,14,18,11,19,13,12,11,5,8,12,6,4,5,2,2,1,,,,,,,,,,,,608
5502,5,1,1,,,,,,,,,,1,,,,,,,,,,1,1,1,1,,3,1,,1,,1,,1,1,3,2,1,2,,,,,1,1,2,,2,,2,1,7,,3,3,3,2,2,2,6,5,3,5,7,6,9,4,8,7,8,4,12,7,5,7,6,7,11,8,10,10,16,6,6,8,8,6,9,10,11,4,9,8,1,4,2,2,,1,,,1,,,,,,,,,,,,326
5503,3,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,1,,,,,1,,,,,,,,,1,1,,1,,,2,,2,2,1,1,1,2,1,1,2,2,1,1,1,2,1,2,2,2,1,1,,2,6,2,,4,5,5,4,2,3,1,5,1,3,2,2,1,,1,2,1,,1,,1,,,,,,,,,,,,,,95
5504,4,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,1,,,,,,,2,1,,2,1,,1,,1,4,4,3,2,1,,,,1,1,5,,4,2,3,1,3,1,1,2,2,3,2,3,2,2,2,3,1,3,3,2,5,1,,1,,2,1,2,,,,1,1,,,,,,,,,,,,,96
5506,2,1,,,,,,,,,,,,,,,,1,1,,1,1,,1,,1,,,,1,,,,,,1,,,1,2,1,1,2,,1,,,1,,1,,2,3,1,,3,,,4,3,2,1,1,,1,,1,5,1,1,3,,6,2,2,3,2,1,5,3,3,4,6,9,9,3,5,4,3,2,2,2,1,1,1,,3,1,1,,,1,,,,,,,,,,,,,138
5601,9,,,,3,,,,1,,,,2,,2,1,,,2,1,1,,,,,3,1,2,,1,1,2,1,1,3,3,3,3,2,2,,2,4,1,4,4,3,3,6,6,6,5,5,5,7,8,5,9,3,6,6,7,8,10,6,17,7,15,13,15,15,9,18,8,19,12,13,21,15,20,20,19,25,26,19,12,13,15,16,13,14,13,8,9,2,1,6,3,5,2,4,2,1,,,,,,,,,,,,644
5602,,,1,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,2,,,,1,,,,,,1,2,1,,2,,,,1,3,,,,1,1,1,,1,,1,1,1,2,4,1,2,2,3,,4,4,2,2,,,1,2,1,4,1,1,2,2,2,,2,1,,1,3,,1,,,,,,,,1,,,,,,,,,,74
5603,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,1,,,1,,,,,3,1,,1,2,1,,4,2,1,5,2,2,1,,1,2,,3,4,3,,5,3,3,,2,3,4,3,3,3,2,4,5,5,3,2,5,6,5,2,4,4,5,3,4,5,4,1,2,2,1,1,1,,,,1,,,,,,,,,,,,,150
5604,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,1,,,,,,,,,1,,,,,,,,1,,2,,1,2,1,4,,,2,1,1,3,,2,1,2,,5,,2,,3,1,4,1,3,2,1,,5,2,1,3,,1,1,2,1,,,1,,,,,,,,,,,,,,,,,,68
5605,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,1,,,,,1,,,1,,,,1,,,,2,,,1,,,,,,1,,,,3,2,3,2,2,4,,1,2,8,2,4,1,2,3,1,,,2,1,,,,,1,,,,,,,,,,,,,,,,,,,55
5606,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,1,1,,,,,,,1,2,1,,,,,,2,,2,1,,3,1,3,3,5,4,3,1,2,1,1,2,1,,,2,1,,1,,,,1,,,,,,,,,,,,51
5701,10,1,,,,,,,1,,,,,,1,,,2,,,,1,1,,,1,,,1,2,2,3,,,,,2,1,2,3,3,2,3,2,,2,5,1,5,2,3,7,1,3,4,3,7,6,4,10,5,5,5,6,4,12,9,5,5,5,12,12,4,12,3,7,10,10,10,13,9,14,11,22,14,21,15,11,11,15,10,11,13,9,7,2,5,3,,,1,1,1,,1,,,,,,,,,,468
5702,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,,,,,,,,,1,,,,,,2,,,,,3,1,,1,1,1,1,,2,,1,,1,2,1,2,3,2,1,1,3,2,1,3,2,2,5,3,2,3,,2,3,1,3,2,3,1,3,,1,3,,,,,1,1,1,,,,1,,,,,,,,,,,83
5703,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,2,,2,1,1,,,1,1,,1,1,3,4,,5,1,1,1,,,,2,7,1,2,4,3,2,3,3,3,4,5,4,4,1,7,4,4,3,5,5,7,1,3,5,7,5,4,3,3,2,2,2,1,,,1,1,,1,1,,,,,,,,,,,154
5704,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,1,,,,,,,,,1,2,,,1,1,1,,3,,1,,1,1,,2,,1,1,,1,3,,,3,,1,1,,,2,,1,,1,,,,,,,,,,,,,,,,,,,,,34
5705,2,,,,,,,,,,,2,,,,,,,,1,2,,,,,,,1,,,1,,,,,,2,,,,,,,1,,,,1,2,1,,1,,1,2,1,2,2,,,2,5,2,3,1,1,1,1,1,6,1,5,1,2,2,2,3,1,2,4,6,5,4,5,1,6,2,6,2,1,1,5,3,1,,1,,2,,1,2,,,,,,,,,,,,,,125
5706,,1,,,,,,,,,,,,,,,,,,1,1,,,,1,,,1,,,1,,,,,1,,,,,1,,,1,,,,1,1,,,,,1,,,1,,,,,3,,,,,2,,2,1,2,3,1,,,1,3,2,2,2,5,3,5,,7,3,3,1,4,3,1,1,1,,,2,,,,,,1,,1,,,,,,,,,,,78
5801,14,1,,,,,,,1,,,,,,,1,,,3,1,1,2,,1,2,2,1,,1,2,,,1,2,1,3,2,2,1,2,3,1,1,4,5,5,1,8,1,4,1,5,8,7,11,15,8,7,8,11,7,11,10,12,10,11,21,20,30,19,13,24,24,23,20,26,19,28,26,33,32,34,56,32,40,34,39,41,26,28,29,20,29,13,18,12,11,6,7,4,5,2,2,1,,2,,,,1,,,,,1072
5802,5,,,,,,,,,,,,,,1,,,,1,1,1,,,,,,1,,1,1,,,2,,,1,1,1,,,1,2,,,1,,2,1,5,4,1,4,2,3,1,,1,4,7,3,2,4,2,3,10,4,4,7,9,7,1,5,5,7,10,6,9,9,12,7,9,11,9,10,5,14,11,17,10,13,5,9,5,5,6,5,3,1,4,1,2,1,,1,,1,,,,,,,,,340
5803,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,2,,,2,,,,,,,,,,1,1,,1,,,2,2,,3,2,3,2,2,1,1,2,6,3,1,1,5,1,1,2,3,3,2,2,4,3,4,1,2,1,5,2,2,2,2,1,2,1,1,1,,,,,1,,,,,,,,,,,95
5804,8,,,,1,,2,,,,1,,,,,,1,1,1,1,3,2,1,2,1,1,,,,1,,2,3,2,1,1,,1,2,3,4,1,1,1,4,1,3,2,4,3,4,6,5,8,5,5,7,5,10,4,9,8,15,11,10,12,15,9,7,15,12,19,17,18,13,21,22,20,23,19,24,23,31,29,34,28,20,33,25,24,24,15,19,11,11,6,12,8,7,5,4,2,,,,,,,,,,,,,815
6101,21,1,2,,,,,,1,,,,,,2,6,4,4,4,1,2,4,1,3,4,5,2,3,5,4,3,4,9,4,3,3,4,5,5,5,4,5,8,4,11,10,11,9,15,5,8,9,11,12,14,15,20,16,14,16,30,13,18,23,22,30,17,28,17,23,23,28,22,18,35,35,38,33,32,36,18,33,48,41,39,30,41,34,33,31,27,23,21,21,11,9,5,10,7,5,4,2,2,,,1,,,,,,,,,1358
6102,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,2,,,1,,3,,,,,,1,1,,,3,,1,2,2,4,3,,2,,1,4,,2,1,4,1,3,3,2,1,1,4,,1,4,1,1,,,3,,,1,,,,,,,,,,,,,,,,68
6103,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,1,,1,1,1,3,2,,,,1,1,,1,,,1,,,3,2,1,,1,1,,2,2,1,3,3,1,,,1,,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,45
6104,,,,,,,1,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,1,,1,,1,,,,1,,,,,2,,3,2,1,1,3,1,3,4,2,4,,1,1,2,5,1,1,1,2,,2,8,6,2,4,8,4,,1,3,2,6,1,3,2,3,1,1,1,4,,1,,,,2,,,,,,,,,,,,,113
6105,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,1,,,,,,,,,,,1,3,1,1,,1,1,3,4,2,1,3,2,,2,2,4,3,4,2,,4,3,5,1,5,3,2,3,4,2,4,2,2,3,4,2,,2,3,4,2,1,1,2,,1,,,,,,,,,,,,,,,,,111
6106,1,1,,,,,,,,,,,,,,,1,1,,,,,,,1,,1,,1,,1,1,,,2,,,1,1,1,,,2,,,,2,2,2,,3,2,1,1,3,4,1,3,4,2,3,3,1,3,2,5,7,2,3,2,2,8,2,2,3,5,3,2,3,2,2,7,4,7,3,3,4,1,1,2,1,2,2,1,2,1,,,,,1,,,,,,,,,,,,,,153
6107,2,1,,,,,,1,,,,,,,1,,,,,,,1,,,1,,,,,2,,,1,1,,,1,1,1,,,,,1,,,,1,,1,3,1,1,2,,,1,2,2,1,1,2,2,3,2,2,1,3,3,6,4,2,1,4,1,3,2,1,2,3,2,5,5,9,8,6,5,3,2,2,3,6,1,3,2,2,,,,,,1,,,,,,,,,,,,,143
6108,6,1,,,,,,,,,,,,,,1,,,1,,,1,1,,,1,,,1,1,1,,,1,,,,1,2,,2,1,1,,,1,1,1,1,,5,2,3,1,1,1,1,2,2,2,2,4,4,3,1,5,4,3,2,3,2,5,2,1,6,6,3,5,6,4,3,8,5,7,6,6,3,4,7,4,5,2,1,2,,4,1,1,,3,,,1,,,,,,,,,,,,191
6109,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,1,,,1,,,1,,1,1,,,1,,2,1,,1,1,2,2,,,1,1,,3,,,1,2,,3,4,,2,3,2,1,1,1,,3,2,3,3,3,3,2,1,,1,2,,2,1,,,,,1,,,,,,,,,,,,,72
6110,2,,,,,,,,,,,,,,,,,,,,1,1,1,,,1,,,,1,,1,,,1,1,1,,3,1,,1,,,,,2,,2,,,1,4,1,3,,3,3,3,4,2,1,,3,2,2,2,5,3,6,5,3,4,6,4,,,5,6,3,8,3,6,5,7,4,5,6,4,3,1,3,1,,3,1,2,,1,2,,,,,,,,,,,,,,,169
6111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,1,,1,2,1,1,2,,1,2,,3,1,,,,1,1,1,,2,1,3,2,2,1,2,3,3,1,,2,2,2,2,6,4,1,1,4,2,,1,,3,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,78
6112,1,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,1,1,,,,,1,,,,,1,,,1,2,1,,1,1,4,,1,2,,2,2,1,1,2,1,,5,2,2,,1,2,4,1,,3,2,2,2,1,3,4,3,3,,2,3,,1,1,2,2,3,1,1,2,2,2,,,,,,1,,1,,,,,,,,,,,,,94
6113,1,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,1,,,1,,1,,1,,1,,,1,1,,4,,,,,,1,,,,,,1,2,4,2,2,4,1,1,3,1,2,1,4,,1,3,5,5,6,8,4,1,5,6,5,6,,4,1,4,3,2,,3,2,1,3,,,,,,,,,,,,,,,,,121
6114,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,1,,,,,1,1,,,,,1,4,2,,1,,1,,1,2,4,1,2,1,1,3,3,1,2,2,2,,2,2,,2,1,1,,1,2,1,1,1,2,1,1,,,,,,,,,,,,,,,,,,59
6115,5,,,,,,,,,,,,,1,,,,,1,2,1,,,1,,,1,1,,1,1,,,,2,,2,,,1,1,2,,4,1,2,6,2,2,1,1,5,1,4,3,2,2,1,5,2,4,5,2,2,3,5,10,9,7,10,8,9,5,7,6,5,4,8,7,8,5,11,8,11,7,7,5,5,7,4,3,5,4,3,2,2,5,4,,,1,,,,,,,,,,,,,,290
6116,3,,,,,,,,,,,,,,,1,,,2,1,,1,,,1,,1,,3,,,2,,,,1,,,,,,1,,,,,1,1,2,,2,,1,,,2,,2,1,3,1,3,2,2,5,2,1,1,,3,2,1,1,,2,5,2,3,,1,5,2,4,4,4,3,3,1,4,3,3,5,1,1,2,,2,,,1,,2,,,,,,,,,,,,,119
6117,3,1,,,,,,,,,,,1,,,,,,,1,,1,3,,,,,,,,,1,1,,,,,,2,2,,1,,,,,1,,2,2,1,2,4,5,5,1,1,9,4,4,4,4,6,4,6,4,2,4,4,7,9,5,7,3,5,8,7,4,7,2,12,8,3,3,10,8,5,10,16,7,6,5,10,6,4,5,1,,1,,1,,3,,,,,,,,,,,,284
6201,1,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,1,,1,,,,,,1,1,,1,,,,,,1,1,,,,1,2,1,,1,3,,,1,1,2,1,1,3,1,2,2,3,4,2,4,2,3,3,3,4,4,5,2,3,4,,2,,,2,2,3,1,1,,,,,,,,,,,,,,,,,,,89
6202,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,2,,,1,1,1,,,,,1,,,,1,1,1,,1,2,1,,,,,1,,,1,1,1,1,1,,,,,2,,,1,1,1,,,,,,,,,,,,,,,27
6203,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,1,1,1,,,1,,,1,1,,,,,,,1,,1,1,1,1,,1,1,,3,1,1,1,1,,3,2,2,2,,1,1,1,,2,1,,,,1,,1,,,,,,,,,,,,,,,40
6204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,2,,1,1,,,1,,3,1,2,,1,1,2,2,,,1,2,3,,2,5,2,,,,1,,2,3,,2,2,,2,3,1,2,,3,,1,,,1,,,,,,,,,,,,,,,,,58
6205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,1,,1,,,,1,1,,,4,2,2,,,1,1,2,2,1,1,2,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,28
6206,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,1,,,1,,1,,1,,,1,1,1,,1,3,,1,1,,,,,1,,,1,3,,2,2,,3,1,2,3,2,,,1,2,,,,1,,1,,1,1,,,,,,,,,,,,,,,,,45
6301,7,,,1,,,,,,,,,1,,1,1,,,,1,,1,,,1,1,1,2,,2,1,3,1,2,2,,,5,,1,2,1,4,1,,,3,2,5,3,5,7,5,7,8,4,3,3,6,7,5,6,6,13,10,2,7,11,12,12,9,5,14,10,8,5,10,12,10,15,4,9,24,13,20,13,18,14,9,7,4,7,9,3,3,6,7,2,,2,2,,,1,,,,,,,,,,,470
6302,1,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,1,,,1,,1,,2,1,1,,,,,1,,1,2,2,2,,2,,,1,3,1,3,,1,6,3,3,,3,3,3,,3,5,3,8,2,6,4,2,3,2,2,4,,5,,2,1,,,1,1,,,,,,,,,,,,,106
6303,2,,,,,,,2,,,,,,,1,,,,,,,,,,,,,1,,,,1,,1,,,1,1,,2,2,1,,2,1,3,,2,5,3,,3,1,1,4,2,2,3,3,1,,3,5,3,3,3,4,3,4,3,5,2,4,2,3,6,6,11,3,5,6,2,4,7,4,6,4,2,9,4,2,,5,1,2,,1,,,,,1,,,,,,,,,,,,,189
6304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,1,,,1,,1,2,3,,,,,,1,1,1,1,2,1,3,1,,2,1,1,2,1,1,5,2,,4,3,4,2,1,1,1,2,,2,1,,2,,,,,,,,,,,,,,,,,59
6305,2,,,1,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,1,1,2,1,,,1,,,,,1,2,2,1,2,,1,1,1,,2,,3,,2,1,,3,,,2,1,,1,1,3,3,2,1,1,4,2,3,4,1,4,5,4,1,1,4,2,4,2,3,4,1,1,2,2,,1,1,,,,,,,,,,1,,,,,,,106
6306,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,1,1,,,,,,,,2,1,1,2,,,1,,1,1,,1,1,,1,,,,1,1,,,2,1,2,1,1,1,,2,,1,3,2,,2,3,2,2,2,1,1,1,1,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,54
6307,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,1,1,,,,,,1,,1,,,,1,,,,,,1,,,2,2,1,1,1,4,,1,2,,1,2,,1,,4,3,2,3,5,1,5,4,,2,3,1,6,5,3,4,2,3,,1,,2,1,1,1,1,1,,,,,,,,,,,,,,,90
6308,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,1,1,1,,1,,,1,,,,1,2,,,2,2,2,,1,1,1,2,,,,1,3,,2,,2,2,,2,,,4,1,1,5,2,2,,4,,,,,,1,,,1,,,,,,,,,,,,,,,55
6309,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,2,,,,,,,1,,1,,1,,1,2,1,1,,1,1,1,2,3,,1,2,3,2,1,3,1,,1,,,1,3,,1,,,,,,,,,,,,,,,,,,,,41
6310,5,,,,,,,,,,,,,,,,,,1,1,,1,,,,,1,1,,,,,1,1,,,,1,1,,2,,1,,1,2,,3,2,2,3,2,2,6,1,,4,3,1,3,2,1,2,3,1,4,4,1,2,3,8,3,3,9,6,10,5,4,6,11,8,4,3,8,9,6,9,4,7,8,9,2,4,1,4,2,3,2,2,,1,,1,,,,,,,,,,,,237
7101,25,4,1,,2,,1,1,,,,,,,,1,1,1,3,1,1,1,1,6,3,3,2,1,,3,2,,3,,,1,2,6,5,2,5,7,6,3,8,2,8,10,5,6,10,6,8,11,11,13,18,16,7,9,21,11,15,24,27,27,17,18,22,27,27,29,29,29,22,33,30,36,34,31,37,44,37,32,38,40,30,31,32,24,29,20,23,19,12,16,6,9,11,6,5,5,2,1,,1,,,1,,,,,,1272
7102,4,,,,,,,,,,,,,,1,2,,,2,,1,,1,1,,1,,,1,,3,,1,2,,,1,2,1,,,,2,1,2,1,,2,2,2,3,2,,1,,5,4,4,5,7,5,2,12,4,9,1,5,3,6,2,9,10,8,8,5,8,7,5,6,8,9,9,11,8,9,8,5,6,8,5,4,3,3,3,2,1,1,1,,1,,,,,,,,,,,,,,,287
7103,,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,1,2,,,,1,,,2,3,,,3,1,,1,2,1,,1,1,,1,5,,1,,1,5,,3,1,5,,4,3,3,5,2,2,2,1,4,1,2,1,1,1,1,4,,,,1,,,,,,,,,,,,,84
7104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,2,,1,,,,,,1,1,1,1,,,,1,1,,,,,1,1,1,,,,1,1,,1,,,1,1,1,,,,,,,,,,,,,,,,,,21
7105,2,,,,1,,,,,,,,,,,,,1,,,2,,,,,1,1,,1,,,1,1,,,,,,1,,2,2,1,2,,2,1,1,1,,1,1,3,2,1,,,4,,1,1,2,,2,1,2,4,2,4,2,3,7,2,4,1,2,2,5,5,5,6,4,5,4,10,4,1,2,5,3,2,2,3,1,,,,,,,,,,,,,,,,,,,,,145
7106,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,2,,1,,,,1,,,1,,,,2,,1,1,,,1,3,,1,,4,,2,,2,2,1,3,,2,,1,1,1,1,,,2,1,,,1,,,,,,,,,,,,,,,,,41
7107,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,2,,1,,,,,,,,1,1,,,,2,1,2,1,2,1,,1,1,3,,2,,2,1,2,1,,2,2,2,2,,1,,,2,2,,,1,1,2,3,1,,1,2,,,,,,,,,,,,,,,,,,,,54
7108,3,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,1,3,,1,,,3,,2,1,,1,,,2,1,,,1,2,2,,2,,1,3,,3,1,2,5,3,1,1,3,5,2,2,2,2,2,4,2,,1,1,1,1,2,1,,,,,,,,,,,,,,,,,,80
7109,3,2,1,,,,,,,,1,1,,,1,1,1,,,2,,,1,,1,,2,,,,,,1,,,1,,2,1,2,1,,1,,1,,,1,3,4,2,3,2,1,,,2,3,2,1,3,2,4,4,4,7,6,6,3,4,6,12,5,3,5,6,5,9,8,9,6,8,15,11,6,9,5,6,8,3,2,4,2,2,5,2,1,,2,,,,,,,,,,,,,,,,259
7110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,1,,,1,,,1,,,,,2,,1,2,,2,,2,1,1,,2,,1,,,,2,1,2,1,,,2,1,3,3,1,2,,1,1,1,,1,2,,,1,1,2,,,1,,,,1,,,,,,,,,,,,,,50
7201,3,,,,,,,,,,,,,,,1,,1,1,1,,1,,,,1,,,1,,,1,,,2,,1,1,,2,,1,1,1,1,1,2,4,3,,2,4,3,2,1,4,2,3,4,5,7,5,6,5,4,7,12,6,9,7,7,7,10,9,9,7,8,5,6,9,6,4,8,17,8,8,13,12,9,10,6,9,8,8,5,4,2,4,1,3,2,2,,,,,,,,,,,,,355
7202,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,1,,,,2,,1,1,,,,,,,1,2,,,,1,1,1,,,2,1,,,1,1,,,,1,2,,2,1,1,1,,2,2,,2,3,1,2,2,,1,2,2,1,4,1,3,2,,,,1,,,,,,,,,,,,,,,,,,58
7203,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,,,,,,,,,,,2,,,,,,,,,1,2,1,,,1,1,,,1,1,1,,1,1,,,,,,3,1,1,1,,2,,,1,,1,2,,1,3,2,,2,1,1,,,2,1,,1,1,3,1,,,,,,,,,,,,,,,,,,48
7301,13,3,,2,1,,,,,,,,,,,1,,1,1,,4,1,,,1,3,4,1,,2,,2,4,2,,2,3,2,1,5,5,2,4,6,6,5,13,7,8,5,2,5,9,16,11,9,9,9,12,9,10,6,9,16,12,14,21,14,14,22,17,17,19,15,22,17,18,18,20,25,13,23,21,30,16,27,23,25,13,16,11,16,7,14,12,2,3,5,3,3,2,1,1,,,,,1,,1,,,,,826
