Comuna,muertes.men1,muertes.1,muertes.2,muertes.3,muertes.4,muertes.5,muertes.6,muertes.7,muertes.8,muertes.9,muertes.10,muertes.11,muertes.12,muertes.13,muertes.14,muertes.15,muertes.16,muertes.17,muertes.18,muertes.19,muertes.20,muertes.21,muertes.22,muertes.23,muertes.24,muertes.25,muertes.26,muertes.27,muertes.28,muertes.29,muertes.30,muertes.31,muertes.32,muertes.33,muertes.34,muertes.35,muertes.36,muertes.37,muertes.38,muertes.39,muertes.40,muertes.41,muertes.42,muertes.43,muertes.44,muertes.45,muertes.46,muertes.47,muertes.48,muertes.49,muertes.50,muertes.51,muertes.52,muertes.53,muertes.54,muertes.55,muertes.56,muertes.57,muertes.58,muertes.59,muertes.60,muertes.61,muertes.62,muertes.63,muertes.64,muertes.65,muertes.66,muertes.67,muertes.68,muertes.69,muertes.70,muertes.71,muertes.72,muertes.73,muertes.74,muertes.75,muertes.76,muertes.77,muertes.78,muertes.79,muertes.80,muertes.81,muertes.82,muertes.83,muertes.84,muertes.85,muertes.86,muertes.87,muertes.88,muertes.89,muertes.90,muertes.91,muertes.92,muertes.93,muertes.94,muertes.95,muertes.96,muertes.97,muertes.98,muertes.99,muertes.100,muertes.101,muertes.102,muertes.103,muertes.104,muertes.105,muertes.106,muertes.107,muertes.108,muertes.109,muertes.112,muertes.Total 
8401,14,2,1,,,1,,,,,,,,,1,3,2,1,3,1,4,4,1,1,1,3,2,3,1,1,3,2,1,4,3,4,2,3,2,8,6,4,11,3,8,7,5,9,8,5,12,10,6,11,11,13,7,12,13,20,15,12,24,16,7,23,21,30,19,22,19,27,10,24,24,15,25,28,31,24,29,20,20,22,18,21,17,31,25,22,17,18,16,11,12,6,9,2,5,1,4,1,1,,,,,,,,,1007
8402,4,1,,1,,,,,,,,,2,,,,,,,,2,,1,,,,,1,1,,,,,1,,,,1,,,1,1,1,1,1,,,1,2,3,6,1,,3,,5,1,,1,6,2,1,2,2,3,3,2,2,2,4,2,2,3,2,6,,5,5,10,5,5,5,5,3,6,6,4,1,4,8,1,3,4,2,,,,,,,,,,,,,,,,,,169
8403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,1,1,1,1,1,2,1,,1,,1,,,,,2,1,1,1,1,,,1,,,,2,4,3,1,1,,2,4,1,3,,1,,2,1,,,,,,,1,,,,,,,,,,,46
8404,1,1,,,,,,,,,,,,,,1,1,,,,,,,1,1,,,,1,,,,,,,,,,,1,1,1,,,2,,3,1,1,,,2,1,1,2,1,,2,1,2,2,3,1,,2,3,3,2,6,2,4,1,3,2,1,,3,4,5,1,3,2,6,1,2,3,3,1,3,4,1,2,,2,2,,2,,,,,,1,,,,,,,,,115
8405,1,2,,,,,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,2,,,1,,,1,,1,,,1,1,1,1,1,5,2,,1,,1,1,,1,2,3,4,3,3,4,,2,,4,2,3,5,3,4,2,3,3,2,3,5,7,5,6,6,9,3,5,4,2,6,,2,4,2,6,1,1,,1,2,,,,,1,,,,,1,,,,161
8406,2,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,1,,,1,1,1,,,,1,,2,,,,1,1,,,1,2,4,2,1,1,1,1,4,3,,1,1,1,5,4,2,1,4,5,2,3,3,3,4,4,6,2,1,3,1,1,2,5,3,4,1,4,1,,2,1,,,2,1,1,1,,,,,,,,,,,,,,119
8407,2,,,,,,,,1,,,,,1,,,,,,,1,,,,1,,1,,,1,1,,,,,,,,1,,1,,1,,1,1,1,,,1,,1,,,1,2,3,2,1,2,1,1,1,1,2,,,,1,2,2,1,3,6,3,,2,3,2,1,4,3,3,,3,2,1,1,1,3,1,1,,,1,1,,,,,1,,,,,,,,,,,86
8408,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,1,1,,1,1,,,,1,1,1,,1,,,,,,1,1,1,3,,,1,2,1,,2,1,,,2,2,1,,1,,,4,5,1,1,1,,3,,1,1,,2,1,1,,1,,1,1,1,,,1,,,,,,,,,,,,,,55
8409,,1,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,1,,,,,,,1,,1,,,,2,,,,,1,,,,,2,3,,,,2,1,2,,2,2,2,3,1,1,4,1,,1,1,3,1,4,5,3,,1,2,3,2,,1,1,,,2,1,,1,,1,,,,,,,,,,,,70
8410,,1,,,,,,,,,,,,,,,,,1,,,,,,,1,,1,,1,,,,,1,,,,1,,,,,,,1,1,,1,,,1,,,,1,,1,,,1,1,,,1,1,1,,,2,2,,4,1,,2,1,,,1,3,5,4,2,2,,1,2,3,2,2,1,,,,,,,,1,,,,,,,,,,,,59
8411,2,,,,1,,,,,,,,,,,,,1,1,1,,,,1,,,,,,1,,,,2,,,1,,,,,1,1,2,,1,,1,,,,,,1,1,1,1,2,,1,1,,,2,1,2,,5,1,1,3,,1,,2,2,1,3,3,3,,3,2,,3,3,2,1,1,3,,2,,1,3,,1,,,,,,,,,,,,,,,80
8412,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,2,,,,1,1,1,,1,1,1,3,,1,2,,,,,1,1,1,,,2,2,1,,1,2,,,2,,4,1,1,2,,,3,,3,,,2,,,4,1,2,1,,1,1,,1,,,,,,,,,,,,,,,,57
8413,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,1,,,1,1,,,,3,1,2,,1,1,4,1,1,,1,1,,,3,1,3,3,2,3,1,1,3,,3,2,1,2,2,3,1,2,8,,4,7,4,1,2,4,,3,5,1,3,2,,,,,,,,,,,,,,,,,,,,103
8414,,,1,,,,,,,,,,,,1,,,,,,1,,,,,,,,,1,1,,,,,1,1,,1,,,,,1,,1,2,1,2,1,3,1,1,1,1,1,2,2,5,,3,2,1,,1,,2,1,4,2,3,,1,2,1,,,,1,5,2,3,1,4,4,2,1,3,4,3,1,3,1,1,1,1,,,,,,,,,,,,,,,,97
8415,1,,,,,,,,,,,,,,,1,,,1,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,1,,1,,,1,1,,1,1,,1,,2,,,,2,,1,1,,4,2,1,1,1,2,,1,2,2,3,2,1,2,,2,1,,1,1,,1,,,,1,,,,,,,,,,51
8416,6,,,,,,,,1,,,,,,,,,,,3,,1,1,1,1,1,,,,,,,1,1,1,4,1,1,,2,,4,,,2,2,5,5,2,4,2,3,3,4,2,6,5,3,1,5,1,7,4,8,9,8,7,8,9,11,7,7,4,12,5,10,11,11,10,9,13,8,7,7,8,10,8,10,11,10,7,10,5,4,2,3,1,4,,3,1,1,,,2,,1,,,,,378
8417,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,1,,2,,,2,,,,1,,,,,1,2,,1,,1,,1,,1,,,,1,2,,2,,,,,,,,,,,,,,,,,,22
8418,1,,,,,,,,,,,,,,,,,,2,,,,1,,,,,1,,,1,,,,,,,1,,,,1,1,,2,1,2,1,1,2,2,,1,2,2,2,2,,1,2,2,,,1,2,4,4,4,1,4,1,1,2,3,5,1,5,7,4,3,5,4,6,4,2,3,1,,5,5,4,2,1,1,1,,,1,1,1,,,,,,,,,,,,133
8419,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,2,,,,,,,1,,2,2,1,,,2,1,,,,1,,2,1,,1,,1,,2,2,1,1,,2,3,2,,3,,3,3,1,1,2,2,2,1,1,,2,5,1,,1,3,1,1,,1,,,1,,,,,,,,,,,,,,,,69
8420,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,1,1,,,1,1,,1,,,,,,,,1,3,,,1,,3,,1,,1,1,1,1,,1,1,2,,2,2,1,1,1,4,,,2,,4,,,1,,,,,1,,,1,,,,,,,,,,,,,46
8421,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,1,,2,,,1,1,2,,,,,1,1,,,1,,1,3,,,,2,,1,3,2,3,2,1,3,3,2,1,1,2,1,5,2,4,3,4,5,4,7,4,3,1,1,5,6,4,3,4,5,1,3,1,6,2,1,2,,,,1,,,,,,,,,,,,131
9101,28,2,2,2,1,2,1,1,,,,1,,,2,1,4,1,2,7,3,1,5,4,5,3,2,6,4,1,2,5,1,6,2,3,5,6,6,6,5,3,8,7,5,6,8,12,11,7,21,12,14,14,17,16,16,14,14,15,17,28,20,22,19,21,15,24,26,23,23,28,24,37,29,38,36,43,47,51,38,46,45,25,44,30,41,35,24,29,22,23,24,20,17,10,9,8,8,,9,3,2,,3,1,,,,,,1445
9102,4,,,,,,,,,,,,,1,1,,,,,,,,1,,3,2,,,,2,,,,,,2,,1,5,,1,2,1,2,1,1,1,,,1,3,3,1,1,5,1,2,2,1,2,1,5,2,3,2,4,,2,1,2,6,6,6,5,2,4,2,5,4,5,3,3,3,4,4,8,2,6,3,4,3,2,3,4,1,2,,,,,,1,,,,,,,,,1,177
9103,5,,,,1,,,,,,,,,,,,,,,,1,,1,,,,,1,1,,1,,1,,,,,,1,,,1,1,2,,,1,2,3,,1,1,,,2,,2,3,,2,2,3,2,3,3,3,3,1,5,1,1,4,4,1,1,2,6,3,8,5,5,7,3,4,5,9,4,2,8,1,2,,3,2,1,4,,,,1,,,,,,,,,,,,156
9104,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,2,1,,1,,3,,1,,,1,1,2,,,,,,,1,1,,,1,,,1,,1,2,,,1,3,1,1,1,3,,1,2,,4,1,1,,,,1,1,,,1,,,,,,,,,,,,,,44
9105,6,,,,,,,,,,,1,,,,1,1,,1,,,,,2,,,,,,1,1,,,2,,,,,,1,1,2,,2,3,3,,2,,2,1,1,2,1,2,2,4,1,4,1,,,5,,1,3,3,1,2,,4,3,3,3,4,3,5,9,5,2,4,3,8,5,4,3,5,7,2,3,2,1,2,4,,1,,1,2,1,,,,,,,,,,,,165
9106,2,,,,,,,,,,,,,,,1,,1,,,,1,,,,,,1,,,,,,,1,1,1,,,,2,,1,1,,,,1,1,,,1,,,,1,1,,,1,,1,3,,,1,2,1,1,2,2,1,3,4,5,2,4,4,3,2,3,4,1,1,13,3,,3,3,1,1,2,,,1,1,,1,,,,,,,,,,,,,,98
