Comuna,muertes.men1,muertes.1,muertes.2,muertes.3,muertes.4,muertes.5,muertes.6,muertes.7,muertes.8,muertes.9,muertes.10,muertes.11,muertes.12,muertes.13,muertes.14,muertes.15,muertes.16,muertes.17,muertes.18,muertes.19,muertes.20,muertes.21,muertes.22,muertes.23,muertes.24,muertes.25,muertes.26,muertes.27,muertes.28,muertes.29,muertes.30,muertes.31,muertes.32,muertes.33,muertes.34,muertes.35,muertes.36,muertes.37,muertes.38,muertes.39,muertes.40,muertes.41,muertes.42,muertes.43,muertes.44,muertes.45,muertes.46,muertes.47,muertes.48,muertes.49,muertes.50,muertes.51,muertes.52,muertes.53,muertes.54,muertes.55,muertes.56,muertes.57,muertes.58,muertes.59,muertes.60,muertes.61,muertes.62,muertes.63,muertes.64,muertes.65,muertes.66,muertes.67,muertes.68,muertes.69,muertes.70,muertes.71,muertes.72,muertes.73,muertes.74,muertes.75,muertes.76,muertes.77,muertes.78,muertes.79,muertes.80,muertes.81,muertes.82,muertes.83,muertes.84,muertes.85,muertes.86,muertes.87,muertes.88,muertes.89,muertes.90,muertes.91,muertes.92,muertes.93,muertes.94,muertes.95,muertes.96,muertes.97,muertes.98,muertes.99,muertes.100,muertes.101,muertes.102,muertes.103,muertes.104,muertes.105,muertes.106,muertes.107,muertes.108,muertes.109,muertes.112,muertes.Total 
10104,1,,,,,,,,,,,,,,,,,,,,3,1,,,,1,,,,,,,,,,,,,,,,,,2,,1,,1,1,,,,2,,1,2,3,2,1,4,2,1,,2,2,,3,1,2,1,2,3,5,3,3,4,3,1,3,2,3,5,2,2,5,9,1,1,1,4,1,3,1,,1,1,1,,,,,,,,1,,,,,,,111
10105,1,,,,,1,,,,,,,,1,,,,,,,1,,,,,,,1,,,,,1,,,,,1,,,1,,1,,1,2,,,4,1,,1,1,1,1,,2,3,,2,2,3,2,1,1,,3,3,,3,1,6,2,1,1,4,1,4,3,4,5,3,3,1,4,2,1,1,3,2,1,,1,2,1,,1,,1,,,,,,,,,,,,,105
10106,2,,,,,,,1,,,,,,,,1,,1,,,,4,1,1,,,,,,,,,,1,,,1,,,,1,1,,,,1,,,2,2,1,,,2,2,1,,2,,1,1,2,2,3,3,1,2,1,1,2,3,1,4,3,4,6,1,3,5,7,2,,4,5,6,,1,1,2,2,1,3,,1,1,,1,,1,1,,,,,,,,,,,,116
10107,2,1,,,,,,,,,,,,,,,,,1,,2,,,1,,,,2,,1,,1,,,3,1,,1,,,2,,,,2,1,,,1,2,1,1,,2,1,1,1,2,2,3,3,1,1,2,2,,3,3,2,,4,,2,2,6,,3,3,2,,1,2,1,8,3,4,1,3,1,3,4,1,2,1,1,,1,,,,,,,,,,,,,,,114
10108,2,1,,,,,,,,,,,,,,,,,,1,,3,2,,,,1,,,1,,,,,,1,,,3,,,,,,3,3,2,1,1,1,,1,1,3,1,3,1,2,2,1,,1,4,1,2,3,,,4,3,2,2,1,1,2,4,3,4,2,5,6,4,4,5,3,6,5,2,2,3,5,1,2,3,,,1,,1,,,,,,,,,,,,,138
10109,4,,,,,,,,,,,,,,1,,,1,,1,1,1,1,,,1,,,2,,1,1,,,,1,,,1,1,,,,,1,1,3,,1,,2,2,2,1,4,2,,2,5,,6,2,3,1,6,4,2,3,1,4,6,5,3,5,7,5,5,2,7,2,6,10,6,4,3,3,8,3,1,2,2,3,3,3,,,1,,,,,,,,,,,,,,,181
10201,13,,,,,,,,,1,,,,,,1,,,2,,1,,1,,,1,3,,,2,1,,3,2,1,1,2,1,1,2,3,3,3,4,2,1,2,3,3,,4,1,3,,2,1,3,5,3,1,7,6,,2,4,3,4,3,2,6,5,5,5,4,3,9,6,3,8,6,9,6,7,4,6,6,4,8,7,9,3,7,4,6,1,5,2,,,,1,,1,,,,,,,,,273
10202,4,1,,,1,,1,,,,,,,,,,,,,1,,2,,1,,1,2,1,1,,2,,,2,1,4,1,,3,1,3,2,2,3,,3,3,1,1,2,2,2,,1,6,5,3,6,2,2,5,3,1,3,4,4,4,5,3,4,7,3,8,5,10,3,3,6,3,8,8,10,5,8,5,14,3,9,5,4,5,4,4,2,1,2,,,2,,,,,1,,,,,,,,263
10203,1,1,,,1,,1,,,,,,,,,1,,,,,,1,1,,,1,1,,,,,,1,,1,,,1,,2,1,1,1,1,,,,1,,,1,1,3,1,3,2,1,1,1,3,2,,3,,1,6,1,4,2,6,2,1,1,1,4,,1,1,1,1,3,3,3,1,3,2,1,1,3,3,1,4,1,1,1,2,1,1,,,,,,,,,,,,,,109
10204,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,1,,,1,,,1,,,,,,,,,,,,,1,1,,,,,1,,,,,,,2,1,,1,,,,1,,,,,1,,4,,1,,,,,,,,,,,,,,,,,20
10205,1,,,,,,,,,,1,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,3,,1,1,1,,,,,,,,,,1,,1,,1,1,1,,1,,1,1,,1,,,1,1,1,1,1,,2,3,1,,1,4,3,5,1,1,3,1,2,3,1,1,2,2,1,,,,3,,,,1,,,,,,,,,,,65
10206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,1,,2,2,2,,1,,1,1,1,,,2,,,1,1,3,,,,1,,,,,,,,,,,,,,,25
10207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,2,,,,1,,,1,,,,,,,,,1,1,,,,1,,1,2,2,1,1,,1,1,1,,,1,,,,,2,,2,2,2,2,1,,,,,,1,,1,2,2,,2,,,,,,,,,,,,,,,39
10208,4,,,,1,,,,1,,,,,,1,,,,,,,1,,1,,,,1,2,1,,1,1,,1,,1,2,,1,2,1,1,1,1,2,2,4,1,,1,,,3,,,4,3,2,,2,2,2,2,6,2,1,5,1,2,2,2,2,4,,2,1,1,2,3,2,,1,1,1,1,2,3,3,1,1,,1,,1,1,3,1,,,,1,,,1,,,,,,,117
10209,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,1,,,,1,,,1,,,1,1,,,,,1,,,2,,,,,2,,,,1,1,1,1,2,,1,1,1,2,4,3,1,,1,,3,,2,2,1,3,6,8,1,,3,3,3,3,,,,1,,,,,,,,,,,,,,72
10210,1,,,,,,,,,,,,,,,,,1,1,1,,1,1,,,,,,,1,,,,1,,,1,,,,1,,1,,2,1,,,1,,1,,,,,,,,1,1,,1,3,,3,,1,1,1,5,2,2,,,2,,,,1,3,2,2,2,2,3,2,1,1,,5,3,,1,1,,,,,,,,,,,,,,,,,,68
10301,24,1,,2,1,2,2,,,,1,1,3,,,1,3,3,4,4,3,2,1,3,3,4,1,3,3,3,2,3,3,3,4,7,4,3,1,2,12,7,3,6,5,3,9,8,6,10,11,10,16,10,15,22,15,12,7,12,14,17,15,17,15,18,18,23,28,30,25,26,16,21,15,27,30,24,34,27,32,29,30,18,25,19,27,23,19,17,11,16,15,15,9,10,7,8,1,1,,1,1,,1,1,,1,,,,1086
10302,1,1,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,1,,,,1,,,,,,,1,,,,,,,,,,2,,,3,,1,,,1,1,1,2,1,,1,1,1,,,1,1,,2,1,,1,1,2,4,,4,5,1,1,,2,1,,2,2,2,,2,,,,,,1,,,,,,,,,,,,59
10303,2,,,,,,,1,,,,,,,,1,,,,,,,,,1,,,1,1,,,1,,1,,,,1,,,,,1,1,2,1,3,2,3,1,2,1,2,,2,,,,1,1,,3,2,5,3,2,1,3,4,4,,3,3,3,3,8,4,1,6,2,1,2,10,,6,3,8,2,1,3,4,5,1,3,,1,,1,1,,,,1,,,,,,,,,146
10304,,,,,,,,,,,,,,,,,,1,,,2,,1,1,,,,,1,,1,1,,1,,,,1,,,,,,,,1,,,1,,,,2,2,,,1,,,1,1,,,1,1,1,3,,1,4,2,1,,,1,,1,,2,1,1,3,,,2,,3,1,2,2,1,1,,2,,1,1,,1,,1,,,,,,,,,,,60
10305,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,1,,,,,,,,,,,1,,1,,3,,,2,1,4,,,1,1,,1,,,2,,3,1,2,1,2,2,2,1,1,1,4,2,2,1,3,4,2,4,1,2,3,1,4,1,1,5,2,1,6,1,1,,,,2,,,,,,,,,,,,,92
10306,,1,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,1,,1,,,,1,1,,,1,,1,,1,1,1,,,3,1,,,,,1,,1,3,,,,1,1,,,1,2,,1,1,,1,2,1,1,2,3,1,1,1,2,1,1,2,1,1,1,2,1,1,1,2,,,1,2,,,,1,,,,,1,,,,,,,62
10307,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,,,,,,,1,,1,,,,,,1,3,,,2,,2,,,,2,1,,,2,2,1,,2,4,4,1,4,1,5,2,1,,2,4,2,3,,,3,2,4,2,3,2,2,1,1,1,1,1,1,,,,,,,,,,,,,,,83
10401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,1,,,,,,1,,,,1,,,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,10
10402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,7
10403,,1,,,,,,,1,,,,,,,,,,,,,,,1,,,,1,,,1,,,2,1,,1,,,,1,1,2,,,,,,,,2,,1,1,,,,1,1,1,1,,,,1,,,1,1,2,,1,,1,,,2,1,2,1,1,1,1,1,1,3,1,,2,,,,,,,1,,,,,1,,,,,1,,,,,,48
10404,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,1,1,,,1,,,,1,,,1,,,,,,,,,1,1,,,1,1,,,,,,,1,,1,,,,2,1,1,,1,,,1,,1,,,,,1,1,,,,,,,,,,,,,,22
11101,15,,,,,,,,,,,,,,,1,,,1,1,,,,1,2,2,1,2,1,,1,5,1,,,1,,,,,1,2,8,2,2,,3,2,1,,2,2,2,,3,1,6,1,3,7,2,5,3,7,4,7,5,5,5,2,6,7,8,10,5,6,8,6,6,5,2,5,5,6,7,7,7,5,4,5,8,1,6,3,3,3,2,,1,,,1,1,,,,,,,,,277
11102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
11201,6,,,,,,,,,,1,,,,,,1,3,2,,,1,,1,1,1,,2,1,1,1,,3,1,2,,,1,1,1,2,1,,1,1,1,1,3,3,1,4,3,,1,5,1,1,,1,4,1,,1,3,2,2,1,3,2,5,2,1,4,1,3,3,6,4,2,7,2,2,1,5,2,1,4,4,1,1,,,,1,1,,,,,,,2,,,,,,,,,,145
11202,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,1,1,,1,,,1,,,,1,,,,,,1,,,,1,1,,1,,1,,1,1,1,,1,1,3,1,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,25
11203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,1,,,,,,,,1,,2,,,,,,,,,,,,,,,1,,,,,,,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,11
11301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,1,1,,1,1,,1,,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,13
11302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
11303,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
11401,1,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,1,,,,,,,,,,1,,1,,,,,1,,2,,1,,1,1,,,,1,3,1,,,1,,,2,1,,1,,2,2,1,1,,,,1,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,35
11402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,1,1,,,,1,,,1,,,1,,,1,,,,,,1,,,1,,,1,1,,,1,,,1,,,1,,,,,,,,,1,,,,,,,,,,,,16
12101,14,1,,,,,,,,,,,2,,1,1,1,3,,2,1,2,1,6,1,1,2,1,5,2,3,2,1,1,3,1,1,3,3,,3,7,3,7,5,1,11,4,4,6,7,9,5,8,4,9,12,13,7,12,9,6,6,8,12,16,14,17,20,19,17,17,29,14,21,28,30,19,19,26,22,22,26,17,14,19,23,13,16,15,9,13,12,6,14,7,6,6,1,5,2,1,,,,,,,,,,818
12103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
12104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
12201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
12301,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,1,1,3,,,,,,,,,,3,1,,,1,,1,3,,3,2,,1,1,,,,1,,1,,,2,,,,,,,,,1,,1,,,1,,,,,,,,,,,33
12302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
12401,1,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,1,,,,,1,,,1,,1,,,,,,,1,1,,1,1,1,,1,1,2,2,,,4,,3,4,1,4,1,2,1,2,1,3,2,5,,3,4,3,2,2,3,5,6,1,4,4,2,5,6,4,1,2,1,2,1,1,3,1,2,,4,,1,,,,,,,,,,,,125
13101,28,,,1,,,,1,,,,,1,,,,1,2,1,3,3,,6,3,,2,1,4,5,4,4,2,3,5,4,7,3,4,2,4,5,5,7,6,7,8,7,8,12,10,5,21,15,14,14,12,14,6,16,9,11,18,17,14,26,28,20,27,31,24,22,32,29,22,27,27,38,40,36,30,40,51,40,41,39,36,35,35,51,44,31,36,24,24,28,14,16,11,10,9,5,6,3,3,2,,,,1,,,1459
13102,7,1,,,,,,,,,,1,1,,,2,,1,,2,2,,,2,,,2,,,3,,2,1,2,1,1,,1,1,2,,1,3,,4,3,1,1,8,2,5,3,4,4,9,5,2,5,2,6,9,3,9,4,5,14,6,7,15,13,11,18,2,15,8,9,12,14,8,12,9,13,13,14,9,9,7,7,4,8,5,4,6,4,3,1,3,2,1,,,1,2,,,,,,,,,422
13103,19,2,,,1,1,1,1,,,,,1,,,1,1,4,3,1,6,6,3,4,5,4,4,2,3,1,2,3,3,4,1,4,1,3,4,2,1,4,4,7,6,5,7,10,7,7,11,4,8,7,12,16,8,8,12,8,15,13,24,21,15,14,16,37,24,20,16,17,15,14,15,22,26,21,19,12,29,26,23,21,7,19,18,13,15,20,12,8,7,10,6,3,5,3,1,2,1,,1,1,,1,,,,,,881
13104,9,,,,1,,,1,1,,,1,,,,,,1,1,,2,1,2,4,4,,4,,3,7,,3,3,1,1,3,1,3,3,3,6,2,4,4,10,10,6,8,3,10,7,9,9,9,5,9,7,8,8,10,13,8,9,16,16,10,9,14,20,20,19,13,17,16,22,19,34,34,30,36,24,18,27,20,23,22,28,31,17,13,20,14,9,8,11,6,5,6,2,1,2,2,1,,,,,,,,,892
13105,27,3,,,,1,1,,1,1,1,,,,1,1,3,2,4,2,2,,3,7,4,4,2,2,5,3,4,,1,5,5,3,7,3,6,2,6,6,5,4,6,8,5,7,7,7,9,14,11,6,4,10,11,18,10,16,10,19,17,15,20,17,14,18,26,16,19,25,12,18,17,19,28,23,27,20,41,24,27,22,30,15,22,25,19,15,12,18,9,9,4,4,2,5,,,2,,,,,,,,,,,971
13106,15,,,1,,,,,,,1,,,2,1,1,3,4,,1,,1,3,1,,2,,2,4,3,1,1,4,2,5,3,2,3,3,2,4,2,3,6,5,4,7,11,9,5,5,7,7,9,9,12,11,9,13,10,14,9,9,18,10,16,15,15,14,25,14,19,21,26,17,19,32,20,24,21,23,20,24,22,26,26,17,26,22,11,12,18,16,12,4,5,5,2,4,5,3,1,1,1,,,,,,,,883
13107,14,,,1,,1,,,,,,,,,,,2,1,1,,1,,,,6,,,2,1,2,2,2,1,1,1,,3,,1,4,3,2,3,2,4,5,3,4,3,5,3,1,1,3,7,4,4,3,5,3,11,8,6,6,10,9,10,7,8,5,12,8,10,14,14,12,8,11,9,8,12,12,6,6,2,7,2,8,11,3,8,6,4,3,,3,5,,1,,2,,,,,,,,,,,402
13108,16,1,1,2,,,,,,,1,,,,,1,1,2,,3,1,,1,2,,,1,2,1,2,,3,4,1,2,2,2,3,1,2,4,2,3,2,6,5,4,6,3,3,5,8,8,6,8,8,4,7,9,5,9,8,16,13,10,14,14,9,8,13,15,19,25,15,12,21,20,27,38,33,39,38,41,22,37,38,25,27,27,28,26,28,18,17,23,15,10,6,4,6,1,2,,,,1,,,,,,982
13109,8,,,,,,,,,,1,,1,,,1,2,2,,,1,1,1,1,3,,4,,,1,,1,1,2,,1,1,2,1,1,1,2,2,4,1,2,2,2,3,2,2,3,3,4,3,3,8,7,6,7,6,7,5,12,9,12,12,9,7,15,8,12,16,11,12,25,17,15,21,27,14,21,22,16,24,22,13,17,17,16,19,13,23,11,10,7,2,2,2,1,2,1,1,1,1,,,,,,,640
13110,39,3,,3,1,1,,,1,2,1,,2,2,,1,3,2,1,3,3,5,4,1,6,3,2,5,4,4,3,2,4,4,6,6,4,8,5,4,6,2,15,5,15,10,13,10,11,16,15,19,18,19,13,15,15,22,20,23,35,22,31,23,37,34,35,26,40,32,30,37,29,28,37,51,49,39,43,38,40,43,43,49,40,34,47,32,31,29,23,32,22,18,19,10,14,3,5,6,3,1,1,,,,,,,,,1671
13111,19,2,1,,1,,,,,,,,2,1,,1,1,1,2,2,4,3,,2,,2,4,,1,1,1,2,4,2,2,3,3,2,3,3,4,1,1,4,7,3,4,6,4,6,10,7,9,2,10,10,14,11,8,7,9,8,11,9,10,8,15,11,16,13,16,14,11,12,14,11,23,18,37,21,22,19,25,22,21,22,15,14,12,16,13,10,4,6,3,9,2,1,1,2,,,,1,,,,,,,,730
13112,27,1,1,1,,1,1,,,,1,,2,1,1,1,2,4,3,4,3,5,4,2,5,3,4,4,3,2,2,4,5,4,5,5,3,6,3,6,6,7,4,6,8,4,3,11,5,3,11,10,14,10,14,10,14,10,18,17,7,14,9,14,18,18,20,12,10,20,20,12,11,23,20,10,14,20,21,15,24,9,9,13,15,9,10,15,7,11,12,5,7,4,4,2,1,3,,1,2,,1,,,,,,,,,786
13113,4,,,,,1,1,1,,,,,,1,1,2,,,1,,,,,1,2,,3,2,1,,1,1,1,1,1,,1,3,1,,4,1,2,1,1,1,1,3,1,4,4,2,1,6,4,3,8,5,4,6,8,3,6,4,9,10,7,3,7,11,10,10,7,12,10,9,15,15,23,12,12,19,19,19,16,13,17,24,18,11,9,13,9,7,9,11,6,8,10,9,3,2,4,1,,,,,,,,553
13114,19,,1,,,,,,,,,1,,,1,,,,,,2,2,,1,2,3,1,2,,1,1,2,1,2,3,3,2,1,1,2,2,2,2,4,2,1,4,6,9,6,2,11,10,6,6,14,9,12,7,9,13,6,17,15,14,14,15,18,27,23,20,25,24,22,23,26,29,35,44,32,39,43,50,39,44,52,59,47,53,41,58,47,47,29,39,34,31,23,13,8,7,4,4,5,1,,1,,,,,1438
13115,6,,,,,1,,,,1,,,1,,,,,,,2,2,2,2,1,1,,1,,1,,,,,,,,,1,,1,6,1,1,,1,3,2,2,2,1,4,2,1,4,,2,4,3,2,2,2,1,1,3,3,3,4,7,1,6,3,3,5,6,1,4,2,4,7,8,10,5,7,9,10,5,7,8,7,8,7,8,3,6,4,4,3,,,,,1,1,,,,,,,,,253
13116,11,2,,,,,,,,,,,,,,,2,1,3,1,1,,,2,3,,2,2,6,1,2,1,4,1,2,5,2,,1,1,,7,5,3,3,2,7,6,9,6,8,7,12,8,10,10,2,6,7,4,6,5,12,9,10,16,6,8,17,15,12,11,12,17,15,25,25,19,23,20,24,19,15,22,11,20,23,16,12,12,7,6,7,6,2,3,7,1,1,,,1,,,,,,,,,,676
13117,12,1,,,,,,,,,,,,,1,,,,2,1,1,,2,3,1,2,,2,3,4,2,3,,1,2,3,5,3,3,,2,2,2,5,4,2,4,5,4,3,5,8,5,5,6,1,6,8,6,11,8,9,9,7,13,17,10,15,12,9,17,10,18,16,13,15,17,16,15,18,12,23,13,16,17,8,15,12,10,9,4,6,1,7,3,3,2,2,1,1,,,,,,1,,,,,,581
13118,13,,2,,2,,,,,1,,,,,1,1,,,,,2,1,,2,,1,4,,1,1,,3,4,1,2,2,1,2,1,1,,1,2,1,1,4,10,2,3,2,5,4,2,5,8,4,9,3,5,5,4,5,9,10,9,12,14,13,12,15,16,15,14,12,7,12,18,16,18,15,19,23,25,19,19,16,22,20,11,16,9,15,15,13,11,7,7,5,1,3,4,1,,2,,,,,,,,654
13119,50,6,2,1,1,,,1,2,1,1,,,2,1,2,5,4,5,5,2,8,5,2,4,3,4,7,7,5,1,3,3,3,4,6,7,6,9,13,11,10,9,16,12,13,19,16,21,15,6,19,15,15,17,17,20,24,22,29,22,26,22,34,24,36,26,39,34,37,29,40,48,32,33,41,45,52,33,51,44,42,47,36,34,49,46,36,40,31,22,21,24,11,15,12,10,9,5,2,3,1,,,1,,,,,,,1762
13120,17,,,,,,,,,,,,,,,,1,,2,2,1,1,1,1,3,,1,1,1,3,1,4,3,,,1,,1,2,1,1,1,1,3,5,,4,4,6,5,6,7,6,10,8,6,14,10,19,10,11,10,8,14,23,12,11,15,14,17,16,26,23,17,21,41,30,33,46,43,48,43,67,37,46,48,50,44,46,45,50,51,34,35,39,22,28,9,10,5,6,6,5,3,3,1,1,,,,,1387
13121,12,1,1,,,1,,1,,,,1,,2,1,,,1,,,2,,1,1,,1,,1,1,2,1,,1,1,,3,1,3,4,3,1,3,3,4,4,4,5,8,10,4,6,10,8,9,9,16,12,10,10,8,8,5,9,12,8,6,10,13,13,9,13,12,14,11,12,19,20,21,23,21,24,31,20,27,25,28,25,25,25,16,20,15,19,8,14,10,1,3,4,1,2,1,,,,,,,,,,794
13122,28,,2,,,2,,,,,1,1,,,,1,1,1,1,3,3,3,2,2,1,1,,3,1,5,1,,4,8,,5,6,5,5,4,5,6,4,5,8,9,10,11,6,13,5,3,10,10,10,9,18,14,18,7,19,14,20,19,22,29,21,23,21,24,20,23,24,24,26,24,27,21,22,27,28,31,28,20,22,15,17,20,13,15,13,7,12,7,9,5,3,6,4,2,1,2,1,,,,,,,,,1012
13123,15,1,,,,1,,1,1,,,,2,,,,,,,,2,,3,,1,1,2,,1,1,1,1,1,1,,3,1,,3,,1,,1,1,3,3,2,2,3,3,6,6,4,5,8,8,7,12,9,5,6,10,8,13,11,9,9,16,4,5,13,8,7,10,12,13,22,21,19,32,30,32,26,38,29,29,41,47,59,54,41,49,32,38,26,30,21,20,19,12,8,8,2,3,3,,,1,,,,1078
13124,16,1,,2,,,1,,,,1,,,,1,3,4,1,2,1,2,2,4,4,6,1,4,5,2,1,6,,2,,6,1,2,6,1,5,2,8,4,13,13,10,5,8,8,13,9,6,9,10,13,4,13,10,10,16,13,10,12,18,16,13,12,16,16,21,16,19,20,23,30,16,30,22,23,25,16,25,19,19,19,12,12,12,14,11,11,6,10,8,3,4,2,4,1,5,1,,,1,,,,,,,,863
13125,21,,,1,,2,,1,,,,,,,,2,2,1,1,1,,3,6,3,2,5,1,2,2,2,4,2,,2,1,4,5,2,5,,4,2,2,6,7,3,4,4,10,4,7,7,4,6,3,6,7,5,6,7,7,6,9,9,6,13,11,11,8,7,13,9,8,7,11,9,13,10,8,11,15,9,8,4,9,6,8,10,6,5,1,4,5,2,6,2,3,2,1,,,1,,,,1,,,,,,481
13126,9,,,,1,1,,1,,,,,,,1,1,,1,,1,,2,,,2,1,,,,,1,2,1,1,1,4,4,4,1,,,6,2,6,,2,5,5,10,6,6,7,6,12,5,7,9,8,7,7,10,7,14,13,10,11,9,15,14,13,9,20,12,14,20,18,19,22,28,23,32,29,22,23,29,14,21,17,20,15,21,18,11,16,11,13,7,7,3,3,,,,,1,,,,,,,790
13127,24,2,1,1,,,2,,,1,1,,,,2,2,2,2,2,1,4,2,,6,3,3,3,2,3,3,3,5,3,3,,2,5,6,3,4,6,3,7,8,1,10,3,10,8,6,10,7,4,12,10,19,11,10,15,8,22,18,15,15,20,13,23,31,13,17,26,26,20,24,17,21,31,32,33,28,35,32,31,38,30,32,23,28,28,25,23,30,19,20,11,11,9,7,5,3,,1,1,,,,,,,,,1161
13128,16,1,1,,,,,,,,,1,1,,1,2,2,2,2,1,,5,,3,3,3,1,2,1,1,6,1,,3,,3,4,1,2,3,5,3,1,8,7,9,4,7,3,5,5,7,4,8,10,13,11,2,8,9,17,12,25,14,12,15,22,11,13,25,12,19,16,14,15,20,20,18,16,18,14,21,14,15,21,19,13,12,9,17,8,6,3,4,7,3,7,,3,,,,,,,,,,,,,731
13129,11,2,,,,,,,,1,,,,,2,1,,2,1,,1,2,1,2,2,,3,,4,1,,4,,,1,2,3,,1,1,5,1,1,3,2,,6,3,7,2,6,9,7,5,5,8,4,5,8,11,,7,11,16,12,13,12,12,14,9,14,9,15,11,19,13,7,20,18,19,20,22,20,18,15,20,16,21,24,8,9,9,14,12,8,8,5,2,,1,2,,,,,,,,,,,651
13130,7,1,,,,2,,,,1,,,,1,,,1,,1,,,2,2,,1,1,,2,,,3,,4,2,1,1,2,1,1,,1,2,2,2,6,2,3,2,4,3,3,7,6,4,4,5,7,3,3,5,,10,7,7,11,11,10,8,5,13,8,8,9,17,17,15,15,21,22,22,17,30,30,29,21,18,27,25,19,15,15,13,17,17,22,11,4,10,4,6,6,3,,,,1,1,,,,,708
13131,10,1,,1,1,,,,,1,,,,,1,1,,,1,1,2,2,1,2,1,3,,,1,,3,1,1,1,1,3,4,2,1,2,3,5,3,3,3,5,5,6,3,7,2,3,7,6,7,6,11,10,2,1,9,10,9,12,15,12,13,22,11,9,13,16,14,11,12,11,14,15,22,22,14,20,13,10,15,11,11,13,13,16,10,6,6,8,2,5,4,3,1,1,,,,1,,,,1,,,,603
13132,9,,1,,,,,,,,,,,,,,,1,1,,,,,,1,,,,,,,,,2,1,,,,,1,1,2,,,1,,1,,,2,,,4,2,1,3,4,,5,6,2,3,2,6,4,6,9,5,6,9,9,5,5,5,6,14,8,11,17,9,18,13,14,21,18,13,16,14,13,24,17,13,11,14,17,13,9,6,8,,8,2,,,2,,,,,,,474
