Comuna,muertes.men1,muertes.1,muertes.2,muertes.3,muertes.4,muertes.5,muertes.6,muertes.7,muertes.8,muertes.9,muertes.10,muertes.11,muertes.12,muertes.13,muertes.14,muertes.15,muertes.16,muertes.17,muertes.18,muertes.19,muertes.20,muertes.21,muertes.22,muertes.23,muertes.24,muertes.25,muertes.26,muertes.27,muertes.28,muertes.29,muertes.30,muertes.31,muertes.32,muertes.33,muertes.34,muertes.35,muertes.36,muertes.37,muertes.38,muertes.39,muertes.40,muertes.41,muertes.42,muertes.43,muertes.44,muertes.45,muertes.46,muertes.47,muertes.48,muertes.49,muertes.50,muertes.51,muertes.52,muertes.53,muertes.54,muertes.55,muertes.56,muertes.57,muertes.58,muertes.59,muertes.60,muertes.61,muertes.62,muertes.63,muertes.64,muertes.65,muertes.66,muertes.67,muertes.68,muertes.69,muertes.70,muertes.71,muertes.72,muertes.73,muertes.74,muertes.75,muertes.76,muertes.77,muertes.78,muertes.79,muertes.80,muertes.81,muertes.82,muertes.83,muertes.84,muertes.85,muertes.86,muertes.87,muertes.88,muertes.89,muertes.90,muertes.91,muertes.92,muertes.93,muertes.94,muertes.95,muertes.96,muertes.97,muertes.98,muertes.99,muertes.100,muertes.101,muertes.102,muertes.103,muertes.104,muertes.105,muertes.106,muertes.107,muertes.109,muertes.110,muertes.Total 
1101,34,3,1,2,,1,,,2,,,1,,,1,1,3,1,4,2,4,5,2,1,2,,5,5,4,2,5,7,6,2,6,4,6,7,4,5,3,13,9,8,8,7,9,10,9,10,9,7,3,13,13,10,11,19,10,17,11,9,23,12,13,15,16,11,17,22,16,20,13,22,32,23,30,33,27,18,33,16,18,18,17,15,14,18,13,16,7,13,14,13,8,6,1,1,2,1,1,1,,,,,,,,,965
1102,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
1103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
1104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,1,1,,,1,,2,,,1,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,13
1105,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,2,1,1,1,,1,,1,,1,2,,,,,,1,2,,,,1,,,,,1,,,,,,,,,,,,,19
1106,,,,,,,,1,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,1,,,1,1,,1,,,,1,1,,,,,1,1,,1,,,1,,,1,1,,3,1,3,2,,1,2,3,1,,1,,,2,1,,,1,,,,,,,,,,,,,,,,,,,,,37
1201,27,4,2,1,2,2,,,,,,3,,1,2,,2,2,,,4,2,3,3,2,1,1,2,4,4,,2,3,2,2,4,2,5,3,2,3,6,5,8,5,8,7,9,7,5,10,9,10,7,9,6,9,7,8,8,12,17,19,26,14,13,22,10,24,24,18,30,27,21,23,25,29,24,18,14,25,32,20,16,17,15,13,20,13,19,8,16,8,11,5,6,7,5,1,4,3,,,1,,,1,,,,921
1202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,4
1302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2
2101,46,7,1,,4,2,3,,2,,1,1,2,,2,1,1,,2,2,4,1,2,2,7,4,6,4,4,3,3,10,3,1,2,5,,4,7,4,7,10,9,11,3,17,11,7,15,6,16,19,18,25,24,20,22,23,27,20,22,25,22,31,21,27,39,41,40,21,35,39,43,48,39,50,53,40,43,34,35,35,30,33,22,17,34,19,25,28,17,17,9,11,7,6,2,2,2,1,3,2,1,,,,,,,,1534
2102,3,,1,,,,,,,,,,,,,,,,,,1,,,,,1,,1,,1,,,,,,,,,1,2,,,,,,,1,1,2,,,,,,,,,,1,,,,1,,,,1,1,,1,1,,,1,2,1,,2,1,,1,2,1,1,,,,,,,,1,,1,,,,,,,1,,,,,,,,,,36
