Comuna,muertes.men1,muertes.1,muertes.2,muertes.3,muertes.4,muertes.5,muertes.6,muertes.7,muertes.8,muertes.9,muertes.10,muertes.11,muertes.12,muertes.13,muertes.14,muertes.15,muertes.16,muertes.17,muertes.18,muertes.19,muertes.20,muertes.21,muertes.22,muertes.23,muertes.24,muertes.25,muertes.26,muertes.27,muertes.28,muertes.29,muertes.30,muertes.31,muertes.32,muertes.33,muertes.34,muertes.35,muertes.36,muertes.37,muertes.38,muertes.39,muertes.40,muertes.41,muertes.42,muertes.43,muertes.44,muertes.45,muertes.46,muertes.47,muertes.48,muertes.49,muertes.50,muertes.51,muertes.52,muertes.53,muertes.54,muertes.55,muertes.56,muertes.57,muertes.58,muertes.59,muertes.60,muertes.61,muertes.62,muertes.63,muertes.64,muertes.65,muertes.66,muertes.67,muertes.68,muertes.69,muertes.70,muertes.71,muertes.72,muertes.73,muertes.74,muertes.75,muertes.76,muertes.77,muertes.78,muertes.79,muertes.80,muertes.81,muertes.82,muertes.83,muertes.84,muertes.85,muertes.86,muertes.87,muertes.88,muertes.89,muertes.90,muertes.91,muertes.92,muertes.93,muertes.94,muertes.95,muertes.96,muertes.97,muertes.98,muertes.99,muertes.100,muertes.101,muertes.102,muertes.103,muertes.104,muertes.105,muertes.106,muertes.107,muertes.109,muertes.110,muertes.Total 
2103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2104,1,,,,,,,,,,,1,,,,,,,1,,1,,,,2,,,,,,,,1,1,1,,,,1,,,1,,,,1,1,,,,,1,,,1,1,,,,3,,2,1,1,1,,4,1,2,1,3,1,2,,,1,2,2,3,3,,2,2,,,1,1,1,,,1,,1,,,,,1,,,,,,,1,,,,,,60
2201,22,3,,1,,,,1,,,,,1,,,,,1,2,3,3,2,2,3,3,1,3,3,2,4,2,1,5,2,1,1,4,3,3,4,3,5,3,2,8,7,5,3,6,4,4,5,4,11,11,4,4,3,9,6,13,11,6,7,11,9,5,10,5,11,14,6,12,13,9,12,8,8,9,9,10,10,9,18,7,14,8,17,9,2,6,1,5,3,1,1,5,1,,,,1,,1,,,,,,,510
2203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,,,,1,,2,,,,,,,,,1,,,,,1,,,,1,1,,,,,1,,,1,1,,2,2,,,1,,,,,,,,,,,,,,,,,18
2301,6,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,3,,,,,,2,2,,1,3,1,,1,,1,3,1,2,1,1,3,5,3,2,2,2,3,2,2,,5,8,4,6,3,4,,3,6,1,7,4,6,6,5,5,6,2,4,6,4,3,3,4,6,4,,4,1,2,4,4,3,1,,3,1,1,,1,,,,,,,,,,,194
2302,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,2,,,,,,,,1,,,,,1,,,,,,,,,,,1,,,,,,,1,1,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,13
3101,18,,,1,3,,,,,,,,2,,,2,1,3,,2,,,2,3,,,1,,4,1,2,,5,1,2,2,3,4,3,,1,2,1,2,2,3,5,4,4,5,4,4,2,13,6,6,10,8,7,7,6,9,4,14,14,8,10,13,12,10,15,14,16,14,14,9,16,12,14,18,16,17,18,8,13,16,12,11,12,11,7,5,10,5,4,2,1,1,3,4,,,,,,,,,,,579
3102,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,2,,,1,,1,1,1,,,2,1,1,,1,,1,1,,1,2,1,2,2,1,3,3,,1,,2,2,,1,,,3,2,3,3,1,,,2,1,,1,,,2,4,1,2,,1,,,,,,,,,,,,,,,65
3103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,,,,1,2,,,,,,,,,1,,,,,,,,2,2,2,1,,1,,,2,,,5,1,2,,,1,4,2,,2,,1,1,1,,1,1,2,2,,2,,,,,,,,,,,,,,,,,46
3201,3,,,,,,,,,,,,,,,,1,,,,,,,,,,,3,,,,,1,,1,,,,,,,,,,,,,,1,1,1,3,,,2,,1,,,,,2,1,1,,1,1,2,1,3,1,,3,1,1,1,2,3,1,1,2,3,,3,2,,2,2,3,,2,,,1,1,1,,,1,,,,,,,,,,,,67
3202,1,1,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,1,,,,,,1,,1,,,1,,,,,1,,,1,,2,1,,1,1,,2,,,5,1,1,1,,1,1,,,1,1,,,,,1,2,,2,,1,2,1,1,,2,4,1,1,,,,1,,,1,,,,,,,,,,,,,,,,50
3301,6,,,,,1,,,,,,,,,,,,,,,,,2,1,,1,1,2,,,,,,,1,1,,,1,1,1,2,,1,1,2,,,,1,,4,3,2,1,3,1,1,6,3,2,7,7,4,12,3,4,5,10,5,3,2,6,11,7,7,11,8,7,2,4,11,5,4,3,9,9,7,6,4,6,4,2,2,3,,1,1,1,2,,1,,,,,,,,,258
3302,1,,,,,1,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,1,,,,,1,,1,1,,,,,,,1,3,,,,,1,,1,2,2,2,,,2,,,2,1,,,,,,,,,,,,,,,,,,,,27
3303,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,1,1,,1,,,1,,,,,,,1,2,2,1,2,1,2,,,,,1,,,1,,1,,,,,,,1,,1,,,,,,,,,,,,24
3304,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,1,1,,,,,1,,2,,,,,,,,1,,,,2,,,1,,1,,1,,1,,1,1,,2,,2,,1,,,,2,1,1,,1,3,1,1,,4,1,2,,,1,,1,,,,,,,,,,,,,,,,,,41
4101,27,2,4,,1,,,1,1,,1,,,,1,1,,2,,2,4,1,3,1,1,2,,2,1,,1,2,1,,2,,1,3,4,3,2,6,2,3,3,4,7,4,5,7,8,11,6,4,4,3,8,5,11,15,12,6,7,13,14,7,8,17,11,10,16,19,18,22,20,23,17,14,10,22,17,19,25,15,11,21,10,21,17,19,12,11,8,9,12,5,10,4,5,2,4,,,,,1,,,,,737
4102,16,,1,,,,,,1,,,,,1,1,,3,1,2,,3,1,3,3,,1,,2,2,1,2,,1,1,3,2,3,1,2,1,1,6,7,8,5,7,3,5,3,9,4,9,4,10,9,13,8,14,10,9,7,7,8,13,12,12,13,15,13,12,20,14,26,20,23,22,26,17,21,23,24,17,15,17,13,14,15,11,17,20,9,6,12,7,5,6,8,4,2,1,,1,1,,,,,,,,751
4103,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,1,,,2,,1,,1,,2,,,,3,,1,2,1,1,1,,,,3,2,1,2,3,1,3,2,,,4,2,3,2,1,2,2,1,1,,1,1,,1,,,,1,,,,,,,,,62
4104,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,1,1,,,,,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,11
4105,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,1,,1,,,2,1,,,2,,1,1,1,,,,1,1,,,1,2,1,,,,,,,,,,,,,,,,,,,,20
4106,1,,,,,,,,,,,1,,,,,,,,,,1,,,,,,1,,1,,,1,,1,,,,,1,,2,1,,1,1,1,1,,,,2,1,,,2,1,,,,1,2,3,,2,2,1,2,2,4,2,1,1,2,3,7,1,3,8,2,5,3,2,4,7,2,2,5,1,3,2,1,4,2,2,2,2,1,,,,,,,,,,,,,120
4201,4,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,1,,,1,,,1,,1,1,1,2,1,1,2,,2,2,1,1,3,2,3,1,2,1,2,2,3,4,1,1,1,2,2,1,2,3,4,5,5,4,3,3,8,3,4,6,11,5,5,7,4,7,5,2,7,4,3,4,4,5,5,1,1,,,1,1,,1,,,,,,,,189
4202,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,,,,,,1,,3,1,1,,,,,,,,,,,,,1,,,,,,2,2,1,1,2,3,,1,2,,2,1,1,1,,1,,2,1,1,1,3,,1,2,1,,1,1,1,1,1,,,,,,,,,,,,,48
4203,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,2,,,1,1,1,,,,,2,2,,,,,,1,,,1,2,,1,2,,1,2,1,1,2,,2,4,1,3,3,1,,2,1,1,1,2,,3,1,2,1,1,3,1,3,1,,2,1,,1,,,1,1,,,,,,,,,73
4204,5,,,,,,,,,,,,,1,,,,,,1,1,,1,,,,,,,,,,1,,1,,1,,,,,,1,3,,,,,1,1,,1,2,,3,3,1,1,3,3,1,2,3,3,4,2,4,1,2,1,1,2,6,4,4,5,3,1,4,6,5,4,2,4,6,5,2,2,,,1,4,2,4,,1,,,,,,1,,,,,,,,,137
4301,17,1,,1,,,,,,,,,1,1,,,2,,1,1,1,1,,1,1,,1,,3,3,,,3,1,1,5,1,1,2,,2,3,2,2,2,,5,5,1,4,5,3,5,5,3,1,5,2,9,8,7,9,10,8,5,8,6,11,12,12,10,8,11,13,14,11,15,10,13,15,13,22,18,18,7,10,11,16,10,11,14,13,9,2,2,7,2,2,1,,,1,1,,,,,,,,520
4302,2,1,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,1,,,,1,1,,,2,1,,,,2,,,,,,1,1,1,,1,1,2,,,1,2,,3,2,1,5,5,3,3,1,3,6,3,4,1,3,3,5,2,1,3,3,2,2,2,3,1,,4,3,3,1,,,1,,1,2,,,,,,,,,108
4303,3,,,,,,,,,,1,,,,,,,,,,,1,1,,1,,1,,,,1,1,,,,1,,,2,1,1,1,1,,1,1,2,,2,1,,,2,2,,2,1,2,1,1,,2,6,2,,,3,1,2,2,4,4,6,1,3,7,5,2,6,4,6,6,5,2,3,1,4,3,2,3,3,6,2,1,1,3,1,3,,,1,,,,,,,,,,151
4304,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,1,1,,,,,,1,,,,,,,,,,3,,1,1,,,,,,1,,,,3,1,1,,,1,1,,2,2,,,3,4,1,,,,,,3,1,,2,2,2,1,2,2,1,1,2,,,,,,1,,2,,,,,,,,,,,,53
4305,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,1,,,1,1,1,,2,,,1,1,1,,1,,1,,,,2,3,2,,,,,2,,1,1,,,2,,,2,,,1,,,,1,,,,,,,,,32
5101,40,2,1,,2,,2,,1,4,,1,3,2,,1,2,2,,1,3,1,4,5,5,2,4,4,4,4,7,7,3,2,3,4,9,7,7,14,6,5,12,14,8,15,11,16,13,13,10,14,22,24,27,24,11,20,18,24,31,23,27,26,35,34,34,35,27,44,40,65,73,54,58,64,57,56,49,51,69,56,44,57,59,39,41,48,34,41,32,38,26,24,19,12,11,10,2,1,,1,1,1,,,,,,,2019
5102,5,,1,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,1,1,2,,3,1,,1,2,,3,2,,,1,,3,2,3,1,,3,2,2,3,3,2,1,4,1,4,1,6,2,4,2,1,3,7,1,3,2,1,2,3,4,3,,3,1,2,7,3,4,7,4,1,1,,1,,1,,,,,,,,,,,,,,140
5103,2,,,,,,,,,,1,,,,,,,1,1,,,,,,,1,,,,,,,,1,,1,1,,2,,,1,,,1,,,2,,,,,,1,5,1,2,,3,3,2,3,1,4,1,2,1,4,1,2,4,1,3,4,5,5,3,5,2,4,9,4,1,4,2,5,3,5,4,,,3,3,2,1,,,,,1,,,,,,,,,,,134
5104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,1,,,,,1,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,7
5105,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,1,,,,,,,,,,,1,,1,,1,,,,1,,,3,2,,,,,1,1,,1,,2,1,1,2,2,2,2,1,1,1,1,2,3,3,3,3,3,2,1,,1,3,1,,2,,,,,1,,,,,,1,,,,,,,,60
5106,9,1,,,1,,,,,,1,,,,,,,1,,,1,2,1,1,2,2,1,3,,1,1,,1,2,1,4,2,4,1,2,,3,1,3,5,1,5,1,7,3,6,7,1,4,6,7,13,9,14,10,12,8,9,17,14,19,10,9,16,20,18,19,22,30,19,27,30,15,22,25,22,21,29,30,28,20,25,16,25,17,27,11,17,12,6,4,8,3,,2,2,,,,2,,,,,,839
5107,1,,,,,,,,1,,,,,,1,1,1,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,1,1,,1,,,1,,1,,1,3,2,4,1,2,5,,2,7,1,4,1,2,2,,4,3,5,6,3,1,5,4,3,3,4,3,3,3,1,4,3,1,1,3,1,1,,2,5,2,,,,,1,,,,,,,,,,124
5108,8,2,,,,,,,,1,,,1,1,,,2,,,,,,1,,,,,,2,1,1,,,1,2,,4,,3,4,1,2,1,5,1,2,5,2,2,3,3,5,9,2,2,5,4,6,5,11,5,7,5,4,3,10,8,9,5,9,10,13,22,27,20,19,15,21,18,11,11,9,15,23,14,16,14,14,11,16,13,13,7,10,7,4,4,3,3,1,1,1,,1,,,,,,,562
5109,24,2,,,,2,1,1,,,1,2,2,1,1,1,2,2,2,1,2,2,5,3,3,2,1,,4,2,4,6,6,5,7,7,4,9,6,7,8,9,8,5,13,7,17,11,9,17,10,16,11,18,12,13,27,28,23,15,28,30,30,22,31,34,29,36,44,41,54,39,47,68,58,53,69,56,61,61,55,50,70,54,55,41,54,51,42,49,48,39,23,22,23,19,13,7,11,5,5,4,2,2,,,,,,,2042
5201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,2,,,1,,1,2,1,,1,,,2,,,,,,2,1,,,,2,2,1,1,1,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,25
5301,12,1,,1,,,,,,,1,,,,,1,1,1,1,,1,,,,,,1,,,,3,2,1,,4,,1,1,,1,,2,3,3,,2,,3,1,4,2,3,3,2,5,,2,5,4,4,4,5,6,4,6,7,9,6,8,9,6,7,9,9,9,6,11,12,13,10,15,4,10,10,9,8,9,12,7,9,9,6,5,6,5,2,4,4,1,,,,,,,,,,,,373
5302,3,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,,,,,1,,,,,,1,,1,,,1,,,,1,,,,,1,,3,,,,,1,1,,1,1,,,2,1,1,3,1,3,1,,2,2,3,1,1,5,,1,1,,1,,1,2,,,,,1,,,,,,,,,,,52
5303,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,1,,,,1,,,,,,,,1,,,,2,,,,1,,,3,1,,2,2,1,,,1,2,1,1,,2,1,1,,4,,4,,,,,1,,1,1,,,1,,,,,,,,,,,,,,,39
5304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,1,,1,,2,,,,1,1,1,,6,2,1,1,,1,1,5,2,3,1,,4,1,2,2,,3,1,1,1,,1,,1,,3,,2,2,2,1,,,1,,,,,,,,,,,,,,,60
5401,1,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,1,,,1,2,1,,,3,1,1,,,1,1,1,1,,,,1,1,1,,,1,,1,1,1,2,3,3,2,1,2,1,4,4,2,2,7,4,1,8,7,4,5,4,2,5,6,4,1,4,3,4,1,4,5,3,1,3,4,,2,,1,2,2,1,1,,,,,,,,,,,150
5402,,,,,,,,,,,,,1,,,,1,1,,,,,,,,,,1,,,,1,,1,,,,,,,2,1,,,1,,1,1,,,2,1,,,,,1,1,2,1,,2,2,2,,4,2,2,7,,1,4,3,,2,1,5,3,2,3,3,5,3,3,3,1,,1,4,1,,4,,,2,,,,,,,,,,,,,,,,95
5403,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,1,,,,,,1,,,1,,1,,,2,1,1,,,1,1,2,1,,1,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,20
5404,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,1,,,1,,2,,,,1,2,1,2,1,1,1,,1,2,,,1,1,2,,2,1,1,1,2,,,2,1,4,,1,2,1,2,3,1,,1,2,,1,,1,,,1,,,,,,,,,,,55
5405,1,,,,,,,,,,,,,,,,,,,,,,1,2,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,1,,1,,,,,2,,1,,,1,2,,1,,,3,,2,1,,,,,3,,,,1,1,1,1,,,2,1,1,3,,,,,,,,,,,,,,,,,,37
5501,9,2,1,,1,,,,,,,,,,,1,3,,,1,1,,1,1,2,,1,1,1,3,,,1,1,2,,,1,3,2,1,1,2,2,5,2,1,4,4,2,4,5,6,,3,2,4,7,4,7,5,7,9,8,10,9,7,9,8,15,4,13,22,10,17,15,15,9,9,13,11,16,13,15,11,14,15,7,11,11,6,14,13,5,3,3,6,1,2,1,1,,,,,,,,,,498
5502,8,,1,,,,,,,,1,,,1,,,2,,,,4,1,,,,1,,,1,2,1,1,2,1,2,,,3,,2,2,1,,2,2,,3,1,,1,,1,1,4,2,2,1,6,2,,5,5,4,3,2,6,8,7,2,3,6,6,5,9,14,9,16,7,10,15,5,6,10,7,9,2,6,8,6,4,6,1,,4,1,,2,1,1,1,,,,,,,,,,,287
5503,3,,,,,,,,,,,,,,1,,,1,2,,,,,2,,,1,,,1,1,,,,,1,,,,1,,,1,,,2,1,,1,,1,,,3,3,,2,2,1,3,2,1,1,,,5,3,,1,2,1,,2,2,2,1,1,2,3,3,1,,2,2,4,,4,3,2,2,,,,2,,1,1,,,,,,,,,,,,,,90
5504,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,1,1,,,1,,2,1,,,1,,,2,1,,,,2,,2,,2,,1,1,1,1,1,3,,1,3,2,2,2,,4,1,1,1,1,2,,1,3,2,5,1,4,3,4,4,,1,1,4,,1,,,1,,,1,,1,,,,,,,84
5505,6,,,,,,,,,,,,,,,2,,,,1,1,1,,,2,2,,,,,,,,,,2,2,3,2,2,2,1,2,1,1,2,,,,1,1,,2,3,,4,1,2,3,3,7,5,3,4,4,4,4,7,4,11,6,6,5,5,9,9,15,9,7,5,12,9,8,11,7,10,9,8,9,11,8,2,6,5,4,1,1,3,,3,,2,,,,,,,,,313
5506,4,,,,,,,,,,,,,,,,1,,,,,1,,2,,,,,,,1,,,,,,1,,,,1,,,,,,,3,1,,,,1,1,1,1,1,,,3,,2,2,4,2,,3,4,2,2,2,1,1,5,5,4,5,4,2,2,2,5,4,3,3,4,4,4,4,1,3,2,2,,,,1,,,,,,,,,,,,,,117
5507,2,,,,,,,,,,,,,,,,,1,1,,,,1,,,1,,,,,,,,1,,,,,,,,1,,,1,,,,1,,1,1,2,,,1,1,1,1,,4,2,1,1,2,4,1,4,1,1,1,2,3,3,2,1,3,2,,1,2,5,,1,1,2,2,1,2,2,1,2,,1,,,,,2,1,,,,,,,,,,,82
5601,5,1,1,,,2,1,,,1,,2,,1,1,1,1,2,,,2,,2,1,,1,1,,,3,1,5,1,1,1,3,2,1,3,3,1,2,4,3,1,4,4,5,3,4,4,3,4,7,5,1,8,8,9,11,8,13,8,12,11,11,9,11,15,9,10,12,13,15,19,23,17,16,21,22,16,15,12,8,10,11,9,3,14,9,5,11,5,2,7,2,2,,,2,,,,,,,,,,,559
5602,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,2,,,1,,,2,,,,1,,,,1,1,1,,1,2,,,,,,,1,3,,,1,1,,1,2,3,3,,,3,,1,2,2,1,3,1,,,1,,1,2,,,,,,,,,,,,,,,,,47
5603,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,2,1,,,,,,1,,,,1,1,1,1,,,,1,,3,,1,1,1,2,2,1,1,,,4,4,3,1,2,2,6,2,4,3,6,3,5,1,2,,3,2,2,3,2,,2,2,2,1,,,1,,,,,,,,,,,,,,,93
5604,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,3,,,,,,,,,1,1,3,,1,2,,1,1,,1,1,,1,2,,3,1,1,1,4,2,1,1,,1,1,1,1,1,,4,1,1,1,2,1,1,2,,1,,,,,,,,,,,,,,,,55
5605,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,2,1,,,1,,,,,,,,,,1,1,1,,,,,1,2,1,,2,,,,2,2,,,,2,,1,3,1,3,,,,,,,,,,,,1,,,,,,,,,,,,,,32
5606,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,2,,,1,,,2,,1,,2,,,1,1,,3,1,,,1,1,1,2,,,1,,,,,2,2,,1,,,,,1,,,,,,,,,,,,32
5701,10,,,,,,,,,,,,,,,,,1,,1,1,1,,,1,1,,2,,,,1,2,,,2,1,3,2,2,2,,1,2,1,2,2,4,1,3,5,1,1,2,6,2,6,2,6,4,7,11,4,1,5,5,4,8,5,7,9,12,12,11,11,7,7,12,6,11,9,15,24,7,17,8,11,9,6,6,5,4,,1,3,2,3,1,2,1,,1,,,,,,,,,374
5702,1,1,1,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,1,,1,,1,,1,1,,2,1,1,2,1,1,,1,3,,,1,,1,2,,3,1,1,4,2,,3,3,2,,2,2,3,,1,,1,1,,1,,,,,,,,,,,,,,,,61
5703,4,1,,,,1,,,,,,,,1,,,,1,,,,,,,,,,,,,2,,,,1,1,,,1,,1,,,1,2,,,,,2,,1,1,1,,,1,1,,,,,,2,,,2,1,3,1,2,4,5,6,5,7,,4,3,6,5,4,2,3,6,4,4,,2,2,,2,,,,1,1,,1,,,,,,,,,,,,112
5704,1,,,1,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,1,,,,,1,,,,,,,,,1,1,1,1,1,1,1,,,,,,,1,1,,,1,3,1,,2,,2,1,1,2,1,2,1,,,1,1,1,,2,,1,,,2,,,,,,,,,,,,,,,,,42
5705,3,1,,,,,,,,,,,,1,,,,,1,,,1,,,1,1,,,1,,,,2,,,,1,,,,,,,,1,2,1,1,,,,,,3,1,1,,2,2,,,,2,,2,1,1,2,3,1,2,2,2,,2,5,1,1,,3,2,,,1,2,3,3,2,2,2,3,1,2,,,1,1,,,,,,,,,,,,,,82
