Comuna,muertes.men1,muertes.1,muertes.2,muertes.3,muertes.4,muertes.5,muertes.6,muertes.7,muertes.8,muertes.9,muertes.10,muertes.11,muertes.12,muertes.13,muertes.14,muertes.15,muertes.16,muertes.17,muertes.18,muertes.19,muertes.20,muertes.21,muertes.22,muertes.23,muertes.24,muertes.25,muertes.26,muertes.27,muertes.28,muertes.29,muertes.30,muertes.31,muertes.32,muertes.33,muertes.34,muertes.35,muertes.36,muertes.37,muertes.38,muertes.39,muertes.40,muertes.41,muertes.42,muertes.43,muertes.44,muertes.45,muertes.46,muertes.47,muertes.48,muertes.49,muertes.50,muertes.51,muertes.52,muertes.53,muertes.54,muertes.55,muertes.56,muertes.57,muertes.58,muertes.59,muertes.60,muertes.61,muertes.62,muertes.63,muertes.64,muertes.65,muertes.66,muertes.67,muertes.68,muertes.69,muertes.70,muertes.71,muertes.72,muertes.73,muertes.74,muertes.75,muertes.76,muertes.77,muertes.78,muertes.79,muertes.80,muertes.81,muertes.82,muertes.83,muertes.84,muertes.85,muertes.86,muertes.87,muertes.88,muertes.89,muertes.90,muertes.91,muertes.92,muertes.93,muertes.94,muertes.95,muertes.96,muertes.97,muertes.98,muertes.99,muertes.100,muertes.101,muertes.102,muertes.103,muertes.104,muertes.105,muertes.106,muertes.107,muertes.108,muertes.109,muertes.110,muertes.111,muertes.112,muertes.Total 
1101,24,,,1,1,1,,,,,1,2,,1,,2,,1,4,4,3,3,3,2,4,3,3,1,4,4,6,1,1,2,7,7,7,3,8,5,4,1,3,4,5,1,8,7,2,7,7,12,20,15,6,7,13,13,16,24,16,17,19,9,21,18,27,25,19,20,28,16,26,14,24,23,18,21,33,26,20,19,20,24,23,33,29,28,28,29,18,23,14,7,4,4,6,7,5,3,5,,2,1,1,,,,,,,,,1069
1107,18,1,,1,,,,,1,,,,1,1,,,,,3,,,,,1,2,,1,2,,1,1,,3,,2,,1,,1,4,,4,3,3,2,3,3,4,4,4,3,4,4,4,4,3,7,5,5,6,8,6,6,4,6,4,5,3,2,9,7,3,4,8,7,8,6,4,6,3,6,5,2,5,4,5,4,6,1,4,2,,,1,3,1,,,,,,,,,,,,,,,,,,278
1401,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,1,,1,,,,,,1,1,1,,,,,,,2,,,,,,,1,,,,,,1,2,2,1,2,,,1,1,,1,2,2,1,,2,1,,1,2,2,2,1,,,,,,,,,1,,,,,,,,,,,,,,,,40
1402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1403,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3
1404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,5
1405,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,2,,,,,,,,1,,,,2,2,,,1,2,,1,,1,1,2,2,,,,,2,1,2,,,,,,,,,,,,,,,,,,,,26
2101,37,3,,2,,,,1,1,,1,,1,,2,1,2,3,2,3,1,2,10,3,7,6,5,4,2,3,5,2,4,10,5,8,6,7,15,6,13,4,7,11,7,9,6,6,16,18,25,24,28,29,23,32,19,28,29,22,33,29,37,39,40,52,42,36,46,52,52,41,46,37,49,45,51,51,46,44,43,59,61,44,46,43,57,42,42,40,31,25,25,21,11,10,6,11,2,3,1,3,2,1,,,,,,,,,,2023
2102,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,1,2,2,1,1,1,1,2,2,1,2,,,1,,1,1,1,,,,,,1,3,1,3,,1,1,1,2,1,,,1,1,,,,,1,,,,1,1,,,1,,,,,,,,,,,,,,,45
2103,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,1,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
