Comuna,muertes.men1,muertes.1,muertes.2,muertes.3,muertes.4,muertes.5,muertes.6,muertes.7,muertes.8,muertes.9,muertes.10,muertes.11,muertes.12,muertes.13,muertes.14,muertes.15,muertes.16,muertes.17,muertes.18,muertes.19,muertes.20,muertes.21,muertes.22,muertes.23,muertes.24,muertes.25,muertes.26,muertes.27,muertes.28,muertes.29,muertes.30,muertes.31,muertes.32,muertes.33,muertes.34,muertes.35,muertes.36,muertes.37,muertes.38,muertes.39,muertes.40,muertes.41,muertes.42,muertes.43,muertes.44,muertes.45,muertes.46,muertes.47,muertes.48,muertes.49,muertes.50,muertes.51,muertes.52,muertes.53,muertes.54,muertes.55,muertes.56,muertes.57,muertes.58,muertes.59,muertes.60,muertes.61,muertes.62,muertes.63,muertes.64,muertes.65,muertes.66,muertes.67,muertes.68,muertes.69,muertes.70,muertes.71,muertes.72,muertes.73,muertes.74,muertes.75,muertes.76,muertes.77,muertes.78,muertes.79,muertes.80,muertes.81,muertes.82,muertes.83,muertes.84,muertes.85,muertes.86,muertes.87,muertes.88,muertes.89,muertes.90,muertes.91,muertes.92,muertes.93,muertes.94,muertes.95,muertes.96,muertes.97,muertes.98,muertes.99,muertes.100,muertes.101,muertes.102,muertes.103,muertes.104,muertes.105,muertes.106,muertes.107,muertes.108,muertes.109,muertes.110,muertes.111,muertes.112,muertes.Total 
2104,2,,,1,,,,,,,,,,,,,,1,,,,,,,1,,1,,,,,1,,,,,,,1,,,,,,,1,1,,2,,,,,1,3,1,1,1,,1,3,2,1,,1,1,4,1,2,1,1,2,2,2,3,2,3,1,,2,4,1,,3,3,,1,1,2,2,,1,1,,,,1,,,1,,,,,,,,,,,,,,75
2201,29,2,3,,,1,,1,,1,,1,1,2,1,1,,1,2,2,2,3,5,3,1,4,,1,1,5,3,4,3,3,4,3,3,2,3,6,6,9,6,9,6,3,6,7,4,9,8,11,5,13,11,7,10,7,11,12,9,9,11,9,17,12,15,12,13,13,7,11,12,14,16,16,7,21,11,16,18,15,12,13,20,12,21,10,7,9,8,7,5,6,6,2,2,3,1,,1,1,,,,2,,,,,,,,700
2203,1,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,1,,,,1,,,,,,,,,,,1,,,,,,,,1,1,,,1,1,,2,,,2,,2,,1,,,,1,,,,,,2,1,,,1,,1,,,,1,,,1,1,,,,,2,,,,,,,,,,,,,,28
2301,5,1,,,,,,,,1,,,1,,,,,,,,,1,,,,,,,,1,3,,1,,1,,1,2,,1,,,1,,1,1,1,,1,2,,2,1,1,1,3,,2,3,2,3,1,5,5,3,3,5,1,4,2,5,6,6,4,6,2,2,3,2,7,5,4,4,6,4,8,11,3,3,2,2,4,1,1,1,1,1,,,,,1,,,,,,,,,,,,178
2302,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,1,,,1,,,,,,1,,,,,,,,,1,,1,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,14
3101,17,,3,,,,,1,1,1,,,,2,,,3,1,1,1,2,2,4,3,3,5,2,3,1,2,8,,,2,3,3,1,5,3,4,1,2,4,6,6,6,3,4,7,4,6,5,5,3,9,7,4,7,6,8,7,5,8,10,11,11,13,13,12,8,16,18,18,21,25,19,22,12,19,22,27,18,12,23,27,17,14,18,12,16,13,7,10,12,6,6,6,4,3,1,,1,,,1,,,,,,,,,734
3102,1,,,,,,1,,,,,,,,,,,,,,,,,,,1,2,1,1,,,,1,,,,,,,,3,,,1,,,1,,1,2,,1,,3,,3,1,,,1,,,2,,1,2,,,1,1,2,1,,1,2,3,,1,1,4,3,1,1,3,1,4,1,,3,,1,1,,,2,,1,1,,,,,,,,,,,,,,,,70
3103,4,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,1,,1,,1,,,,,,,,1,,2,1,,,1,,1,2,1,1,2,,1,,2,1,1,1,1,,1,1,,1,1,,2,1,,,,3,,1,2,1,1,1,1,,2,3,,,,,,,,,,,,,,,,,,,,,51
3201,2,,,,,,,,,,,,,2,,1,,,1,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,,2,,1,3,,1,4,1,2,1,1,2,1,5,1,2,3,3,1,1,2,2,2,6,1,3,2,3,3,4,2,3,6,2,4,3,,2,3,3,,,,,,,,,,,,,,,,,,,,,,101
3202,3,1,,,,,,,,,1,,,,,,,,,2,,,,1,,,1,,,1,,,,,,1,,1,,,,1,,,1,,2,,2,,,,1,,,1,,1,,,,,,,,1,1,1,1,,2,1,1,,2,,1,,,1,2,,4,2,2,3,4,,1,,1,,2,,,1,1,,,,,,,,,,,,,,,,,56
3301,8,3,,,,,,,,,,,,,,1,1,,,,,1,,1,,3,1,,,1,1,,,,,,2,1,1,,1,,,2,2,2,,1,,2,4,1,1,3,2,2,4,7,5,4,9,2,4,6,5,4,5,4,8,6,5,11,9,12,6,7,5,9,13,10,13,13,9,15,6,15,17,12,5,7,6,6,4,6,5,3,3,,1,3,1,,,,,,,,,,,,,358
3302,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,,1,,3,,1,,1,,2,,1,,1,,,1,,,,2,1,1,,1,1,1,,1,,,,,,,,,,,,,,,,25
3303,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,1,,,,,,,,,,1,,2,,,1,1,,1,,,1,1,,,,,1,1,1,2,1,,3,,,1,,1,,2,,2,1,,2,2,1,1,2,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,38
3304,1,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,,1,1,,2,,3,,1,2,1,1,3,1,1,2,,1,,3,1,2,2,,2,1,1,1,3,3,,1,,1,1,,,,1,,,,2,,,,,,,,,,,,,,51
4101,25,1,,2,2,2,,,1,1,,,,1,,,3,1,1,2,3,2,4,4,2,1,3,2,,2,2,5,1,7,5,2,,5,1,1,3,2,7,5,6,7,2,8,11,11,9,10,14,11,13,11,13,20,12,18,13,11,13,20,15,8,17,15,19,16,29,22,26,30,23,18,25,21,35,42,24,33,31,36,35,40,35,35,30,20,26,19,21,25,12,14,9,7,6,6,1,2,2,1,,,1,,,,,,,1176
4102,24,,3,,1,1,1,1,,,,1,1,,1,,1,,3,,2,1,1,2,1,1,3,2,2,2,2,1,1,1,2,1,1,2,2,9,7,10,3,2,5,5,6,6,8,8,4,7,6,12,13,9,10,13,11,11,9,15,19,13,11,20,23,21,23,27,19,15,15,33,30,38,29,26,31,33,31,31,17,43,34,28,31,27,29,22,21,26,13,12,9,8,9,7,4,4,1,7,1,1,,,1,,,,,,,1100
4103,1,,,,1,,,,,,,,,,,,,,1,,,,1,,,,,,,1,,,,,,,,,,1,,,1,,,1,1,1,1,1,,1,1,,,,,2,,1,,,,2,,,4,,2,3,2,,,2,2,2,5,3,2,,1,2,4,2,1,2,2,1,1,3,5,1,1,,,,2,,1,1,,,,,,,,,,,,,,76
4104,2,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,,,,1,1,,,,,,,2,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,16
4105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,1,,1,1,1,,,,,,2,,1,,,1,,1,1,2,1,,,,,1,1,1,,2,1,1,,,,1,,,,1,1,1,,1,,,1,,,,,,,,,,,29
4106,,,,,,,,1,,,,,,,,,,1,1,1,1,1,1,1,2,,,1,1,,,1,,,,2,,,,,,2,1,1,,1,,,1,1,,2,2,,1,1,3,1,1,1,,3,3,3,2,,1,3,1,3,1,4,3,3,4,2,4,2,3,8,2,2,4,7,1,1,5,2,3,4,5,4,2,2,1,1,2,,2,,1,1,,,,1,,,,,,,,140
4201,6,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,,,1,1,2,1,,,2,1,1,2,,,,1,1,1,2,2,1,1,1,3,1,1,2,4,2,1,1,4,3,1,6,5,2,4,5,4,4,5,3,7,7,4,5,8,6,3,5,6,5,11,8,4,9,5,1,4,9,3,5,,3,3,3,2,1,1,2,,,,,,,,1,,,,,224
4202,2,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,1,2,,,1,1,1,,,1,,,,5,1,,,1,3,4,,3,3,,3,2,3,1,,4,2,,1,4,4,2,3,2,3,,,1,1,,1,,1,1,,,,,,,,,72
4203,3,1,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,,,,1,,1,,,,,1,,1,1,,1,,1,,2,1,1,1,1,1,2,3,2,,2,,,1,3,1,2,3,2,1,,1,,3,1,5,4,2,4,6,,,3,4,4,1,3,5,3,3,1,6,3,1,,4,1,1,1,1,,,,,,,,,,,,,,,,,114
4204,1,,,,,,,1,,,,,,,,,,,1,,1,,,,,2,,,1,,1,,2,,2,1,,1,,,1,,,,1,,,,1,1,,,2,2,1,1,,3,1,1,1,1,1,1,2,2,5,2,4,2,5,1,3,8,2,3,4,4,6,6,5,5,2,7,2,6,2,4,4,7,3,1,,,,1,1,2,,,,,,,,,,,,,,,,144
4301,18,1,,1,,,1,1,,1,,,,1,,,,,3,3,2,,1,2,2,,1,,,1,1,1,,2,2,,,1,2,2,2,3,2,4,3,,5,5,5,5,3,4,8,2,4,3,6,7,9,10,5,7,9,5,5,12,9,9,7,14,23,13,17,13,9,14,15,17,20,15,23,20,27,29,17,11,25,13,9,9,16,11,13,10,7,7,7,5,9,2,1,,1,,2,,,1,,,,,,653
4302,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,1,,,,,,,,,,,,,1,2,2,,,2,2,1,,,1,2,,,2,3,2,1,3,2,1,1,3,2,3,2,4,2,6,2,6,5,,4,8,3,5,,,,3,1,3,3,1,1,3,3,,,2,1,,,,,,,,,,,,107
4303,1,,,,,,,,1,,1,,,,,,,,,,,,2,,,,1,,,1,,,1,,,,,1,1,1,3,,1,1,2,2,1,1,1,,1,3,4,3,1,1,1,2,1,2,2,4,,5,2,,3,2,1,,3,8,1,4,3,2,9,2,5,9,5,4,2,6,7,2,5,5,4,5,4,5,2,3,3,2,1,,5,1,,,1,1,,,,,,,,,,180
4304,2,,,,,,,,,,,,,,,,,1,,1,,,,,,1,,,,,,1,,,,2,,,,1,,,,,,,,,1,,1,,1,,,,,,,,1,,1,3,,2,,1,2,1,3,4,,1,2,2,1,1,1,3,2,1,,3,1,2,3,1,,1,2,1,1,1,1,1,1,,,1,,,,1,,,,,,,,,,65
4305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,1,,,,1,,,,,2,,1,1,,1,,1,,,,2,,1,,3,2,,1,,3,2,1,1,1,,,2,1,1,1,2,,,1,,1,1,,,,1,,,,,,,,,,,,,,38
5101,17,,3,3,1,1,,1,,,,,1,,1,,1,3,3,1,4,1,4,,4,3,4,5,7,3,2,3,8,5,6,2,3,4,3,5,5,9,5,5,8,8,8,10,10,16,22,26,20,20,23,17,35,23,21,25,28,28,24,23,38,33,41,40,38,54,45,50,37,41,61,43,37,58,49,69,62,72,80,69,78,85,82,66,63,58,41,44,31,24,35,18,18,20,10,4,4,8,,,,,1,,,,,,,2238
5102,,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,1,,,,,1,,,1,,,,,1,,2,,1,3,,1,,,2,,,,1,,,2,,2,1,2,3,3,3,4,3,4,1,2,1,1,7,6,7,4,4,,6,6,5,3,8,4,1,9,5,2,5,2,1,2,2,1,2,1,,1,,1,1,,,,,,,,,,,,146
5103,1,,,,,,,,,,,,,,,,2,,,,,,,2,1,,,1,,,1,,1,,,1,1,,,,1,,2,1,1,2,,1,,3,,2,5,2,,4,1,2,4,1,2,,4,3,3,2,5,1,2,3,8,12,6,5,2,7,8,4,3,9,2,6,6,6,4,11,3,5,5,7,6,2,5,5,1,,2,2,,,,1,,1,,,,,,,,,,212
5104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2
5105,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,1,1,,,,,,,,,,,1,1,,,,,4,,,2,,,,,,3,2,2,1,4,1,2,,7,1,4,3,2,2,3,4,3,3,5,3,4,3,3,3,4,,2,3,4,2,2,1,,,1,2,,1,,,,,,,,,,,,,,,103
5107,2,,1,,,,,,,,,,,,,,,,,1,1,,,1,,1,1,,,,,,,,1,1,,,1,,,,2,2,1,,1,,,,2,,,2,2,1,,3,1,1,2,1,,2,5,3,1,4,3,5,6,3,4,7,6,5,6,3,3,6,5,3,7,3,9,4,2,3,8,4,3,3,3,1,,,2,,,,,,,,,,,,,,,,,164
5109,36,1,,,2,1,,,,,1,,,,2,1,,4,1,2,1,2,2,4,9,2,2,2,3,1,3,2,4,2,5,4,2,2,3,3,9,7,10,3,9,8,12,11,13,9,10,15,17,16,19,22,22,22,24,26,29,28,29,16,31,35,30,34,41,41,42,37,50,63,42,55,50,65,42,71,60,79,78,70,89,88,78,82,87,73,56,48,56,45,35,30,20,21,16,12,9,3,5,1,1,1,,,,,,,,2367
5201,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,,,1,,1,,,,1,,2,,,2,1,2,1,1,3,,1,1,,,,2,,2,,,,,,1,,,,,,1,,,,,1,,1,,,,,,,,,,,,,,,,30
5301,4,,,,1,,,,,,,1,,,,,,1,,1,,,,,,,1,,,,,,,1,,1,,1,2,2,,,,1,1,1,3,2,2,,3,3,1,3,1,,6,6,4,5,8,4,8,5,9,5,5,9,6,10,4,10,14,4,14,9,10,12,13,18,13,13,13,13,6,15,16,18,15,11,5,3,8,6,5,4,3,2,1,1,,1,1,,,,,,,,,,,408
5302,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,1,1,,,,,,,,,,1,1,,,,1,1,,,1,,,,,1,,,,1,1,,1,1,,1,,,1,2,3,3,1,2,1,,3,1,1,1,2,1,3,3,,3,7,6,,1,1,2,3,,,,,1,,,,1,2,,,,,,,,,,,,,,70
5303,2,,,1,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,2,,,1,1,,,,1,1,,,,,,,,,,,,,,1,,2,,,3,,1,1,,,1,1,2,2,2,3,1,2,2,1,3,3,2,2,2,2,3,,1,,,1,,,,,,,,,,,,,,,,,,55
5304,2,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,2,,1,,1,1,1,1,,2,,,1,,,,,1,1,,2,1,3,1,1,2,5,5,,3,2,2,6,1,1,,2,4,2,3,4,1,4,5,4,,2,5,4,4,2,2,1,2,2,1,1,,,1,1,,,,,,,,,,,109
5401,3,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,1,,1,,,,,,,1,,1,1,2,1,1,1,,1,1,,,3,1,,,2,,1,3,3,1,1,2,4,1,3,5,4,6,3,5,1,3,2,4,4,5,8,3,1,5,3,8,3,2,3,4,6,6,6,5,5,4,2,6,,2,1,2,3,2,1,,,,,,,,,,,,,,176
5402,,,,,,,,,,,,,,,,,,,,1,,,2,,1,1,1,1,1,,,,,,1,,1,,,,1,,,,1,,,,2,,,,,1,,1,1,3,,,1,1,2,1,1,,4,1,2,3,2,,3,4,3,3,2,2,5,4,,4,5,3,4,,3,2,1,3,1,1,3,2,1,1,1,2,1,,1,,,,,,,,,,,,,103
5403,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,1,2,,,,,1,,1,1,,1,1,1,1,,,,1,,,4,2,2,1,,1,,,1,1,1,,1,,,,,,1,,,,,,,,,,,,,,,,30
5404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,,,,2,,,,,,3,,,1,,1,,,1,,1,2,2,1,2,1,2,,3,2,2,4,1,3,1,4,2,2,,2,,,2,2,2,4,2,2,1,,,,1,,1,,,1,,,,,,,,,,,,,66
5405,2,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,1,2,,,1,1,2,1,1,,1,1,1,2,,,,3,2,1,2,,,,2,1,1,,,,1,,,1,,,,,,,,,,,,,,34
5501,3,,,,,1,,1,,,,,,,,1,,1,,,1,3,1,3,1,,1,3,2,1,,,,,1,3,,4,,1,2,2,,,2,3,2,4,5,5,4,9,8,5,6,6,9,8,4,7,6,4,11,7,7,12,8,14,10,14,19,5,14,18,21,19,13,19,19,11,19,20,27,18,14,21,17,23,10,22,16,14,10,11,11,9,4,5,1,3,1,1,,,,,,,1,,,,,652
5502,6,,1,,,,,,,1,,,,,,1,,,,,1,1,,1,1,2,1,1,,,3,,,1,1,2,,,,1,,2,1,1,1,,3,1,3,3,1,1,2,2,3,2,1,8,,4,4,4,1,1,3,5,9,11,4,7,5,10,8,12,9,7,14,9,6,11,17,9,13,8,16,12,12,7,7,9,8,6,3,5,4,4,3,2,1,1,1,,,,,,,,,,,,,352
5503,2,,,,,,,,,,,,,,1,1,,,,,,,,,2,,,,,,,,,1,,,,1,,,,,,,,,1,,,1,,1,1,1,1,1,,2,2,2,,4,,,1,4,1,3,,3,4,,5,1,4,,,,1,3,1,2,6,4,4,4,2,,2,,1,4,3,1,1,1,1,,1,,,,,,,,,,,,,,,93
5504,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,2,,1,1,,,,2,2,,1,2,2,,1,3,1,,2,,2,,1,1,,1,2,3,1,3,2,,3,4,2,3,1,,2,3,,1,1,3,2,1,3,2,2,,,,,,2,,,1,,,,,,,,,,77
5506,2,1,,,,,,,,,,,,,,,,,,,,2,1,,1,,,,,,,,,,,1,,,,,1,,,1,1,,1,1,,3,1,2,,,,1,1,,2,3,,,1,1,2,1,3,3,3,7,6,4,6,2,3,7,6,2,5,3,3,4,3,4,10,5,4,8,2,1,3,5,1,1,,,,1,,,1,,,,,,,,,,,,,147
5601,9,,,,,,,,,,1,,,,1,,,1,3,2,1,1,2,3,2,1,3,3,1,1,,2,,4,3,1,5,2,1,1,4,5,1,5,5,3,,5,4,5,4,7,9,7,5,2,6,9,6,3,14,13,12,11,10,9,15,10,16,13,15,11,17,13,24,13,13,13,13,25,24,24,22,18,14,14,14,11,13,16,11,13,9,6,7,6,2,1,2,,1,3,1,,,,,,,,,,,661
5602,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,1,,1,,,1,1,2,,,1,1,1,2,,3,1,,1,1,2,2,5,,4,3,4,1,1,1,3,2,3,1,3,2,2,2,1,1,2,2,1,2,,,2,2,4,,1,1,,,,,,1,,,,,,,,,,,,80
5603,3,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,,1,1,,1,,,,,1,,,1,,,1,,2,2,,,1,3,3,2,2,2,2,1,3,,2,4,3,2,3,3,1,3,4,2,6,4,5,2,2,2,1,4,3,6,6,4,2,6,3,5,4,2,,3,2,1,,1,2,1,1,,,,,,,,,,,,,,140
5604,1,,,,1,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,1,,1,,,,,,,1,,,,,,1,1,1,1,1,,,,,1,1,1,2,4,3,2,,1,1,1,,2,1,4,3,6,5,5,2,2,4,4,3,2,2,3,1,1,2,3,1,1,2,1,3,1,,,1,,,,,,,,,,,,,,,,94
5605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,1,1,1,1,,1,1,,1,,1,,1,,2,1,3,,1,4,2,1,1,2,2,3,1,3,,1,1,2,,2,3,1,1,2,3,3,2,1,,4,1,,1,,,2,1,,,,1,,,,,,,,,,,,69
5606,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,,1,,,,,2,,1,1,,,1,1,,,1,,,,,,,,1,,,1,1,,1,,,1,,,,2,2,,,1,1,1,2,3,1,2,2,2,3,1,2,2,1,1,,,,,2,,,,,,,,,,,,,,,,,49
5701,13,,,,1,,,,1,,1,1,,,1,,,,,,2,2,1,,1,1,4,1,1,2,,,1,1,3,,2,3,4,2,2,1,1,,3,2,5,3,1,4,3,7,2,3,5,5,10,4,5,5,9,5,11,6,5,6,12,6,14,10,9,9,14,7,15,13,9,14,9,15,18,13,19,21,20,13,13,16,10,7,13,10,11,11,9,5,8,3,4,,1,1,,,1,,,1,,,,,,546
5702,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,,2,1,,,1,,1,,,1,1,1,1,2,1,2,1,1,,1,3,2,2,3,,2,3,3,1,,1,2,2,2,3,1,,5,,1,2,1,2,3,3,1,2,1,1,2,1,,1,,,,,,,,,,,,,,,77
5703,2,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,1,1,,2,,,1,2,,,1,1,1,,2,1,1,2,2,3,2,1,1,2,2,1,1,2,5,1,1,,,2,2,4,1,3,4,4,3,4,3,7,5,,6,2,10,6,4,6,6,9,1,3,5,2,6,5,4,,6,,1,2,,,,,,,,,,,,,,,170
5704,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,1,1,,2,,,1,,2,1,,2,3,1,1,,1,,2,,,,4,2,3,1,2,4,4,3,2,1,,,1,1,,,,1,,,,,,,,,,,,,,,,51
5705,2,,,,,,,,,,,,,,,,1,,,,,,1,1,,1,,,,,1,1,,,,,,,,,,,,,,,,,2,1,1,2,1,1,1,1,,,1,1,1,2,3,4,,2,1,2,3,5,4,1,1,1,1,2,3,5,4,3,3,4,5,6,,6,3,4,1,5,,2,3,3,1,1,3,1,,,3,,,,,,,,,,,,,122
5706,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,,,,,1,,,,,,,1,,,,,1,,1,,2,,1,,1,1,2,,3,1,,,,2,,2,1,3,2,2,2,4,1,1,,1,5,4,2,2,2,2,2,4,2,9,4,4,3,3,1,3,3,,4,,2,1,1,1,1,,,,,,,,,,,,,,104
5801,12,1,,,,,,,,,1,,,,,,1,,1,2,1,,1,1,1,2,1,2,2,3,3,2,2,,,2,1,1,,4,2,1,6,6,7,3,4,5,3,2,8,7,5,7,11,6,7,10,9,9,8,12,23,10,8,15,14,17,18,22,15,14,21,25,16,27,32,27,28,25,32,29,36,34,38,39,39,40,27,32,26,23,28,22,14,10,12,12,7,4,5,4,,1,1,,,1,,,,,,1058
5802,1,,1,,,,,,,,,,,,,,,,,,,,2,1,1,,,2,,,,1,,,,,1,1,,,,1,1,1,,1,1,1,,2,2,3,1,4,1,3,3,4,3,5,4,7,5,3,5,6,6,8,5,7,5,5,5,4,6,6,11,9,10,7,13,12,10,15,17,15,16,17,8,13,5,11,11,2,10,3,2,4,5,1,,1,1,,,,,,,,,,,364
