Comuna,muertes.men1,muertes.1,muertes.2,muertes.3,muertes.4,muertes.5,muertes.6,muertes.7,muertes.8,muertes.9,muertes.10,muertes.11,muertes.12,muertes.13,muertes.14,muertes.15,muertes.16,muertes.17,muertes.18,muertes.19,muertes.20,muertes.21,muertes.22,muertes.23,muertes.24,muertes.25,muertes.26,muertes.27,muertes.28,muertes.29,muertes.30,muertes.31,muertes.32,muertes.33,muertes.34,muertes.35,muertes.36,muertes.37,muertes.38,muertes.39,muertes.40,muertes.41,muertes.42,muertes.43,muertes.44,muertes.45,muertes.46,muertes.47,muertes.48,muertes.49,muertes.50,muertes.51,muertes.52,muertes.53,muertes.54,muertes.55,muertes.56,muertes.57,muertes.58,muertes.59,muertes.60,muertes.61,muertes.62,muertes.63,muertes.64,muertes.65,muertes.66,muertes.67,muertes.68,muertes.69,muertes.70,muertes.71,muertes.72,muertes.73,muertes.74,muertes.75,muertes.76,muertes.77,muertes.78,muertes.79,muertes.80,muertes.81,muertes.82,muertes.83,muertes.84,muertes.85,muertes.86,muertes.87,muertes.88,muertes.89,muertes.90,muertes.91,muertes.92,muertes.93,muertes.94,muertes.95,muertes.96,muertes.97,muertes.98,muertes.99,muertes.100,muertes.101,muertes.102,muertes.103,muertes.104,muertes.105,muertes.106,muertes.107,muertes.108,muertes.109,muertes.110,muertes.111,muertes.112,muertes.113,muertes.114,muertes.Total 
1101,28,1,,,,1,,,,1,,,1,,,,1,,3,2,1,2,4,3,3,2,2,3,2,4,3,,3,4,3,4,3,5,6,2,7,3,5,7,7,4,3,5,4,14,8,12,10,10,8,16,14,16,13,12,19,15,18,22,15,15,20,20,21,13,21,14,23,18,15,22,25,21,28,20,21,24,34,19,22,27,27,32,22,21,20,19,10,17,10,9,10,4,2,3,2,3,,,1,,,,,,,,,,,1019
1107,9,,1,1,,,,,,,,,,,,,1,1,1,2,1,,,,1,,2,,1,2,,,2,4,3,,,4,,1,,6,1,2,1,4,1,2,1,3,1,4,5,2,2,2,3,8,4,2,1,5,1,6,4,6,6,2,9,4,2,5,3,6,7,3,3,4,7,2,3,2,6,7,4,9,1,1,,,1,2,2,,2,1,,1,1,,,,,,,,,,,,,,,,,220
1401,3,,,,,,,,,,,,,1,,,1,,,,,,,1,,,,,,,,,,,,,,1,,,,,2,1,,2,1,,1,1,,,,,1,,1,,1,1,3,1,,1,1,1,,,1,1,1,1,1,,1,,1,1,,2,,1,,1,1,,2,,,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,45
1402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
1403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1404,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,9
1405,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,1,,1,,,,2,1,1,,,,1,1,,,,1,,1,3,1,,1,1,1,4,,1,1,,1,,,1,,,,,,,,,,,,,,,,,,,,28
2101,51,4,3,3,,,2,1,2,1,1,1,,,2,2,2,1,,3,4,1,4,4,2,3,1,2,4,5,4,5,3,5,8,4,5,6,8,6,8,3,6,8,9,12,16,10,13,11,22,18,24,19,19,22,32,20,29,35,33,31,23,34,36,36,34,36,30,38,31,42,35,26,36,42,38,46,36,49,40,46,49,50,57,53,45,31,43,33,29,29,22,13,15,16,9,6,9,2,,,1,,,,,,,,,,,,,1809
2102,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,1,1,,,,,2,,,,1,,,,1,,,,,1,2,,1,2,,,2,1,1,,,,1,,,1,1,2,2,1,2,1,2,2,1,1,1,1,1,,,,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,44
2103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
2104,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,1,2,,,1,,1,,,1,1,1,1,2,,1,1,,1,6,1,1,,2,1,1,2,1,3,1,3,4,3,4,3,2,5,1,2,2,1,,4,4,3,2,,2,1,2,1,3,,,,,,,,,,,,,,,,,,,,,88
2201,26,3,,3,1,,,1,2,,,2,1,,,1,1,2,3,5,3,1,3,2,3,1,4,4,5,1,5,3,5,3,3,1,3,6,3,2,2,7,9,6,7,5,2,6,3,10,10,7,5,6,5,8,6,9,14,10,8,6,12,16,8,10,11,8,11,17,9,14,11,15,9,12,17,15,22,13,17,16,17,21,13,10,7,14,9,8,7,7,6,5,4,1,1,2,1,,,,,,,,,,,,,,,,,659
2202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2203,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,1,,,,,,,,,1,,1,,,,,,,1,,1,1,,,,,1,,1,,,1,,,,,,2,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,17
2301,5,,,,,,,,1,,,,,,,,,1,,,,1,,,,,,,,,2,,1,,,,1,,1,,,1,,1,2,2,2,3,2,2,1,3,2,3,2,2,3,5,3,2,1,5,3,2,1,3,3,3,2,6,6,6,5,5,2,4,6,5,4,4,4,5,6,4,7,5,6,3,4,4,3,1,4,,1,1,,,,,,,,,,,,,,,,,,,,188
2302,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,1,,,1,,,,,,,,,,,,,1,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
3101,32,1,,1,,,1,,1,2,,,,,,1,2,1,2,1,,2,,6,1,4,2,4,2,,2,,3,2,1,1,,1,2,4,3,4,2,2,6,2,2,5,5,4,5,7,9,4,11,9,7,17,10,13,10,16,5,11,13,14,14,15,14,10,15,11,23,16,10,17,10,25,11,22,23,21,23,19,11,29,23,15,15,12,15,12,14,3,8,4,3,5,4,3,2,1,2,,,,,,,,,,,,,758
3102,2,,,,,,,,,,,,,,,,1,1,,,,1,,,,,1,,,,,,,,,1,,,,,1,,,,1,,,,,,,,1,,2,,1,1,,2,2,4,,1,2,,,1,1,2,,4,3,1,1,1,,,1,1,3,2,4,3,1,1,3,1,3,,,1,1,1,1,,,,,,,,1,,,,,,,,,,,,,67
