Comuna,muertes.men1,muertes.1,muertes.2,muertes.3,muertes.4,muertes.5,muertes.6,muertes.7,muertes.8,muertes.9,muertes.10,muertes.11,muertes.12,muertes.13,muertes.14,muertes.15,muertes.16,muertes.17,muertes.18,muertes.19,muertes.20,muertes.21,muertes.22,muertes.23,muertes.24,muertes.25,muertes.26,muertes.27,muertes.28,muertes.29,muertes.30,muertes.31,muertes.32,muertes.33,muertes.34,muertes.35,muertes.36,muertes.37,muertes.38,muertes.39,muertes.40,muertes.41,muertes.42,muertes.43,muertes.44,muertes.45,muertes.46,muertes.47,muertes.48,muertes.49,muertes.50,muertes.51,muertes.52,muertes.53,muertes.54,muertes.55,muertes.56,muertes.57,muertes.58,muertes.59,muertes.60,muertes.61,muertes.62,muertes.63,muertes.64,muertes.65,muertes.66,muertes.67,muertes.68,muertes.69,muertes.70,muertes.71,muertes.72,muertes.73,muertes.74,muertes.75,muertes.76,muertes.77,muertes.78,muertes.79,muertes.80,muertes.81,muertes.82,muertes.83,muertes.84,muertes.85,muertes.86,muertes.87,muertes.88,muertes.89,muertes.90,muertes.91,muertes.92,muertes.93,muertes.94,muertes.95,muertes.96,muertes.97,muertes.98,muertes.99,muertes.100,muertes.101,muertes.102,muertes.103,muertes.104,muertes.105,muertes.106,muertes.107,muertes.108,muertes.109,muertes.110,muertes.111,muertes.112,muertes.113,muertes.114,muertes.Total 
3103,2,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,1,,,,,,2,,,2,,,2,1,,,,1,,,,,,3,1,1,1,,1,1,1,2,4,2,2,2,2,3,3,2,1,1,,4,2,,3,,1,,,,,1,,,,,,,,,,,,,,,,,,60
3201,,1,,,,,,,,,,,,,,,1,1,,,,,,,2,,1,1,,,,1,,,1,,,1,2,,,2,1,,,,,,,1,,,1,,3,,,1,1,1,2,2,1,2,1,1,1,2,2,2,4,4,,4,,1,2,3,2,2,2,1,1,2,2,,2,1,,,,1,,,1,,1,,1,,,,,,,,,,,,,,,,,76
3202,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,1,1,,2,1,1,1,,,,,,4,,3,1,,2,2,3,1,1,,3,4,2,1,4,1,2,2,1,2,2,,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,58
3301,3,,,1,,1,1,,,,1,,,,,1,,,,,1,,,,1,1,1,,,,,,1,,1,,,,1,2,1,,1,1,5,,6,2,,3,,2,1,1,4,4,3,,3,5,5,5,4,5,,4,6,8,7,6,9,5,6,5,7,9,5,9,8,10,11,5,8,18,13,13,7,10,9,12,3,5,6,1,4,2,,1,3,1,,,,,,,,,,,,,,,,314
3302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,1,,,1,,,,1,,,1,1,,,,,,,,1,,,,,,1,,,1,1,,1,,,,,1,,2,,,1,1,1,1,,,1,,1,,,1,1,,,,,,,,,,,,,,,,,,,,24
3303,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,2,,,,,,,,1,,,1,,,,,,1,,,1,,,2,,,1,1,1,1,1,,,1,,,1,,,,1,2,1,,1,,,,,,,,,1,,,,,,,,,,,,,24
3304,,,,1,,,,,,,,,,,,,,,,,1,,,1,,1,,,,,,,,,,,,2,,,,,,,,1,,,,,1,2,,,,1,1,2,,1,,,,1,8,1,1,1,1,1,1,,2,1,2,1,4,,1,1,,1,1,3,4,1,2,1,4,2,1,,,,1,2,1,,,,,,,,,,,,,,,,,,,66
4101,36,3,,,1,,1,,,,,,,1,2,,,1,3,2,1,4,2,2,4,2,4,2,4,,1,3,4,4,7,8,,3,4,,4,5,3,5,2,4,6,4,9,5,6,7,5,4,10,12,7,9,10,10,19,7,18,17,11,17,26,21,21,17,16,21,16,13,22,27,15,36,26,33,30,30,37,31,25,26,25,30,28,28,23,21,19,8,10,11,13,7,4,8,7,2,2,,2,,,,,,,,,,,1062
4102,31,,,,2,,,,,,,,,1,1,1,2,2,1,1,3,3,,3,2,2,1,1,2,2,3,,3,3,5,2,6,4,5,2,4,4,4,5,7,6,9,7,3,11,7,10,7,4,15,7,13,14,12,12,10,6,15,16,11,16,16,17,22,23,27,17,23,15,28,22,28,29,28,34,32,29,33,32,28,20,32,32,29,17,27,19,21,12,10,6,9,9,4,3,2,,3,,,,,,,,,,,,,1067
4103,1,,,1,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,1,,,,,1,1,,,,,,,,1,,2,1,,1,1,2,,,1,,,,2,1,,1,1,3,,1,,4,2,1,2,4,1,5,1,3,4,,5,4,1,2,2,2,1,3,,2,1,,3,,2,,1,1,1,,1,,,,,,,,,,,,,,84
4104,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,1,,2,,,,,,1,,1,,,,,,,,,,,,,,1,,1,,,1,1,1,1,,,,,,2,2,,2,,,,,,,1,1,,1,,2,1,1,,,,,,,,,,,,,,,,,28
4105,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,1,,1,,1,,1,,1,,,1,2,,,1,,,1,2,1,,1,,2,,1,,,1,,2,1,1,,,,,1,,,,,,,,,,,,,,,,27
4106,4,,2,,1,,1,,,,,,,,,,,,,,2,,1,,1,,1,,,,,,,,,,1,,2,,,1,,1,1,,3,1,,1,,1,3,1,,,,2,,2,2,1,3,2,2,2,,1,4,3,4,,3,2,5,4,2,4,7,4,4,3,4,6,5,4,7,4,1,4,,2,1,1,3,,,3,,,,,1,1,,,,,,,,,,,,142
4201,5,,,1,,,,,,,,,,,,,,,,2,,,1,1,,,1,,1,,,2,2,,1,,,,2,1,,,1,1,,,,,1,1,2,2,,4,1,4,1,,1,2,3,1,,1,1,2,2,5,,2,4,3,3,7,3,9,7,2,3,6,3,5,8,4,5,6,4,6,3,6,3,5,3,4,3,5,4,1,1,,,3,,,,,,,,,,,,,,187
4202,,,,,,,,,,,,,,,,,,,,2,,,1,,1,,,1,,,,,,,,,,1,,,,,,,,,,1,,1,,,,1,,,,1,,1,1,,,1,1,,1,2,,1,3,,3,1,4,1,2,,1,3,3,4,4,,4,2,1,4,1,3,1,2,,,,6,,,,1,,,,,,,,,,,,,,,,72
4203,2,1,1,,,,,,,,,,,,,,,,,1,,1,,,,,,1,,,1,,,1,1,,1,,2,1,,,,1,,1,,1,,1,,3,,,3,1,2,1,1,,3,1,3,,2,2,,3,1,3,3,2,4,1,1,2,3,3,2,3,5,5,3,4,2,3,2,2,4,3,1,1,3,1,,1,,1,1,,,,,,1,,,,,,,,,,,114
4204,2,,1,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,1,,,,,2,,1,1,,2,,1,1,,,2,1,1,1,1,1,,4,3,1,2,1,2,,,2,1,1,2,4,1,1,6,1,5,3,5,2,4,2,6,6,4,4,5,7,6,3,9,2,3,,4,1,2,3,,2,1,1,,1,,,,,,,,,,,,,,,145
4301,11,,,,,,,,,,,1,1,1,,1,2,,1,1,,2,2,2,,,2,2,2,4,1,2,,1,1,6,2,4,2,1,3,,3,1,4,2,4,6,2,5,4,7,2,6,3,3,7,7,8,4,9,11,10,8,8,7,10,20,13,9,12,15,13,16,20,15,16,17,19,14,22,29,13,22,18,23,14,18,23,15,11,8,12,8,9,6,7,2,1,5,1,3,3,,1,,,,,,,,,,,672
4302,2,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,,1,1,,,1,1,2,1,,,1,1,,,,2,,2,,2,1,1,3,1,6,2,2,4,5,,3,4,,2,3,9,4,3,4,,5,4,3,2,2,2,1,3,1,1,,,,2,,1,,1,,,,,,,,,,,,106
4303,2,,,,,,,1,,,,,,,1,1,1,1,,,1,2,,,,,,,,2,,,,,,,,1,1,1,,,,1,1,,,1,1,2,,1,2,2,3,2,,2,2,1,,2,2,3,1,3,4,3,2,6,3,3,2,5,4,1,5,13,2,7,5,6,6,6,10,6,1,4,11,2,3,4,1,,2,1,1,3,,1,,,,,,,1,,,,,,,,,181
4304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,1,,,,1,,,2,,,,,,,,1,,1,,1,1,,2,,,2,1,,1,,,1,3,,2,2,3,1,8,2,,,3,6,4,1,2,2,,1,1,2,,2,1,,,,,,1,,,,,,,,,,,,,,,,64
4305,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,1,1,,,,1,,1,,1,,1,1,,,1,,1,,1,,1,,3,1,,2,2,,1,2,1,1,1,1,3,,,1,,,,,,,,,,,,,,,,,35
5101,34,4,3,1,2,1,1,1,,,1,1,2,,1,,1,4,3,1,6,2,3,5,4,5,,1,3,6,4,2,4,2,4,3,2,5,6,7,7,5,7,4,9,6,14,14,7,17,11,15,17,17,19,20,27,17,25,28,21,36,32,26,29,37,43,47,42,43,43,47,55,48,38,54,60,47,64,70,60,80,80,78,91,61,50,44,50,45,51,51,33,22,20,21,17,15,9,8,2,3,3,1,1,1,,,1,,,1,,,,2202
5102,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,1,,,2,,,,1,,,2,,1,,2,,1,1,,1,1,4,4,4,3,1,5,3,1,2,1,5,4,2,1,2,4,,1,4,5,3,4,2,9,2,4,6,3,4,2,5,3,2,2,4,,,,,,1,1,,,,,,,,,,,,,,,130
5103,4,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,1,,1,,,,1,,,,2,,,,1,1,1,1,1,,2,,1,,2,2,5,2,6,5,,2,1,2,3,5,3,2,4,2,5,3,3,3,3,5,2,5,4,2,5,13,10,6,7,8,6,3,7,4,7,7,6,2,4,8,6,3,,2,2,,1,,,,,,,,,,,,,,,,218
5104,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,4
5105,2,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,2,2,1,4,,,1,1,1,4,1,,1,,1,2,2,4,4,2,1,2,1,8,2,3,1,4,4,2,2,3,5,4,5,4,3,5,3,,4,1,2,2,,2,1,,1,,,2,,,,1,,,,,,,,,,,,,117
5107,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,1,1,,2,,,,,2,3,,1,,1,4,3,1,2,2,3,2,1,1,5,3,2,2,2,4,4,1,7,4,4,,5,4,4,5,6,4,10,8,8,1,6,4,2,2,3,3,,1,,2,1,1,,,,2,,,,,,,,,,,,,,,161
5109,26,2,,,,1,1,,,1,2,1,,,1,2,2,1,3,3,2,3,3,3,2,3,3,3,2,3,1,5,5,1,2,2,4,3,6,7,6,2,6,2,7,10,8,8,17,14,16,12,18,17,13,19,16,20,24,27,17,17,27,22,26,42,40,28,34,29,39,42,55,46,50,53,53,66,54,66,74,101,97,65,83,69,71,63,65,57,53,57,37,29,32,30,15,18,14,8,7,5,2,,3,,,2,,,,,,,,2234
5201,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,2,,,,,,1,,,,,,,1,,,,,,1,,,2,1,,1,1,,,,,,1,,,,1,,,1,,,1,2,,1,1,1,,1,1,,1,,1,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
5301,14,1,,,2,,,,1,3,,,,,,,2,,,2,,2,,,2,,2,,1,1,2,1,1,,,1,,,1,1,,1,3,,1,,2,1,2,2,4,2,1,2,2,5,2,4,5,7,3,4,3,2,6,5,6,6,7,10,1,8,12,8,8,13,12,11,10,15,7,7,17,16,6,20,6,9,11,14,9,9,3,6,2,,2,2,1,,1,,,,,1,,,,,,,,,,385
5302,3,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,2,,,1,,,,1,,,,,,,,,1,,,,,,1,1,,2,,3,2,1,1,,2,2,,2,,1,2,2,3,1,2,1,2,3,2,1,2,1,1,2,,,,,,,1,,,,,,,,,,,,,,,55
5303,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,1,,,,,,,,1,,,2,1,,,2,,,,,,,,,1,,,,1,,1,,,,2,,1,,1,1,,,1,4,3,1,2,1,1,3,2,1,2,,2,1,,,,,1,2,,,,,1,,,,,,,,,,,,,,,,,45
5304,,1,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,1,,,,1,,1,2,1,,,,,1,1,2,2,5,1,2,1,4,3,2,3,2,4,2,6,3,3,1,,,4,,4,2,,3,2,3,,4,,2,,,,,,,,,,,,,,,,,,83
5401,5,,,,,,,,,,,,,,,,,1,,2,,1,,,,,,1,,1,,,,,,,1,,,,1,,1,1,,2,3,3,1,3,,2,3,2,,2,3,1,4,1,,1,3,4,3,3,5,5,4,4,7,1,1,3,3,6,6,9,5,9,9,5,6,5,6,3,3,4,5,7,2,4,1,3,1,3,2,2,1,,,,,,,,,,,,,,,,,199
5402,2,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,1,1,1,,1,,,,,,1,,,1,,1,,,2,1,1,1,,,2,,1,4,,,,3,1,,1,2,1,3,3,3,2,1,2,2,2,3,2,2,2,6,5,2,6,2,4,5,4,1,4,1,1,1,1,1,2,4,,2,,1,,,,,,,,,,,,,,,,,112
5403,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,1,,,1,,1,,,,1,1,1,1,1,,1,1,1,,1,1,,2,2,,,1,,1,1,,,,,,1,1,,,,1,,,,,,,,,,,,,,,29
5404,1,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,3,,,,1,,1,,1,2,,,1,,1,2,1,,,,3,1,5,1,1,3,1,2,3,2,1,3,3,3,,,2,2,2,,2,1,,,2,1,1,,,1,,,,,,,,,,,,,,,63
5405,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,1,,,,,,,,,1,,,,,,,,1,1,,1,,1,,,,,,,,,,1,,,,,,1,,1,1,1,1,,1,,1,,,4,1,1,2,,2,,1,,3,,1,,1,,,,,,,,,,,,,,,,,33
5501,5,,2,,1,,1,,,,,,,,1,,,1,2,1,,1,2,,,1,1,,2,2,2,,1,,,3,3,,1,1,1,1,2,5,,1,2,3,3,4,5,5,6,4,2,2,6,5,8,3,5,9,4,7,8,9,13,7,15,17,12,16,11,18,14,17,15,16,11,19,16,11,24,22,22,22,26,21,16,16,16,12,4,5,5,6,7,3,3,3,,3,2,,,,,,,,,,,,,610
5502,5,,,,,,,,,,,,,,1,,,,,1,,,1,1,,1,,1,,,,1,,,,3,,1,2,1,,1,2,4,2,2,3,4,3,4,3,3,5,5,3,3,4,5,4,3,8,4,6,2,9,7,9,6,10,10,6,5,5,8,4,10,7,4,10,8,14,10,12,10,13,11,6,8,10,10,1,11,3,4,4,1,4,3,,,3,,,,,,,,,,,,,,,358
5503,1,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,1,,,,,,,,,,1,,,1,1,,2,,,,5,1,,1,,,2,2,1,1,1,2,3,1,3,,1,4,6,2,1,,1,1,2,,2,3,4,4,3,4,4,2,3,2,3,3,2,1,,1,1,,1,1,,,,1,,,,,,,,,,,,,96
5504,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,1,,,,1,,,,1,,,1,,1,3,2,2,1,,,,1,2,3,3,3,1,2,2,2,2,2,1,3,,2,1,2,1,4,1,3,4,1,,5,1,4,4,3,2,2,2,1,1,2,,,1,,,,1,,,,,,,,,,,,,92
5506,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,1,,,,,,,,,,,1,,,,,2,2,1,,,2,2,,1,3,,,1,1,2,,6,1,3,2,2,,1,5,1,6,,,3,3,2,7,5,4,4,2,4,2,4,1,5,3,4,4,4,3,4,1,,,,2,1,,,,,,,,,,,,,,,,,123
5601,15,1,,,,,2,,,,,,,,,,2,,1,1,,,2,2,2,2,1,,,,,3,2,2,1,2,3,1,1,2,1,2,,8,6,3,5,3,8,6,6,7,10,9,6,8,6,6,7,12,8,8,7,11,12,14,13,14,16,12,16,12,16,17,22,21,22,20,11,22,24,11,19,20,26,18,20,18,13,11,17,5,9,4,8,6,4,4,2,1,2,1,1,,,,,,,,,,,,,705
5602,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,1,,,1,2,,,,,,,,1,,,,,2,1,2,,1,2,1,,3,,,3,1,2,1,4,5,3,1,,2,,2,4,,2,1,2,3,1,1,2,1,2,2,1,1,1,,,,1,,,,,,,,,,,,,,71
5603,2,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,1,1,,1,1,,,,,2,1,,,1,1,,1,,,1,,,1,,,1,1,1,2,1,1,2,,2,3,1,4,2,3,3,1,2,6,1,4,1,3,4,2,8,2,3,4,4,6,9,5,3,4,3,2,4,1,1,,2,3,,,,,,1,,,1,,,,,,,,,,134
5604,3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,2,1,,,,,,,,1,,,1,,1,2,,,,,1,1,1,,2,1,1,1,1,1,,4,3,2,1,,3,3,3,1,4,5,5,1,4,4,2,2,1,,3,1,1,2,3,1,1,1,2,,,1,,,,,,,,,,,,,,,,,87
5605,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,1,,,1,2,,3,2,1,2,,1,1,1,2,1,,4,4,1,,1,2,4,1,2,1,5,,2,2,3,1,1,1,1,2,2,,1,,,,,,,,,,,,,,,,63
5606,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,1,2,3,1,,1,,1,1,1,,4,,,,,,,1,1,3,2,,,1,3,,2,2,5,1,1,1,1,1,2,1,1,1,,,,,,,1,,,,,,,,,,,,,,,50
5701,13,1,2,,,,,,,1,1,,,,,1,1,,1,,1,1,1,,,1,,,,2,2,1,1,3,2,,1,2,1,,,1,1,2,2,2,2,4,1,5,6,4,3,2,2,6,4,6,3,5,4,7,2,9,7,4,4,10,13,10,4,7,3,9,9,13,12,12,10,15,18,21,21,10,15,17,10,7,9,14,9,11,4,9,5,4,3,3,1,3,1,,,,,,,,,,,,,,,460
5702,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,1,,,,1,,,,,,,,,,,1,,2,1,,,,,,,1,1,1,,,,2,1,,,1,,1,1,,2,1,2,2,1,,6,,,4,2,1,4,1,6,3,3,1,1,,1,,5,4,,2,1,,,2,,1,1,,,,,,,,,,,,,,,75
5703,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,1,,1,1,1,,,1,2,1,,1,,3,2,3,1,1,1,1,,1,1,1,4,1,1,2,1,3,2,1,1,2,3,3,5,1,4,3,2,8,3,1,2,2,5,7,6,6,5,5,5,2,2,3,1,1,2,2,2,,1,,,,,,,,,,,,,,,,,,138
5704,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,1,1,1,,1,,,,,,,,3,,,,,1,,,,,2,1,1,,,,2,,2,1,2,,1,2,,1,1,4,3,4,1,,,,1,1,1,1,,,1,,,1,,,,,,,,,,,,,,,,,,45
5705,1,,,,,,,,,,,,1,,1,,,1,,,,,,2,,,,1,,,,,,,,,,,,1,,1,,,,1,1,,2,1,,1,1,1,1,,,1,4,2,1,1,,4,1,,1,1,3,1,1,2,2,7,2,3,5,,1,5,4,1,2,9,3,2,2,1,3,5,1,4,4,4,2,1,,1,,2,,,,,1,,,,,,,,,,,118
5706,2,,,,,,,,,1,,,,1,,,,,,,1,,,,,,1,,,,,,,,1,,,,,,2,,,,,1,,2,,,1,,,1,,2,1,1,1,,,1,2,1,2,2,2,1,1,1,4,1,2,2,2,2,2,3,3,2,6,4,5,2,2,1,3,1,1,,2,,3,1,,,1,,,1,,,,,,,,,,,,,,,,88
5801,9,1,,,,,1,,,,,,,,,,,,3,1,,1,,1,3,2,1,2,2,1,3,3,1,2,,1,1,3,3,,1,2,6,3,2,4,5,4,4,3,6,3,2,13,8,4,4,7,9,5,9,10,9,11,11,17,19,21,20,25,16,20,25,19,19,28,27,31,24,41,31,33,38,38,45,31,23,30,22,35,26,17,19,25,17,7,9,13,5,1,4,1,,1,1,1,1,,,,,,,,,1016
