Comuna,muertes.men1,muertes.1,muertes.2,muertes.3,muertes.4,muertes.5,muertes.6,muertes.7,muertes.8,muertes.9,muertes.10,muertes.11,muertes.12,muertes.13,muertes.14,muertes.15,muertes.16,muertes.17,muertes.18,muertes.19,muertes.20,muertes.21,muertes.22,muertes.23,muertes.24,muertes.25,muertes.26,muertes.27,muertes.28,muertes.29,muertes.30,muertes.31,muertes.32,muertes.33,muertes.34,muertes.35,muertes.36,muertes.37,muertes.38,muertes.39,muertes.40,muertes.41,muertes.42,muertes.43,muertes.44,muertes.45,muertes.46,muertes.47,muertes.48,muertes.49,muertes.50,muertes.51,muertes.52,muertes.53,muertes.54,muertes.55,muertes.56,muertes.57,muertes.58,muertes.59,muertes.60,muertes.61,muertes.62,muertes.63,muertes.64,muertes.65,muertes.66,muertes.67,muertes.68,muertes.69,muertes.70,muertes.71,muertes.72,muertes.73,muertes.74,muertes.75,muertes.76,muertes.77,muertes.78,muertes.79,muertes.80,muertes.81,muertes.82,muertes.83,muertes.84,muertes.85,muertes.86,muertes.87,muertes.88,muertes.89,muertes.90,muertes.91,muertes.92,muertes.93,muertes.94,muertes.95,muertes.96,muertes.97,muertes.98,muertes.99,muertes.100,muertes.101,muertes.102,muertes.103,muertes.104,muertes.105,muertes.106,muertes.107,muertes.108,muertes.109,muertes.Total 
5201,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,3,,,,,,,,,,,,,,,,,1,1,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,12
5301,8,,,,,,1,,,,,,,1,,,,,1,,,1,3,1,,,,2,1,,1,,3,2,3,2,2,1,2,1,1,3,,,2,2,2,,3,,,7,1,4,2,5,4,5,6,5,9,5,5,3,5,5,8,3,8,6,11,5,10,11,6,8,10,6,9,8,11,13,16,7,8,8,14,5,11,8,5,9,7,2,2,6,2,3,1,2,,,,,,,,,,,369
5302,3,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,1,,,,,,,,1,,1,,,1,,,,,1,,,1,,,1,,1,,,1,1,1,1,1,,,1,2,2,1,1,1,4,1,4,1,3,1,,1,,2,1,,2,1,1,,,,,,,2,,1,,,,,,,,,,51
5303,,1,,,,,,,,,,,,,,1,,1,,,1,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,1,,1,,,1,2,1,1,,,,,,2,2,1,,2,3,,2,,1,3,1,,,2,,1,,,,1,2,,,1,,,,,,,,,,,,,,,,38
5304,2,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,1,,,,,,1,1,1,,3,2,,1,1,3,,1,5,2,2,5,1,3,2,3,2,1,2,,,1,5,3,2,2,5,1,2,2,1,,1,1,,,,,,,,,,,,76
5401,3,,,,1,,,,,,,,,,,,,,,,1,,,1,,,,,,1,2,3,1,,,,,,1,2,,1,1,1,,,2,2,2,,1,3,1,1,2,1,4,2,3,4,,1,3,2,4,2,1,4,6,4,3,8,3,5,3,4,2,11,8,4,4,5,2,4,2,1,6,2,3,5,4,,6,1,3,1,,1,,,1,,,,,,,,,,176
5402,3,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,1,,1,1,,1,,,2,,,2,,3,,,,,,,2,,,1,,1,1,3,1,1,1,3,2,2,2,,2,4,,2,1,2,3,7,3,3,4,4,2,1,4,1,2,2,4,5,2,,,,2,,,,,,1,,,,,,,98
5403,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,1,,1,1,,3,,1,1,,,1,,,1,2,1,,,,1,1,,,,1,,2,,1,1,,2,1,,,,,1,,,,,,,,,,29
5404,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,1,,,1,,,,,,,,,,,,1,,,1,,,,1,,,2,,,,2,,1,1,1,1,1,2,1,2,,3,,1,1,4,1,3,1,1,2,1,2,1,2,,1,3,5,1,2,1,2,1,,,1,,,,,,,,,,,63
5405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,1,,1,1,,,1,1,,,1,2,2,,,1,1,,2,,,,3,2,2,2,2,2,,,,,,1,1,1,,1,,1,,,,,,,,,,,,,,,35
5501,9,2,,,,,,,,,,,,,,,1,,,4,,,1,1,,,,,,,1,2,1,1,,,1,1,1,1,2,3,,4,4,2,,4,4,4,5,4,4,3,5,1,4,7,7,8,12,6,12,7,9,11,8,14,13,8,6,6,5,10,19,12,18,17,17,21,20,14,23,14,11,13,14,22,19,11,9,12,9,5,4,5,5,1,1,3,1,1,,1,,,,,,,551
5502,2,,,,1,,,1,,,1,1,,,,1,,,,1,,,,,1,2,1,1,,3,1,,,,1,1,2,3,3,,3,1,,,3,4,1,2,3,2,2,2,3,4,1,5,3,2,1,3,4,2,4,9,4,9,7,7,8,12,4,8,6,6,10,9,13,9,10,11,10,13,15,9,10,6,6,8,9,2,5,4,6,6,3,3,5,1,1,,,,,,,,,,,,346
5503,1,,,1,,,1,,,,,,,1,,,1,,,,1,,,,,2,,,,,,,,,,,,,1,1,,1,,,,,3,,2,,,1,1,,,1,,,2,,,2,1,,,,4,1,1,2,4,5,,4,3,2,4,5,2,4,2,1,2,2,,3,1,2,1,2,,1,,1,1,2,,,,1,,,,,,,,,,,87
5504,3,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,1,,3,2,1,1,2,,,2,4,1,,,1,2,2,3,2,4,2,2,3,1,4,3,3,1,5,,2,1,1,1,3,,1,1,1,1,,,,,,,,,,,,,73
5505,3,,,,,,,,1,,,,,,,,,,,,1,1,,,,1,,1,1,,,1,,2,,1,1,,1,,,,1,,5,2,2,1,3,4,4,2,1,6,1,3,3,3,1,1,3,7,4,5,5,1,2,5,6,3,6,7,11,7,2,6,7,15,10,13,11,10,7,8,7,6,8,15,6,7,7,7,3,3,3,8,2,1,2,,1,,,,,,,,,,305
5506,1,,,,,1,,,,,,,,,,,,1,1,,,,,2,,1,,,,,,,,,,1,,,,1,1,1,,,1,,1,,,1,,1,2,3,2,,1,,4,1,,2,5,1,2,3,3,1,2,2,3,2,4,2,3,3,3,7,5,4,6,7,4,1,3,1,3,4,4,7,1,2,3,3,1,3,1,2,,1,,,,,,,,,,,142
5507,,,1,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,1,1,1,1,1,1,,,,,,,2,1,,1,,,,2,,1,,2,2,1,,,1,,2,,1,,2,1,,,,3,2,2,2,1,2,3,1,5,4,3,2,,3,1,1,,1,3,1,,,1,,,,,,,1,,,,,,,,,,,71
5601,12,,,1,,,,,,,,,,,1,1,,1,,5,,,1,,1,2,3,3,3,3,2,1,4,1,5,1,4,1,3,2,3,5,,2,3,3,1,7,4,8,2,5,2,2,9,3,5,3,8,5,11,12,7,8,8,8,14,11,12,15,10,12,18,11,11,12,18,16,16,25,25,11,11,15,6,10,10,8,8,10,6,7,9,4,4,7,5,1,,1,1,1,,,,,,,,,556
5602,,,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,,,,1,,1,,,,1,,1,2,1,,,1,1,1,1,2,2,1,2,1,2,2,1,,2,2,2,,1,1,1,2,2,1,,,,,1,,,1,,,,,,,,,,,,47
5603,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,1,1,,2,,,,2,,2,,2,1,,,2,2,,2,2,1,,,1,1,,4,3,4,5,2,2,2,1,3,5,2,4,4,2,4,2,10,7,2,5,6,2,2,4,1,2,,4,2,2,1,3,1,,,,,,1,,,,,,,,128
5604,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,1,,,,,,,1,,,1,,,,,,1,,,,3,1,,,2,2,,1,,,,,3,3,1,1,,3,1,2,,3,2,4,2,3,1,3,2,4,2,1,1,,3,2,2,,,1,,,,,,,,,,,,,,,,,65
5605,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,1,,1,,1,1,,,1,,1,1,1,1,2,1,,2,,1,,1,,2,,1,,2,1,3,2,1,,,1,2,3,2,2,,,,,,1,,,3,,,,,,,,,,,,,46
5606,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,1,1,1,,,1,1,,,,,,1,,1,2,,,,,1,1,2,1,3,1,,1,2,3,,2,,2,1,1,,,,1,3,,,,,,2,,,,,,,,,,39
5701,5,,1,,,,,,,1,,,1,,,,1,,,1,1,3,1,1,2,2,1,2,1,2,1,2,1,,2,,3,1,1,,2,,3,2,2,2,3,4,3,2,2,4,4,8,3,5,,5,1,7,5,5,2,2,12,12,6,5,5,4,7,14,3,7,10,3,11,13,10,12,8,10,7,11,8,14,9,13,11,10,15,3,6,5,5,5,4,1,1,,,1,,,,,,,,,394
5702,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,1,,,1,,,1,,2,3,1,3,,,1,1,,,2,1,2,2,2,2,2,,,2,2,1,1,3,,2,2,1,2,1,2,3,1,,1,3,1,,1,1,1,1,,,1,1,1,,,,,,,,,,,,66
5703,,1,,,,,,,,,,,,,,,1,,1,,,1,,,,2,,,,,,1,1,1,1,1,,,,1,,,2,1,,,,1,,1,2,2,1,,,2,1,1,1,,4,1,1,1,3,1,4,,3,3,4,3,2,4,4,2,3,4,4,7,3,5,5,4,5,6,4,4,3,5,4,2,1,,1,,2,3,,1,,,,,,,,,,,143
5704,1,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,,,1,1,,,,,1,,,,,1,,1,3,1,,,,2,1,,1,2,,2,2,1,1,1,1,,,,2,1,1,,,,1,,,,,,,,,,1,,,,,,,,,36
5705,,,,,,,,,,,,,,,,,,1,,,,1,,,,,1,,,,1,,,,,,1,,1,,,,1,1,,1,1,,,1,1,,1,1,,2,1,,1,4,1,3,1,1,2,1,3,1,1,2,2,2,1,3,4,3,3,2,5,2,4,2,1,,5,2,2,5,4,2,3,2,3,1,2,1,2,,,,,,,,,,,,,,106
5706,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,1,,2,1,,,,,,1,,1,,,,,1,3,,1,2,2,,1,,1,2,1,1,2,,2,1,7,3,1,3,3,1,2,1,3,4,6,3,,1,1,,,,,,,,,,,,,,,,68
6101,50,,,1,,,1,,1,1,2,1,1,,3,4,3,4,5,3,6,4,5,2,4,4,1,2,3,4,6,3,5,5,5,5,4,6,3,6,4,5,6,12,9,8,8,12,14,17,7,13,15,10,18,16,11,20,13,18,20,16,21,20,22,16,28,29,24,21,24,28,22,35,31,38,30,38,31,35,50,29,38,41,28,20,28,30,23,15,22,14,9,18,8,12,6,4,3,1,2,2,3,,,,,,,,1334
6102,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,1,,,1,1,,1,,,,1,,1,,1,2,1,1,,1,,,,,,2,,1,1,,,2,2,1,1,3,1,3,2,1,2,1,1,1,1,1,1,2,,2,1,3,,,,1,,,,1,,,,,,,,,,,,,,53
6103,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,,,,,,1,,,1,2,,,,,1,,1,,1,1,1,1,,2,1,1,1,1,1,1,,,1,2,,3,,4,1,5,3,1,,,1,1,2,3,2,,,,,2,1,1,,1,,,,,,,,,,,57
6104,3,,,,,,,,1,,,,,,,1,,,1,,,1,1,1,,,,1,1,,1,,,,,,,1,1,,1,,1,2,1,,,,2,1,,2,,,3,2,,2,1,,,3,1,1,,1,4,2,1,4,1,,1,1,2,2,2,3,2,2,3,,3,2,1,5,2,1,2,2,4,2,,,,1,1,1,2,,,,,,,,,,,,97
6105,,,,,,,,,,,,,,,,,,,,1,,1,,,1,1,,,,,,1,,1,1,,,1,1,,1,,2,,1,1,,2,,,,3,1,,,3,2,1,2,2,,3,1,1,1,3,,1,3,2,1,1,2,,2,2,3,2,3,1,1,2,2,2,3,4,2,1,1,,2,4,1,1,2,2,1,,,,,1,,,,,,,,,94
6106,2,,1,,,,,,,,,1,,,,,,,2,1,,1,1,,2,,,1,,1,,2,,,,1,,,1,1,2,1,,,,1,2,,1,1,2,,3,,,1,1,3,1,1,3,5,4,3,2,2,7,2,3,3,3,3,4,4,7,2,6,2,6,4,4,4,6,5,4,2,2,7,2,5,2,,1,5,2,1,,,,,,,,,,,,,,,165
6107,1,,,,,,,,,,,,,,,2,,,,1,1,,,,,1,,1,1,,,1,1,,,1,,1,1,,,,1,,1,,,1,1,,3,2,2,,1,2,3,,1,,,1,1,2,1,2,2,2,1,4,3,4,2,6,1,3,2,3,3,3,3,5,4,3,2,4,3,5,4,,1,3,1,3,2,1,1,,,2,,,,,,,,,,,124
6108,4,,,,,1,,,,,,,,,,,,1,2,1,,1,,,,3,1,,,,,,,,2,1,1,1,1,,,3,,,,,,3,2,1,3,3,1,2,1,,,,1,1,1,4,1,1,3,,,8,2,2,4,6,2,2,4,6,5,4,3,5,7,3,2,3,3,6,4,3,1,3,2,1,2,,1,1,,1,,,1,,,,,,,,,,148
6109,1,,,,,,,,,,,,,1,,,,,,,,,,,1,,,1,,,,,,,,,1,,1,,,,,,1,1,1,,,1,,,1,1,1,,,,2,1,1,1,1,1,2,,2,1,2,,2,3,3,1,4,2,1,2,2,2,5,2,3,2,1,1,2,1,,1,2,,1,1,1,1,,2,,,,,,,,,,,,,75
6110,4,,,,,,,,,,,1,,,1,,,,,,1,,,,,,1,1,1,,,,2,,,,1,1,,1,1,,1,2,1,2,,1,2,3,,2,2,2,1,1,2,1,1,1,2,3,1,2,,1,3,4,2,3,1,2,2,2,2,2,8,3,5,6,5,5,3,5,1,5,1,2,3,,2,,3,,2,1,,,,,,,,,,,,,,,133
6111,1,,,,,1,,1,,,,,,,,1,,,,,1,,,,,,,,1,,,2,,1,,,,1,,1,1,,1,,,,,1,1,,,,,2,,,,1,2,,,,,1,,1,2,1,1,,,,1,2,3,3,2,1,3,1,,3,,1,,1,1,4,1,2,1,2,1,,1,,,1,,,,,,,,,,,,,61
6112,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,1,2,1,,,,,,1,,,1,2,,3,,2,,1,2,5,,2,1,1,1,2,3,1,1,1,3,,2,,5,4,1,4,1,5,1,3,2,2,2,,,,,,2,,1,,1,,,,,,,,,,77
6113,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,1,1,1,1,,1,,1,1,,2,1,,,,,,1,,,1,,1,1,2,1,3,1,2,4,,4,3,3,3,,2,1,3,5,,4,4,3,3,4,1,2,5,6,3,5,6,3,2,5,1,,,,2,,,,,,,,,,,,,,,117
6114,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,1,,1,,,,1,,1,,,,,,2,,,2,2,1,1,4,1,2,1,,2,1,3,1,,1,3,,1,,4,2,1,1,1,2,1,1,1,7,1,2,1,,,2,1,,,1,1,,,1,,,,,1,,,,,,,,,67
6115,5,1,1,1,,1,,,,,,1,,,1,1,,,,,1,,,1,1,1,,1,,2,1,1,,,2,1,1,1,1,3,3,1,2,3,,2,3,1,1,3,1,4,2,5,2,5,6,3,2,6,6,4,4,8,3,5,6,7,6,6,11,4,5,9,5,3,8,8,8,6,10,9,4,9,9,12,4,2,6,12,6,6,2,3,2,4,3,1,1,,,,,,,,,,,,312
6116,1,1,1,,,,1,,,,,,,1,,1,,,,,1,,,,,2,,,1,,,,,,1,,,,1,,1,,,,1,1,1,,,2,1,3,3,2,,1,2,,1,2,1,,1,1,2,1,2,1,5,2,1,4,2,2,3,2,3,3,2,1,2,5,6,3,3,2,1,2,1,1,1,1,1,2,,,1,,,,,,,,,,,,,,104
6117,3,3,,,,,1,,,,,,,,,1,,1,1,,1,,,,,,3,,1,1,,1,,1,,,1,1,1,1,1,4,2,1,1,3,2,5,2,3,2,1,1,4,1,4,3,1,4,5,5,2,5,1,6,5,4,9,7,7,3,11,6,2,4,10,5,4,7,9,11,10,9,7,5,7,4,6,6,5,11,3,2,5,2,3,,,1,1,,,1,,,1,,,,,284
6201,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,1,,1,3,,1,1,1,1,2,1,1,2,1,1,1,4,1,1,1,4,3,3,1,2,,5,2,3,1,2,1,1,1,,3,3,5,2,2,1,2,,2,1,1,,3,1,2,2,,1,,1,,,,,,,,,,,,90
6202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,1,2,,,1,1,1,,,1,,,,1,1,,,,,1,2,,1,1,1,1,,1,,,,,,,,,,,,,,,,,20
6203,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,1,,1,,,,1,,,,,1,,,1,,2,,1,1,,1,2,1,2,1,2,1,3,,,,,,1,,1,2,2,,3,1,,,,,,,,1,,,,,,,,,,39
6204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,,,,,,1,,,1,,,1,,,1,1,1,2,1,1,,1,,2,2,,,,1,2,1,4,2,2,1,,,2,2,,2,3,,,,,,,,1,,,,,,,,,,,,,,43
6205,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,,,,,,,,1,,,1,,,,1,,2,,,,1,,1,,,,1,2,,,1,3,1,1,1,2,3,1,2,1,1,,1,2,,4,1,,,1,1,1,1,,,,,,,,,,,,,,,45
6206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,1,,1,,1,,,,,1,1,1,,2,,,,1,,1,1,1,,2,,1,1,1,3,1,2,3,1,1,5,,3,1,,1,,2,,2,1,1,,1,,,1,,,,,,,,,,,49
6301,7,,,1,,,,1,,,,,,,,1,,1,1,,1,1,,,,,1,2,,1,,,4,2,2,1,2,2,,,2,2,2,4,5,4,,2,,2,3,4,1,4,1,6,5,4,5,4,8,5,6,5,4,5,6,3,1,9,6,11,11,9,7,14,15,12,11,11,17,13,10,12,12,12,6,5,11,9,3,5,8,4,3,5,1,2,1,,2,1,,,,,,,,,392
6302,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,1,,,1,,3,1,,2,,,,1,1,1,2,1,,2,3,1,1,,,2,,,1,2,3,1,1,2,3,2,1,3,3,2,4,3,2,3,4,4,2,3,3,1,1,,,2,4,3,1,1,2,1,3,,1,1,,1,,,,,,,,,,102
6303,4,,,,,,,,,,,,1,,,,,,,,1,,,,1,,,,,2,1,1,1,,,2,1,,,2,,1,1,1,2,,3,3,,,2,2,2,,,1,,1,,2,2,,5,2,1,1,1,5,5,7,3,3,2,6,5,2,8,5,8,5,5,4,4,9,3,4,4,2,8,1,5,6,3,4,,1,1,,,,1,1,,,,,,,,,180
6304,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,2,,,,,,,1,,,,,,1,,1,,2,,,2,,1,2,,3,,1,5,2,1,3,,3,1,3,,,1,1,,,1,,,,,,,,,,,,,41
6305,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,2,1,,,,,,,,1,1,,4,,,1,2,,,2,,,2,2,2,1,,4,2,1,5,,2,5,2,1,2,2,6,3,5,2,2,3,2,4,4,4,2,5,1,2,2,,2,1,1,1,1,,,,,,,,,,,,,103
6306,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,1,1,,1,1,2,,,,2,,,,1,,,,2,,1,,1,1,1,2,2,,6,2,1,1,2,1,,,1,1,2,1,3,3,2,2,,2,3,,2,3,1,2,1,2,1,1,1,,,,,,,,,,,,,,70
6307,1,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,1,,,,,,1,,,,,1,,,1,,1,1,,,,,2,1,,1,1,1,2,,1,,1,1,1,,,2,,1,,1,1,1,2,1,1,4,1,3,1,2,2,2,,3,2,1,1,4,,2,1,1,1,1,,,,,1,,,,,,,,,,66
6308,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,1,,1,,1,1,1,,,,2,,1,1,,1,1,1,,,1,2,1,2,1,,1,,1,1,,3,,,2,2,3,1,1,2,,,3,1,,2,,1,,1,1,,1,2,1,1,,,,,,,,,,,,,,,54
6309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,1,,,,,1,,,1,,2,,,,,,1,,,,,2,,,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,13
6310,3,,,,,,,,1,,,,,,,,,,1,1,,1,1,,,1,1,,1,,1,,,1,,1,1,1,,2,,1,1,3,1,,2,,1,1,1,1,,2,1,2,1,2,2,4,2,3,5,2,1,3,4,5,5,2,6,3,4,3,7,5,6,2,6,6,9,6,8,9,6,10,10,5,6,5,8,2,4,2,,3,,2,2,,2,,,,,,,,,,223
7101,32,3,1,,,,,,1,,1,,1,3,,1,1,4,1,3,2,4,3,1,3,4,3,1,3,3,1,3,3,1,3,1,4,1,2,4,5,10,8,6,4,9,10,13,7,13,9,13,8,19,10,18,16,17,16,19,23,15,19,21,26,21,21,22,22,25,16,29,24,25,31,33,29,38,43,32,29,35,29,38,33,14,27,26,31,20,20,17,12,26,17,12,10,5,4,1,3,1,,,,,,,,,1257
7102,3,1,,,,,,,,,1,,,1,,1,1,,1,1,,1,2,,1,1,2,1,,1,4,1,1,1,2,2,,2,3,1,2,2,4,1,1,2,2,5,1,4,1,4,3,3,1,1,3,5,2,1,2,2,2,1,5,3,4,5,6,6,4,3,13,6,4,4,3,5,7,6,10,4,8,9,2,7,3,6,6,7,5,3,2,2,,1,1,2,1,2,,,,,,,,,,,256
7103,,,,,,,1,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,1,,,,,1,,,2,,,1,1,,,,1,1,,,,,1,1,1,1,,3,,2,3,2,1,3,5,,2,2,1,3,2,3,2,4,3,5,4,2,4,1,1,,1,3,1,1,,,,2,,,,,,,,,,,,82
7104,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,1,1,,,,,,,,,,1,,,,1,,,,,,,,,,,,1,,,,,,1,,,,,,,,,1,1,,,2,,1,,2,1,,,,,1,,,,,,,,,,,,,,,,,,19
7105,3,,,,,1,,,1,,,,,,,,,,,,,,,,,1,,,1,,,1,,1,,,,,1,,2,,,1,3,1,,,,,2,,1,1,,1,2,1,3,,,1,1,3,,2,5,1,2,3,2,3,3,1,5,1,2,3,1,1,5,3,2,1,3,3,4,1,2,3,3,,4,2,,1,,,1,,,1,1,,,,,,,,108
7106,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,1,1,,,,,,,,,1,,2,,1,1,,,,,,,1,,1,1,1,1,,,,1,1,,1,1,,,,3,2,,1,1,,3,3,1,,2,2,1,2,1,1,,,,,2,,,,,,,,,,,,,,,,45
7107,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,1,,1,,,,,,,,1,,2,,,,,,,1,,1,,,,,1,1,1,3,,2,1,2,1,,3,2,2,1,3,1,3,1,2,,,,1,,2,,3,,1,1,,,,,,,,,,,,,,,49
7108,2,,,,,,,,,,,,,,,,,,,1,,,1,1,,1,,1,,,,,,,,,1,,,,,1,,3,,1,1,1,,2,,,1,,,1,3,1,,3,2,2,1,,2,3,1,2,2,,,3,2,,3,1,1,3,3,2,1,3,3,2,2,1,2,1,3,,1,1,,,,,,,,,,,,,,,,,,,79
7109,5,,,,,,,,1,,,,,,,,,,,,2,,1,,,,1,,,,,,2,2,1,,2,,1,,1,3,,2,3,1,,1,1,2,,5,1,,2,,1,3,1,4,2,3,2,3,2,5,2,3,2,4,3,4,6,3,5,5,5,6,4,4,12,14,2,7,5,6,3,8,5,4,3,2,1,3,2,2,,1,1,2,1,,1,,,,,,,,207
7110,2,,,,,,,,,,,,,,1,,,,,,,,,1,1,,1,,,,,,,,,1,1,,,,,,,,,,1,,,,1,1,1,1,,,2,1,,,1,1,1,1,,,1,2,1,,1,1,,,2,,1,,1,,3,2,,,3,1,1,1,,1,,,2,,1,,,,,,,,1,,,,,,,,46
7201,4,,,,1,,,,,,,,,1,,,,1,,,,1,1,5,,,,2,,,1,3,1,3,,,1,,1,,1,2,2,2,1,2,2,2,1,3,4,3,,4,,5,1,2,1,4,5,2,6,8,7,4,10,5,5,9,5,10,11,11,8,6,10,4,7,6,9,14,8,11,10,11,7,11,6,9,4,9,4,3,3,5,7,3,1,,1,,,,,,,,,,343
7202,,1,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,,,,2,,1,1,1,,1,,1,1,1,,1,,1,,,1,1,1,2,2,,,1,1,1,1,1,1,,4,1,1,3,1,1,1,4,2,2,3,1,3,,,1,1,,,1,,1,1,,,,,,,,,,,,,61
7203,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,,,1,,,,,,,2,1,,,,,1,,2,2,3,,,1,1,,1,2,4,4,2,1,,,2,,,,1,,1,,,,,,,,,,,,,,,,36
7301,20,1,1,1,1,,,,,,,,,1,1,,1,,2,3,,1,5,,,,1,2,4,2,2,1,1,1,2,2,4,2,7,1,3,5,5,5,1,8,3,8,3,14,6,3,3,5,6,12,11,8,5,9,9,9,9,12,8,10,13,12,4,13,16,28,18,11,15,21,20,25,20,12,27,18,25,22,9,21,14,17,14,12,7,11,8,7,6,7,4,1,1,,1,1,,,,,,,,,711
7302,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,2,,,1,,,,,,1,1,1,,,,,1,,,1,,1,2,,1,,,,1,,,,,2,4,1,1,,3,1,2,1,2,2,,1,,1,1,3,1,,1,1,2,,,5,2,,,1,,,2,2,,,1,,,,,,,,,,,,60
7303,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,1,,1,,,,,,1,,,,1,1,,2,,1,,1,,1,,,1,1,,1,1,1,2,1,,3,2,,2,,2,,,,,1,1,1,1,,1,5,3,3,3,3,2,3,3,2,1,1,,3,1,2,1,,,,,,,,,,,,,,,70
7304,10,,,,2,,,,,,,,,,,,1,,,,2,,,,,1,1,1,,4,,1,2,1,1,1,,,,3,1,3,3,4,2,2,,3,2,4,1,1,1,2,,3,3,1,6,5,2,7,5,6,3,6,6,5,5,5,8,3,3,3,7,7,11,12,14,9,8,8,10,10,6,12,10,6,7,7,5,9,3,3,3,4,3,2,,,,,1,,1,,,,,,323
7305,,,,,,,,,,,,,,,,,1,,,,1,,1,,1,,,,,,,1,,,1,,1,1,,,,1,,1,,2,1,,,,2,1,,1,,,,1,,1,1,1,,2,1,,,2,,3,3,8,1,1,2,2,,2,4,2,1,1,6,3,,1,2,1,,,1,,,1,,,1,,,,,,,,,,,,,,72
7306,3,,,,,,,,,,1,,,,,,,,,1,,,,,,,1,,,,,,,,,,1,,,,,2,1,,,,,1,1,,,,,,,,1,1,,1,2,,,2,6,1,2,,,2,4,2,1,3,1,2,1,1,2,3,3,3,1,,,1,,1,1,1,,,,1,,,,,,,,,,,,,,,,,62
