Comuna,muertes.men1,muertes.1,muertes.2,muertes.3,muertes.4,muertes.5,muertes.6,muertes.7,muertes.8,muertes.9,muertes.10,muertes.11,muertes.12,muertes.13,muertes.14,muertes.15,muertes.16,muertes.17,muertes.18,muertes.19,muertes.20,muertes.21,muertes.22,muertes.23,muertes.24,muertes.25,muertes.26,muertes.27,muertes.28,muertes.29,muertes.30,muertes.31,muertes.32,muertes.33,muertes.34,muertes.35,muertes.36,muertes.37,muertes.38,muertes.39,muertes.40,muertes.41,muertes.42,muertes.43,muertes.44,muertes.45,muertes.46,muertes.47,muertes.48,muertes.49,muertes.50,muertes.51,muertes.52,muertes.53,muertes.54,muertes.55,muertes.56,muertes.57,muertes.58,muertes.59,muertes.60,muertes.61,muertes.62,muertes.63,muertes.64,muertes.65,muertes.66,muertes.67,muertes.68,muertes.69,muertes.70,muertes.71,muertes.72,muertes.73,muertes.74,muertes.75,muertes.76,muertes.77,muertes.78,muertes.79,muertes.80,muertes.81,muertes.82,muertes.83,muertes.84,muertes.85,muertes.86,muertes.87,muertes.88,muertes.89,muertes.90,muertes.91,muertes.92,muertes.93,muertes.94,muertes.95,muertes.96,muertes.97,muertes.98,muertes.99,muertes.100,muertes.101,muertes.102,muertes.103,muertes.104,muertes.105,muertes.106,muertes.107,muertes.108,muertes.109,muertes.112,muertes.118,muertes.121,muertes.Total 
2101,36,3,1,1,,2,1,1,,,1,1,1,3,2,1,1,1,6,2,5,2,2,7,4,3,4,5,5,2,6,3,2,7,10,3,8,10,6,7,7,18,9,3,9,12,10,20,11,19,17,13,19,18,21,26,20,20,14,27,21,23,29,24,29,21,36,36,34,29,44,31,46,44,44,44,39,37,38,47,50,36,45,28,30,30,28,28,31,16,18,24,13,18,9,9,9,2,1,2,1,,,,,1,,,,,,,,1603
2102,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,1,,,,,,,,2,,,,1,,,,,,,,,,,,1,,1,,,,,1,,1,1,,,,1,,2,,3,1,,,,2,2,,1,1,,1,,2,1,,1,,2,,,,,,1,,,,,,,,,,,,,,,,,,,32
2103,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
2104,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,1,1,,,,1,1,,1,1,,2,,,,2,1,1,,,3,1,1,,,,,1,2,,1,2,1,1,1,2,2,3,,1,2,2,2,2,1,,1,1,1,2,3,,,1,,1,,,,,,,,,,,,,,,,,,56
2201,25,,,1,,,1,,1,,,1,,2,2,2,2,,3,6,2,,1,2,3,3,1,3,2,3,2,1,5,,1,2,2,1,3,2,3,2,4,,6,5,6,5,6,4,12,3,6,3,5,2,1,7,5,7,3,8,13,10,8,6,7,9,9,11,10,6,10,9,14,15,14,14,15,9,16,5,7,6,10,14,9,7,4,6,4,2,2,2,5,3,,1,3,,1,,,1,,,,,,,,,,485
2203,1,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,8
2301,3,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,1,,,,,,2,,1,,,2,,1,,2,1,1,1,1,1,1,2,3,1,1,3,5,2,2,3,4,5,1,6,2,4,1,4,5,5,8,6,9,5,4,3,7,5,6,4,5,4,2,2,1,2,2,2,1,4,,3,,,,,,,,,,,,,,,,,,165
2302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,1,1,,,1,1,1,,,,1,,1,1,1,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,15
3101,26,,,1,1,,,2,1,,2,1,,2,1,,,2,2,3,,,4,1,2,2,3,2,1,2,,,,2,1,4,3,3,3,2,3,1,4,4,4,4,1,7,4,5,1,2,9,8,8,7,3,5,10,8,10,8,9,10,12,10,7,8,9,15,11,16,17,17,15,10,16,12,26,13,15,15,14,18,12,13,10,12,7,7,8,10,4,4,7,5,3,2,1,,,,,1,,,,,,,,,,596
3102,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,,,1,,,,1,,,,2,,,2,,,1,,,1,1,2,2,1,1,1,,,1,,1,1,1,,,1,3,,2,1,2,,1,2,1,1,2,2,1,,1,,2,,1,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,50
3103,1,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,1,,,,,1,,,,,,1,,1,1,1,1,,,1,,,,,,,,,,1,1,1,3,,,2,,1,2,1,2,,1,,1,1,3,2,2,,1,,2,,,2,,,,,1,,,,1,,1,,,,,,,,,,,,,44
3201,7,1,,,,,,,,,,,,,,,,1,,,,,,,,,1,,1,1,,,1,1,,,,,,1,,,,,1,,1,,,1,1,1,,,3,2,,,1,1,,,1,,1,1,1,1,1,1,,,1,1,4,2,1,,3,3,,1,2,2,3,2,,1,2,1,,,,,3,1,,,,,,,,,,,,,,,,,,67
3202,4,,1,,1,,,,,,,,,1,,1,,,,,,,,,1,,,1,,,1,,,,,1,,,,,,1,,,,,1,,,,,2,1,,,1,2,,,1,,,2,1,1,2,3,,2,1,2,3,5,2,,1,1,,1,,,1,,1,,1,1,,1,2,1,,1,1,,,,1,,,,,,,,,,,,,,,,59
