Comuna,muertes.men1,muertes.1,muertes.2,muertes.3,muertes.4,muertes.5,muertes.6,muertes.7,muertes.8,muertes.9,muertes.10,muertes.11,muertes.12,muertes.13,muertes.14,muertes.15,muertes.16,muertes.17,muertes.18,muertes.19,muertes.20,muertes.21,muertes.22,muertes.23,muertes.24,muertes.25,muertes.26,muertes.27,muertes.28,muertes.29,muertes.30,muertes.31,muertes.32,muertes.33,muertes.34,muertes.35,muertes.36,muertes.37,muertes.38,muertes.39,muertes.40,muertes.41,muertes.42,muertes.43,muertes.44,muertes.45,muertes.46,muertes.47,muertes.48,muertes.49,muertes.50,muertes.51,muertes.52,muertes.53,muertes.54,muertes.55,muertes.56,muertes.57,muertes.58,muertes.59,muertes.60,muertes.61,muertes.62,muertes.63,muertes.64,muertes.65,muertes.66,muertes.67,muertes.68,muertes.69,muertes.70,muertes.71,muertes.72,muertes.73,muertes.74,muertes.75,muertes.76,muertes.77,muertes.78,muertes.79,muertes.80,muertes.81,muertes.82,muertes.83,muertes.84,muertes.85,muertes.86,muertes.87,muertes.88,muertes.89,muertes.90,muertes.91,muertes.92,muertes.93,muertes.94,muertes.95,muertes.96,muertes.97,muertes.98,muertes.99,muertes.100,muertes.101,muertes.102,muertes.103,muertes.104,muertes.105,muertes.106,muertes.107,muertes.108,muertes.109,muertes.110,muertes.112,muertes.114,muertes.122,muertes.114,muertes.Total 
2301,3,,,,1,,,,,,,,,,,,1,,,1,,,1,,,1,1,1,,,,,,,,1,1,,1,,,,,,,,,1,,3,2,2,3,2,3,,2,5,4,2,3,,4,7,3,3,5,1,8,6,2,7,3,1,3,2,3,6,5,3,4,3,8,6,4,6,1,,3,1,1,,3,2,,,1,1,1,,,,,,,,,,,,,,,,162,
2302,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,3,,,,,,,1,2,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,13,
3101,28,1,,2,2,1,2,,,1,,1,,,,,,1,1,2,1,3,3,2,3,1,3,1,1,4,5,2,2,4,3,2,4,,2,4,4,5,3,3,3,6,4,5,7,10,3,10,8,7,7,8,15,9,9,10,10,13,11,14,4,12,10,16,8,20,23,13,11,15,18,21,20,20,30,14,28,20,24,22,18,20,17,11,12,6,7,11,7,11,6,5,4,6,2,1,3,,,,,,,,,,,,,,772,
3102,3,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,1,,,,,,,,,2,,,,,,1,,,1,,1,1,,2,,1,,,4,,1,1,1,1,1,1,4,,1,2,1,3,2,1,3,1,1,2,,2,4,4,3,1,1,,,,2,,1,,1,,,,1,1,,,,,,,,,,,,,,,68,
3103,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,1,,,,1,1,,,1,3,1,,,1,2,1,,1,2,1,2,1,1,2,1,4,2,,1,1,,3,1,2,2,2,2,1,1,1,3,3,3,1,,1,1,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,65,
3201,4,,,,,,,,,,,,,,,,1,,,1,,,,,1,,,,,,,,,,,1,1,,1,,1,,,,1,1,,1,1,,1,1,,1,1,,,,2,,1,,,2,3,3,,2,1,2,3,1,2,1,2,1,,6,3,3,2,3,1,3,1,2,,4,2,1,,,1,,1,,,,1,,,,,,1,,,,,,,,,,80,
3202,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,2,,,,1,,,1,,,2,,2,1,1,1,,1,,,1,1,,,,3,,1,1,,3,3,3,2,1,,1,1,,1,1,2,1,,1,5,1,,2,2,,,,2,,1,,,1,,,,,,,,,,,,,57,
3301,5,,1,1,,,,,,,,,,,1,,,,,,,2,,,1,,1,1,,1,1,,,,,,2,1,2,2,3,,3,5,4,2,2,2,1,4,1,4,1,,1,3,2,2,2,4,4,4,3,6,6,6,4,4,5,5,4,9,5,9,11,5,9,10,11,8,5,11,9,11,8,8,9,5,8,7,2,2,3,4,3,3,3,1,,,,2,,,,,,,,,,,,,300,
3302,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,1,1,,,,2,,2,1,2,1,2,1,2,,1,2,,,,,,,,1,1,1,,1,,,4,,1,,1,,1,,,,,,,,,,,,,,,,,32,
3303,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,1,,,,,1,,,,2,,,,,,1,,,,1,2,,1,,,,,,2,1,1,,1,2,1,1,,,1,2,,,,,,1,1,,,,,,,,,,,,,,,,,,27,
3304,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,1,,,,,,1,1,,1,,,,,1,,,3,,2,,2,1,,2,,4,,,1,2,2,,1,2,3,3,4,1,2,3,1,,2,1,1,2,,,,,,,2,,,,1,,,,,,,,,,,,,,59,
4101,30,1,,,,,,1,,1,,,1,,,1,,1,1,2,2,2,1,4,1,1,1,2,2,2,3,3,3,2,2,,1,,4,6,2,4,4,4,3,4,7,7,5,6,5,7,8,10,11,9,8,9,10,11,21,10,15,12,17,12,14,15,18,9,17,22,27,18,18,18,24,26,27,30,35,24,31,43,28,21,29,29,23,23,16,17,25,14,8,14,12,6,3,2,1,,1,2,,,,,,1,,,,,993,
4102,27,,,,,,,,,,,2,,,,1,1,1,2,2,3,3,2,1,1,1,3,2,2,3,3,2,4,2,1,4,1,3,4,3,4,4,4,9,6,6,6,9,11,8,7,5,8,6,9,11,14,13,12,15,16,14,11,13,20,6,16,18,21,20,18,11,21,30,32,25,35,36,31,28,23,33,28,35,25,24,29,19,25,28,30,16,16,16,12,5,7,8,4,4,3,2,1,1,,,,1,,,,,,,1068,
4103,2,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,1,,1,1,1,,,3,,,,,,,1,,1,1,1,,2,1,1,1,2,2,2,3,1,1,2,1,2,2,1,,2,2,1,2,5,1,3,4,,1,,,1,1,1,1,1,,,,,,,,,,,,,,,,,66,
4104,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,3,1,,1,1,,,,,,2,,,1,,2,,,1,1,,,,,,,,,,,,,,,,,,20,
4105,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,1,,,1,,1,1,,,,,,,,1,,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,14,
